subject,regime,channel,perplexity_real,perplexity_aaft,delta
0,rest,Fp1,4.364445441062142,4.3558044269378975,-0.008641014124244784
0,rest,Fp2,4.689370371337926,4.4562052325706425,-0.2331651387672835
0,rest,F3,4.402948926222744,4.264721720403494,-0.1382272058192502
0,rest,F4,4.23627809570678,4.3348327191629314,0.09855462345615162
0,rest,F7,4.180956529312224,4.073019385566598,-0.10793714374562668
0,rest,F8,4.567749654853532,4.344953671001319,-0.22279598385221355
0,rest,T3,4.151336389094802,4.278057346388036,0.12672095729323374
0,rest,T4,4.350795819250846,4.360839233281611,0.010043414030765696
0,rest,C3,4.224824815963416,4.167950222422697,-0.05687459354071844
0,rest,C4,4.406614998106664,4.341477390580941,-0.06513760752572306
0,rest,T5,4.231399445731532,4.299880687410116,0.06848124167858405
0,rest,T6,4.133535014398651,4.172890313533699,0.03935529913504787
0,rest,P3,4.2626766768225295,4.3065744217953705,0.043897744972841046
0,rest,P4,4.110252715415237,4.063144963077252,-0.047107752337985254
0,rest,O1,4.096575261872254,4.239418309928113,0.1428430480558589
0,rest,O2,3.7835847635381072,3.869221965168256,0.08563720163014876
0,rest,Fz,4.183368590441032,4.192097612722985,0.008729022281952936
0,rest,Cz,4.117601645993746,4.221253556722528,0.10365191072878233
0,rest,Pz,4.216208916125926,4.339161195868187,0.12295227974226108
0,arithmetic,Fp1,4.078555119299605,4.321005775213524,0.24245065591391946
0,arithmetic,Fp2,4.247480753026585,5.084452884981414,0.8369721319548296
0,arithmetic,F3,4.052078276386074,4.899461547897736,0.8473832715116618
0,arithmetic,F4,4.530449710468018,4.893243090232006,0.3627933797639882
0,arithmetic,F7,4.671897424587054,4.816943672214233,0.145046247627179
0,arithmetic,F8,4.681724195855072,5.090034573069331,0.4083103772142591
0,arithmetic,T3,4.506220358710023,5.588724305661331,1.0825039469513076
0,arithmetic,T4,4.649018336930022,4.861124074991928,0.21210573806190514
0,arithmetic,C3,4.514101180212319,5.055773591497338,0.5416724112850186
0,arithmetic,C4,4.422068110085511,4.764724958457992,0.34265684837248145
0,arithmetic,T5,5.036462732515741,5.527833946351378,0.4913712138356372
0,arithmetic,T6,4.644118477551844,5.026591035506221,0.38247255795437685
0,arithmetic,P3,5.062037991509185,4.974855743434355,-0.08718224807483033
0,arithmetic,P4,4.364811481255139,4.767521598550793,0.402710117295654
0,arithmetic,O1,4.9802021064010775,5.013011554597618,0.032809448196540636
0,arithmetic,O2,4.857256849719235,4.540530760705203,-0.31672608901403176
0,arithmetic,Fz,4.259320636883451,4.527241936100636,0.26792129921718555
0,arithmetic,Cz,4.366377905528956,4.803489640484583,0.43711173495562683
0,arithmetic,Pz,4.609636737269437,5.009645623210557,0.40000888594112016
1,rest,Fp1,4.778430211689655,4.657612696344072,-0.12081751534558371
1,rest,Fp2,4.614180700448285,4.7421623246194216,0.12798162417113623
1,rest,F3,5.034580861770503,4.596256030736797,-0.43832483103370645
1,rest,F4,4.394196574770095,4.238890627364247,-0.15530594740584736
1,rest,F7,4.916986484885784,4.63722065305197,-0.27976583183381365
1,rest,F8,4.3644468899321645,4.294374811535237,-0.07007207839692775
1,rest,T3,5.454051285749566,5.732235136997261,0.27818385124769485
1,rest,T4,4.352212958965228,4.2251046983737535,-0.1271082605914744
1,rest,C3,4.990964332120811,4.695696347572509,-0.2952679845483015
1,rest,C4,4.4454235072850325,4.35823802138028,-0.08718548590475272
1,rest,T5,5.112756706123922,4.720313402081757,-0.3924433040421649
1,rest,T6,4.291629759006957,4.16600453781342,-0.12562522119353758
1,rest,P3,4.694051075663039,4.447883493594801,-0.24616758206823874
1,rest,P4,4.38372129979517,4.327044662361285,-0.056676637433884736
1,rest,O1,4.253331217030654,4.305062330075981,0.05173111304532707
1,rest,O2,4.161923556334119,4.377780152826134,0.21585659649201538
1,rest,Fz,4.579516140478245,4.310870643373974,-0.2686454971042709
1,rest,Cz,4.310146686926792,4.222849868695572,-0.08729681823121993
1,rest,Pz,3.947880949284991,3.837157373644812,-0.1107235756401792
1,arithmetic,Fp1,4.324562956626233,4.167739894573421,-0.15682306205281193
1,arithmetic,Fp2,4.999663457330453,4.727883821057401,-0.2717796362730516
1,arithmetic,F3,4.424723987048915,4.477224426952332,0.05250043990341702
1,arithmetic,F4,4.552251184893386,4.929743248472302,0.3774920635789156
1,arithmetic,F7,3.9063112637249255,4.023793985792984,0.1174827220680581
1,arithmetic,F8,3.4455245536433714,3.525769762388328,0.08024520874495655
1,arithmetic,T3,4.570908811876641,5.341424640002891,0.7705158281262499
1,arithmetic,T4,4.124218694004439,4.631691002608931,0.5074723086044921
1,arithmetic,C3,4.672656785627855,4.817632198352233,0.14497541272437786
1,arithmetic,C4,4.349925307765327,4.685020396935377,0.33509508917004993
1,arithmetic,T5,4.464538805650367,4.669503131367397,0.20496432571702972
1,arithmetic,T6,4.810958593964238,5.0015795019548674,0.19062090799062936
1,arithmetic,P3,4.383251700062773,4.175302696732189,-0.20794900333058397
1,arithmetic,P4,4.127834553365713,4.334989205222279,0.20715465185656612
1,arithmetic,O1,4.797367122422324,4.860115781606686,0.06274865918436134
1,arithmetic,O2,4.178854100958663,4.2285228292870745,0.049668728328411405
1,arithmetic,Fz,4.661840277739132,4.230703237879618,-0.43113703985951357
1,arithmetic,Cz,4.79473244255564,4.687756120881232,-0.10697632167440752
1,arithmetic,Pz,4.473204282122038,4.665053311869586,0.19184902974754792
2,rest,Fp1,6.426540431644622,6.728359545235031,0.30181911359040825
2,rest,Fp2,4.137420011818447,4.417756447832147,0.28033643601369995
2,rest,F3,4.661799405899565,4.710156600622789,0.04835719472322442
2,rest,F4,4.694399979815775,5.000120452291994,0.30572047247621903
2,rest,F7,6.379863481480455,6.212421015201392,-0.16744246627906278
2,rest,F8,5.008524611508552,5.145271461940608,0.13674685043205592
2,rest,T3,4.954355064470749,4.696204964202194,-0.2581501002685549
2,rest,T4,4.344743467285602,4.464517573602888,0.11977410631728613
2,rest,C3,4.2011119404244495,4.24852515675174,0.0474132163272909
2,rest,C4,4.044494543053999,4.372163089243453,0.32766854618945374
2,rest,T5,4.751649444499027,4.633372985625504,-0.118276458873523
2,rest,T6,3.926397718723446,4.037599841079112,0.11120212235566651
2,rest,P3,4.143865373781944,4.232195667554332,0.08833029377238777
2,rest,P4,3.9812191901613385,4.165063064732138,0.18384387457079931
2,rest,O1,4.51712977058971,4.756950110848461,0.23982034025875087
2,rest,O2,4.142021515190262,4.170716136096845,0.0286946209065837
2,rest,Fz,4.139269422584066,4.261127960314171,0.12185853773010535
2,rest,Cz,3.994434406483745,4.114448537426575,0.12001413094282976
2,rest,Pz,4.103224095599496,4.216377731930155,0.11315363633065889
2,arithmetic,Fp1,8.04439807100785,7.090212369188765,-0.9541857018190845
2,arithmetic,Fp2,5.4970988809988,5.468406914740429,-0.028691966258371338
2,arithmetic,F3,5.683839564063299,5.518107219193966,-0.1657323448693333
2,arithmetic,F4,5.92888450065535,5.330789450888799,-0.5980950497665507
2,arithmetic,F7,6.078280841705119,7.303127500787605,1.2248466590824858
2,arithmetic,F8,5.414802894720153,5.418788982540587,0.003986087820433859
2,arithmetic,T3,5.793381467105372,5.967140604630965,0.17375913752559313
2,arithmetic,T4,5.600607160268973,5.548468621015334,-0.052138539253639316
2,arithmetic,C3,4.750716230878809,4.955016202988596,0.20429997210978712
2,arithmetic,C4,5.071468028281544,4.972353430439933,-0.09911459784161103
2,arithmetic,T5,5.57959924598151,6.041155530718231,0.46155628473672117
2,arithmetic,T6,5.25563423559642,5.422650648271973,0.16701641267555267
2,arithmetic,P3,4.523750865245421,5.034190894709157,0.5104400294637363
2,arithmetic,P4,4.569550502697488,4.715039895479903,0.14548939278241502
2,arithmetic,O1,5.599151721756456,5.951621972320721,0.35247025056426473
2,arithmetic,O2,5.044067668739213,4.940946753663889,-0.1031209150753245
2,arithmetic,Fz,4.855583281561914,4.989197687362211,0.13361440580029615
2,arithmetic,Cz,4.86274756170157,4.593316726877191,-0.26943083482437924
2,arithmetic,Pz,4.643885445284787,5.277243569360912,0.6333581240761248
3,rest,Fp1,3.862541398166925,3.840187244368447,-0.022354153798477938
3,rest,Fp2,4.267227891531735,4.255924824636747,-0.011303066894988056
3,rest,F3,4.0423266250674565,4.027609330081657,-0.014717294985799434
3,rest,F4,4.025326317550205,4.012594909799265,-0.012731407750940171
3,rest,F7,3.920495531680327,4.205765272310625,0.285269740630298
3,rest,F8,4.100639604498341,4.104391743066516,0.003752138568175134
3,rest,T3,3.68107848682833,3.694023828213632,0.012945341385302012
3,rest,T4,4.09017193478805,4.04011047055098,-0.050061464237070474
3,rest,C3,3.766253214765755,3.88335133870518,0.11709812393942531
3,rest,C4,4.023734163780586,3.806051264942028,-0.21768289883855774
