turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,0.0
0,1,gen,12522,0.0
0,2,gen,5193,1.5299123525619507
0,3,gen,264,1.5634310245513916
0,4,gen,882,1.5964300235112507
0,5,gen,11,1.544455349445343
0,6,gen,1052,1.4229097843170166
0,7,gen,572,1.3513498604297638
0,8,gen,264,1.2623237797192164
0,9,gen,326,1.2069740518927574
0,10,gen,57909,1.2217252585623
0,11,gen,53416,1.2576520979404449
0,12,gen,6941,1.270629801533439
0,13,gen,7607,1.2899855921665828
0,14,gen,13,1.326267888912788
0,15,gen,1260,1.352660949741091
0,16,gen,12163,1.3293006777763368
0,17,gen,389,1.3342324160039425
0,18,gen,264,1.3179234441588907
0,19,gen,2613,1.286780658695433
0,20,gen,12922,1.2822207306560718
0,21,gen,22865,1.2937511175870895
0,22,gen,553,1.3214678906259083
0,23,gen,4258,1.3200161104852504
0,24,gen,11007,1.3619252469228662
0,25,gen,782,1.3951348836223285
0,26,gen,20520,1.3860872340202333
0,27,gen,13,1.3919417881048644
0,28,gen,1260,1.4041719591176067
0,29,gen,7391,1.3910686948469706
0,30,gen,806,1.3933803315820366
0,31,gen,2849,1.3774458050727845
0,32,gen,10282,1.3841279937374977
0,33,gen,279,1.406242343687242
0,34,gen,326,1.3862112260633899
0,35,gen,57909,1.3787412604978007
0,36,gen,304,1.3709006424873107
0,37,gen,1661,1.396883979920418
0,38,gen,3238,1.4119920326817421
0,39,gen,1973,1.4400808099777467
0,40,gen,323,1.469660391730647
0,41,gen,806,1.4732813431370644
0,42,gen,21461,1.4595868760539639
0,43,gen,3272,1.4780649927354628
0,44,gen,16210,1.5175315699269694
0,45,gen,279,1.5035621331584068
0,46,gen,20520,1.4846682452386426
0,47,gen,624,1.5011297368234204
0,48,gen,3966,1.53537864646604
0,49,gen,13458,1.5591262636646148
0,50,gen,88,1.6072999835014343
0,51,gen,3729,1.609118136667436
0,52,gen,11,1.625814978153475
0,53,gen,438,1.606770667337602
0,54,gen,7607,1.6064447183762827
0,55,gen,572,1.587733724424916
0,56,gen,3272,1.5558126876431126
0,57,gen,16210,1.5812913929262469
0,58,gen,279,1.5679365800273033
0,59,gen,20520,1.5521835761685525
0,60,gen,11,1.5651546659008149
0,61,gen,566,1.573162930627023
0,62,gen,29552,1.5699787659029807
0,63,gen,264,1.5646587591017447
0,64,gen,8284,1.5253664947325183
1,65,prefill_end,-1,1.575642962609568
1,66,gen,32631,1.575642962609568
1,67,gen,572,1.5829794099253993
1,68,gen,304,1.5555509944115915
1,69,gen,264,1.5386101045916158
1,70,gen,2272,1.5073527655293864
1,71,gen,61899,1.5044344067573547
1,72,gen,6534,1.5200636406098642
1,73,gen,979,1.5168968496784088
1,74,gen,264,1.496353393600833
1,75,gen,13458,1.4448830408434714
1,76,gen,4201,1.4521497391885327
1,77,gen,279,1.4654264661573595
1,78,gen,12922,1.4520454772057072
1,79,gen,13,1.4191710391352255
1,80,gen,151645,1.4148209767956887
