turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,0.0
0,1,gen,96183,0.0
0,2,gen,259,2.4615724086761475
0,3,gen,3341,2.2994951009750366
0,4,gen,525,2.210056781768799
0,5,gen,8881,2.214318811893463
0,6,gen,553,2.0272366285324095
0,7,gen,279,1.9223171671231587
0,8,gen,69919,1.7600602677890234
0,9,gen,6815,1.795854739844799
0,10,gen,315,1.7651059296396043
0,11,gen,279,1.74035125374794
0,12,gen,17788,1.6703510934656316
0,13,gen,323,1.7080001036326091
0,14,gen,279,1.7475140461554894
0,15,gen,7015,1.6853102956499373
0,16,gen,389,1.7249473571777343
0,17,gen,279,1.7828731685876846
0,18,gen,9237,1.7432556222466862
0,19,gen,594,1.7609029809633892
0,20,gen,53180,1.7440899798744602
0,21,gen,13,1.765537393093109
0,22,gen,576,1.7959846201397123
0,23,gen,9237,1.7636984532529658
0,24,gen,594,1.767635034478229
0,25,gen,12695,1.7449926783641179
0,26,gen,1083,1.774601740837097
0,27,gen,11088,1.7984110713005066
0,28,gen,264,1.776605036523607
0,29,gen,3476,1.747323038322585
0,30,gen,304,1.7351611133279472
0,31,gen,6825,1.7210136791070303
0,32,gen,85459,1.7044152155999215
0,33,gen,8437,1.7173133069469082
0,34,gen,13,1.722152458083245
0,35,gen,576,1.7164781766553079
0,36,gen,69919,1.6789007782936096
0,37,gen,5344,1.7070099480690495
0,38,gen,315,1.710910226068189
0,39,gen,279,1.727370200618621
0,40,gen,17788,1.6911624554664857
0,41,gen,323,1.7077409836553759
0,42,gen,7015,1.7212119487024122
0,43,gen,11137,1.7559839006393188
0,44,gen,279,1.7666415264529567
0,45,gen,53180,1.7284828328317212
0,46,gen,311,1.7601333260536194
0,47,gen,7028,1.741627202879998
0,48,gen,709,1.7248363744828008
0,49,gen,700,1.7416777553096894
0,50,gen,389,1.7418606608144698
0,51,gen,279,1.7484554225398647
0,52,gen,3108,1.704673494062116
0,53,gen,315,1.6842723815671858
0,54,gen,279,1.6914918191971318
0,55,gen,9237,1.6627493154618047
0,56,gen,12880,1.6871812362824716
0,57,gen,279,1.6912083875748418
0,58,gen,17788,1.6574579727265142
0,59,gen,323,1.6914373886200689
0,60,gen,279,1.7322570969981532
0,61,gen,7015,1.7216564378430765
0,62,gen,11,1.739615786460138
0,63,gen,6825,1.773239254951477
0,64,gen,1550,1.7222370140014156
1,65,prefill_end,-1,1.7467143535614014
1,66,gen,785,1.7467143535614014
1,67,gen,8059,1.7355416686304155
1,68,gen,1558,1.7259620139675755
1,69,gen,16792,1.7456649445718335
1,70,gen,311,1.7455477272310564
1,71,gen,279,1.7466990582404598
1,72,gen,18003,1.7072810453753318
1,73,gen,315,1.6968112895565648
1,74,gen,259,1.6605721135293283
1,75,gen,3341,1.6361894146088631
1,76,gen,11,1.6551955861430014
1,77,gen,7892,1.6611274134728216
1,78,gen,1181,1.6476726916528517
1,79,gen,2456,1.6276858160572667
1,80,gen,374,1.6250107057632939
1,81,gen,2686,1.597476101690723
1,82,gen,37517,1.590305220696234
1,83,gen,1091,1.603796653209194
1,84,gen,429,1.5993687125944323
1,85,gen,315,1.6119169439038923
1,86,gen,279,1.6250199156422769
1,87,gen,17330,1.5848985160550764
1,88,gen,13,1.554492675488995
1,89,gen,3197,1.581090263782009
1,90,gen,279,1.5588990661405748
1,91,gen,8059,1.519520280822631
1,92,gen,11,1.545744001865387
1,93,gen,17330,1.5425436708234972
1,94,gen,11,1.53768003179181
1,95,gen,323,1.5483099279865142
1,96,gen,9237,1.5072379804426623
1,97,gen,525,1.4733483906715148
1,98,gen,26118,1.5125239568371927
1,99,gen,304,1.5021622469348292
1,100,gen,264,1.4851349188435463
1,101,gen,7678,1.470022814889108
1,102,gen,1555,1.5006543147948481
1,103,gen,11,1.5228577333111917
1,104,gen,448,1.5273151455386993
1,105,gen,279,1.5452907316146358
1,106,gen,8059,1.5255318187898206
1,107,gen,389,1.5323873181496896
1,108,gen,825,1.5311434192042197
1,109,gen,3108,1.543231064273465
1,110,gen,323,1.532860529038214
1,111,gen,279,1.5370942085020003
1,112,gen,17330,1.528226092938454
1,113,gen,389,1.5390925388182364
1,114,gen,279,1.5552814718215697
1,115,gen,1008,1.529081283077117
1,116,gen,11,1.5178706569056357
1,117,gen,279,1.5243079623868387
1,118,gen,69919,1.5261609477381552
1,119,gen,8437,1.5338942350879792
1,120,gen,315,1.504959144899922
1,121,gen,2176,1.4909275847096597
1,122,gen,279,1.5133856534957886
1,123,gen,8059,1.4925390443494242
1,124,gen,323,1.496024558621068
1,125,gen,279,1.4876755745180192
1,126,gen,17330,1.4654230571562243
1,127,gen,15963,1.4934469519122955
1,128,gen,311,1.5102569653141884
1,129,gen,1855,1.4864511855186955
