turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,0.0
0,1,gen,96183,0.0
0,2,gen,259,2.4615724086761475
0,3,gen,3341,2.2994951009750366
0,4,gen,525,2.210056781768799
0,5,gen,8881,2.214318811893463
0,6,gen,553,2.0272366285324095
0,7,gen,279,1.9223171671231587
0,8,gen,69919,1.7600602677890234
0,9,gen,6815,1.795854739844799
0,10,gen,315,1.7651059296396043
0,11,gen,279,1.74035125374794
0,12,gen,17788,1.6703510934656316
0,13,gen,323,1.7080001036326091
0,14,gen,279,1.7475140461554894
0,15,gen,7015,1.6853102956499373
0,16,gen,389,1.7249473571777343
0,17,gen,279,1.7828731685876846
0,18,gen,9237,1.7432556222466862
0,19,gen,594,1.7609029809633892
0,20,gen,53180,1.7440899798744602
0,21,gen,13,1.765537393093109
0,22,gen,576,1.7959846201397123
0,23,gen,9237,1.7636984532529658
0,24,gen,594,1.767635034478229
0,25,gen,12695,1.7449926783641179
0,26,gen,1083,1.774601740837097
0,27,gen,11088,1.7984110713005066
0,28,gen,264,1.776605036523607
0,29,gen,3476,1.747323038322585
0,30,gen,304,1.7351611133279472
0,31,gen,6825,1.7210136791070303
0,32,gen,85459,1.7044152155999215
0,33,gen,8437,1.7173133069469082
0,34,gen,13,1.722152458083245
0,35,gen,576,1.7164781766553079
0,36,gen,69919,1.6789007782936096
0,37,gen,5344,1.7070099480690495
0,38,gen,315,1.710910226068189
0,39,gen,279,1.727370200618621
0,40,gen,17788,1.6911624554664857
0,41,gen,323,1.7077409836553759
0,42,gen,7015,1.7212119487024122
0,43,gen,11137,1.7559839006393188
0,44,gen,279,1.7666415264529567
0,45,gen,53180,1.7284828328317212
0,46,gen,311,1.7601333260536194
0,47,gen,7028,1.741627202879998
0,48,gen,709,1.7248363744828008
0,49,gen,700,1.7416777553096894
0,50,gen,389,1.7418606608144698
0,51,gen,279,1.7484554225398647
0,52,gen,3108,1.704673494062116
0,53,gen,315,1.6842723815671858
0,54,gen,279,1.6914918191971318
0,55,gen,9237,1.6627493154618047
0,56,gen,12880,1.6871812362824716
0,57,gen,279,1.6912083875748418
0,58,gen,17788,1.6574579727265142
0,59,gen,323,1.6914373886200689
0,60,gen,279,1.7322570969981532
0,61,gen,7015,1.7216564378430765
0,62,gen,11,1.739615786460138
0,63,gen,6825,1.773239254951477
0,64,gen,1550,1.7222370140014156
1,65,prefill_end,-1,1.7481028802933232
1,66,gen,9454,1.7481028802933232
1,67,gen,11,1.7570019960403442
1,68,gen,279,1.718110695961983
1,69,gen,8059,1.6968307187480312
1,70,gen,1558,1.7101163864135742
1,71,gen,16792,1.746650303563764
1,72,gen,311,1.721662409843937
1,73,gen,279,1.6917485690885974
1,74,gen,259,1.651158876957432
1,75,gen,3341,1.625138476971657
1,76,gen,13,1.6431127036771467
1,77,gen,576,1.6567201787425625
1,78,gen,69919,1.6336486916388235
1,79,gen,6815,1.6300434258676344
1,80,gen,315,1.6222018118827575
1,81,gen,279,1.5964750051498413
1,82,gen,8059,1.5723295557883479
1,83,gen,389,1.615645037543389
1,84,gen,279,1.627453459847358
1,85,gen,9237,1.6204470915179099
1,86,gen,594,1.6495584095678022
1,87,gen,53180,1.6295412548126713
1,88,gen,374,1.6070432855236916
1,89,gen,1753,1.6303776617973083
1,90,gen,16245,1.6049393492360269
1,91,gen,1091,1.5744121882223314
1,92,gen,429,1.5867236698827436
1,93,gen,315,1.581600389172954
1,94,gen,279,1.5532962314544185
1,95,gen,17330,1.5380667063497728
1,96,gen,11,1.5294370728154336
1,97,gen,714,1.5022339820861816
1,98,gen,279,1.4947762989228772
1,99,gen,17330,1.4937282646856
1,100,gen,594,1.5258579561787267
1,101,gen,6815,1.5180583038637716
1,102,gen,374,1.5046575607792023
1,103,gen,1753,1.5130369201783211
1,104,gen,8131,1.5232209774755663
1,105,gen,1576,1.5411670919387572
1,106,gen,432,1.5398878993526581
1,107,gen,374,1.5276059892869764
1,108,gen,1753,1.4790264656466823
1,109,gen,12128,1.4943789397516558
1,110,gen,311,1.4984906142757786
1,111,gen,279,1.4971619767527427
1,112,gen,9237,1.482149160677387
1,113,gen,13,1.5124041361193503
1,114,gen,576,1.512444298113546
1,115,gen,8059,1.4742058823185582
1,116,gen,594,1.4980926321398826
1,117,gen,69919,1.4832940332351192
1,118,gen,5344,1.5011770725250244
1,119,gen,374,1.4795857437195317
1,120,gen,803,1.4434605471549495
1,121,gen,5089,1.436116616572103
1,122,gen,4152,1.4371099414363984
1,123,gen,311,1.4373817924530274
1,124,gen,1181,1.4096840793086636
1,125,gen,1753,1.3955920607812944
1,126,gen,7046,1.4230608497896502
1,127,gen,3072,1.4013592216276354
1,128,gen,11,1.3887149653127115
1,129,gen,714,1.4029222630685376
