turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,1.3539062682304759
0,1,gen,785,1.4057973993982282
0,2,gen,5355,1.4893954946250065
0,3,gen,95362,1.5388718023787107
0,4,gen,45195,1.5469164389738514
0,5,gen,57817,1.6894772622427245
0,6,gen,5302,1.72703904990945
0,7,gen,429,1.661398222808859
0,8,gen,304,1.6019934918660301
0,9,gen,264,1.6106636359187814
0,10,gen,1290,1.6283613076724617
0,11,gen,12,1.528192942058768
0,12,gen,38940,1.4161616810195294
0,13,gen,21495,1.38728371832877
0,14,gen,11,1.4303893640687693
0,15,gen,279,1.4177069243836682
0,16,gen,9334,1.5280952317248337
0,17,gen,315,1.5501275442392646
0,18,gen,279,1.5828909631671921
0,19,gen,3084,1.5047701828773719
0,20,gen,315,1.5458798843415194
0,21,gen,279,1.5450954667377752
0,22,gen,9751,1.5959566936478689
0,23,gen,65628,1.5596517047460283
0,24,gen,810,1.507157064448871
0,25,gen,320,1.60371383439151
0,26,gen,1782,1.6106780266156746
0,27,gen,3108,1.62356783827845
0,28,gen,14002,1.6535938174942035
0,29,gen,279,1.5574748155260079
0,30,gen,1290,1.6271009927036437
0,31,gen,9210,1.666023437717604
0,32,gen,8,1.667420640586942
0,33,gen,374,1.5407231167430573
0,34,gen,6144,1.614065147039833
0,35,gen,311,1.6159659969151368
0,36,gen,279,1.6161828179057196
0,37,gen,2629,1.6516261951409672
0,38,gen,315,1.6124753091171962
0,39,gen,279,1.6824626175148516
0,40,gen,31340,1.6658858336599567
0,41,gen,315,1.5993297721796587
0,42,gen,279,1.527765714374333
0,43,gen,28316,1.4893461700129247
0,44,gen,315,1.5434355005996978
0,45,gen,279,1.468329944283334
0,46,gen,1008,1.5275650333521014
0,47,gen,1378,1.56153442252053
0,48,gen,11067,1.6957697255266013
0,49,gen,13,1.6778693239825517
0,50,gen,151645,1.6466766949868425
1,51,prefill_end,-1,1.683707916697018
1,52,gen,95456,1.7235214493933986
1,53,gen,0,1.825850720191511
1,54,gen,5692,1.6209349961824988
1,55,gen,374,1.7447759742483697
1,56,gen,264,1.6116500520619614
1,57,gen,25529,1.5051806725305426
1,58,gen,315,1.5428246194105002
1,59,gen,264,1.4954343098976843
1,60,gen,11064,1.5723022798280895
1,61,gen,315,1.5569997856077422
1,62,gen,279,1.489780702633097
1,63,gen,5355,1.5634332316561772
1,64,gen,95362,1.6683259710334961
1,65,gen,45195,1.598573902354398
1,66,gen,57817,1.6816318066975269
1,67,gen,1667,1.6367817406650764
1,68,gen,279,1.6773494480856208
1,69,gen,7286,1.5707223873301763
1,70,gen,315,1.5113614053787556
1,71,gen,4428,1.567018055944641
1,72,gen,42446,1.599339405702624
1,73,gen,323,1.5251804357748466
1,74,gen,279,1.4329070041860767
1,75,gen,3082,1.5856662701318411
1,76,gen,315,1.5983490029930154
1,77,gen,42446,1.594211929419146
1,78,gen,1447,1.5850839195961821
1,79,gen,16,1.5890810285193429
1,80,gen,13,1.6020291520708014
1,81,gen,3070,1.5927951860867995
1,82,gen,8137,1.5828379336624403
1,83,gen,264,1.566706627700193
1,84,gen,1290,1.554861967777421
1,85,gen,12,1.5463691983294345
1,86,gen,38940,1.654493101539265
1,87,gen,21495,1.5778593363875677
1,88,gen,334,1.5842623027522826
1,89,gen,448,1.6641998398939573
1,90,gen,11067,1.533095649007867
1,91,gen,17767,1.5888256322865744
1,92,gen,64,1.6064264057828148
1,93,gen,59,1.561078048971381
1,94,gen,701,1.5278821175416266
1,95,gen,17767,1.4623295995283283
1,96,gen,65,1.5663774826388306
1,97,gen,59,1.5505237379542007
1,98,gen,701,1.5357525773234708
1,99,gen,323,1.4746043563739542
1,100,gen,9751,1.504851331520978
1,101,gen,65628,1.564765797127474
1,102,gen,810,1.6838509248665257
1,103,gen,17767,1.6706479442078388
1,104,gen,66,1.6115387217398038
1,105,gen,59,1.5850174745540406
1,106,gen,4292,1.6091612555021768
1,107,gen,17,1.581706016887535
1,108,gen,13,1.5564838121511015
1,109,gen,3070,1.607749479433827
1,110,gen,28468,1.6109135104862395
1,111,gen,264,1.6964654954219518
1,112,gen,9334,1.7452042325030719
1,113,gen,334,1.7487995046087887
1,114,gen,389,1.67234728385777
1,115,gen,1817,1.6017326154597438
