turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,1.4993504366793937
0,1,gen,785,1.5438453592728358
0,2,gen,5355,1.591751184596368
0,3,gen,95362,1.5291375537210299
0,4,gen,45195,1.492775859324724
0,5,gen,57817,1.464225487070915
0,6,gen,5302,1.4982676897559646
0,7,gen,429,1.6436020128317443
0,8,gen,304,1.6705348511543492
0,9,gen,264,1.5980530907218449
0,10,gen,1290,1.4560626655112345
0,11,gen,12,1.4568933148817802
0,12,gen,38940,1.4116046246194518
0,13,gen,21495,1.472897670386117
0,14,gen,11,1.525923427040657
0,15,gen,279,1.3855793543528558
0,16,gen,9334,1.5766371127357353
0,17,gen,315,1.6067175561386997
0,18,gen,279,1.5167197902662026
0,19,gen,3084,1.5006426279300893
0,20,gen,315,1.572863238772579
0,21,gen,279,1.6041242626604264
0,22,gen,9751,1.580124875941758
0,23,gen,65628,1.4953627621043337
0,24,gen,810,1.4625223899278763
0,25,gen,320,1.4511965041507218
0,26,gen,1782,1.5177188613026753
0,27,gen,3108,1.4944917129347524
0,28,gen,14002,1.4687436945994619
0,29,gen,279,1.5383400375047274
0,30,gen,1290,1.5473394271741117
0,31,gen,9210,1.5665546786083488
0,32,gen,8,1.6226001563307135
0,33,gen,374,1.5668986250246912
0,34,gen,6144,1.5981107975792488
0,35,gen,311,1.5852985006997138
0,36,gen,279,1.6005348502509933
0,37,gen,2629,1.5886078924474865
0,38,gen,315,1.608587810142517
0,39,gen,279,1.6616721962539147
0,40,gen,31340,1.6716070101217448
0,41,gen,315,1.6533821931538282
0,42,gen,279,1.6905055598581527
0,43,gen,28316,1.603546472022651
0,44,gen,315,1.5915552654871794
0,45,gen,279,1.5348824858119996
0,46,gen,1008,1.483949445136923
0,47,gen,1378,1.4332934769730066
0,48,gen,11067,1.4446120342858528
0,49,gen,13,1.5548296560169828
0,50,gen,151645,1.4848284164117798
1,51,prefill_end,-1,1.7942932277391963
1,52,gen,1249,1.6799918414730686
1,53,gen,12118,1.7550333933051723
1,54,gen,279,1.5326211167144428
1,55,gen,5355,1.4835554577170131
1,56,gen,95362,1.580683920350216
1,57,gen,45195,1.5404180248072048
1,58,gen,57817,1.607954878556397
1,59,gen,11,1.6156321793632455
1,60,gen,825,1.5347238624703987
1,61,gen,646,1.6261137077805332
1,62,gen,990,1.517602880928774
1,63,gen,3807,1.4517712599441859
1,64,gen,52484,1.4417543601251908
1,65,gen,19827,1.3916690145015467
1,66,gen,13,1.429750576323084
1,67,gen,5692,1.510625881451602
1,68,gen,594,1.5939110694995975
1,69,gen,264,1.505775811610424
1,70,gen,25529,1.41079941457218
1,71,gen,315,1.5052700764186355
1,72,gen,264,1.446495954913296
1,73,gen,4285,1.465453209472063
1,74,gen,11064,1.4905860584556507
1,75,gen,1667,1.4905284329316564
1,76,gen,55327,1.4443470064342374
1,77,gen,56633,1.5681372220400533
1,78,gen,1447,1.5559460131978333
1,79,gen,16,1.5494800071518777
1,80,gen,13,1.598834943005022
1,81,gen,21144,1.5529045013909362
1,82,gen,264,1.6091683913531658
1,83,gen,1290,1.6276570068079617
1,84,gen,12,1.7458514879529072
1,85,gen,38940,1.5687529332514163
1,86,gen,21495,1.568528475971022
1,87,gen,448,1.466597489657261
1,88,gen,11067,1.6453764186421127
1,89,gen,17767,1.7023522639771116
1,90,gen,64,1.6397411512230273
1,91,gen,59,1.650267791582919
1,92,gen,701,1.7352532204340625
1,93,gen,17767,1.6522759955115718
1,94,gen,65,1.6777402708972844
1,95,gen,59,1.658768359104757
1,96,gen,701,1.4949246321401735
1,97,gen,323,1.4627086257410116
1,98,gen,9751,1.3638038118625055
1,99,gen,65628,1.4135468951327035
1,100,gen,810,1.4555585815667023
1,101,gen,17767,1.4165433749446033
1,102,gen,66,1.449044660370527
1,103,gen,59,1.4751327115587187
1,104,gen,568,1.515133189539648
1,105,gen,11992,1.5127135066435935
1,106,gen,264,1.4065062402072308
1,107,gen,9334,1.4623866916429464
1,108,gen,448,1.5132888775198237
1,109,gen,3108,1.5521098921705556
1,110,gen,3084,1.5285074745478469
1,111,gen,17767,1.5170585335180675
1,112,gen,64,1.547509861975637
1,113,gen,488,1.5021380467315677
1,114,gen,293,1.5020266588877742
1,115,gen,59,1.5148804897192523
