turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,0.0
0,1,gen,40,0.0
0,2,gen,2776,1.0381484031677246
0,3,gen,14589,0.9549537897109985
0,4,gen,11,1.231220801671346
0,5,gen,714,1.246267169713974
0,6,gen,358,1.1675676703453064
0,7,gen,1513,1.177571306626002
0,8,gen,944,1.2675390158380782
0,9,gen,3535,1.3452040031552315
0,10,gen,279,1.3652352425787184
0,11,gen,3405,1.3562218248844147
0,12,gen,13,1.3615384156053716
0,13,gen,16503,1.3893355478843052
0,14,gen,498,1.4181695305384123
0,15,gen,4486,1.383621164730617
0,16,gen,3410,1.3468446890513102
0,17,gen,803,1.3392506688833237
0,18,gen,2266,1.341264759793001
0,19,gen,476,1.3529496987660725
0,20,gen,37163,1.3854039405521594
0,21,gen,697,1.4047721385955811
0,22,gen,3405,1.4043744234811693
0,23,gen,30,1.4055266597054221
0,24,gen,151645,1.4152011301206506
1,25,prefill_end,-1,1.4092494547367096
1,26,gen,12522,1.4092494547367096
1,27,gen,5193,1.4075801515579223
1,28,gen,264,1.4158920508164625
1,29,gen,882,1.4257147753680195
1,30,gen,11,1.4244951392923082
1,31,gen,304,1.4105693718482708
1,32,gen,264,1.4064625302950542
1,33,gen,3041,1.3884205683585136
1,34,gen,12462,1.4091505408287048
1,35,gen,1879,1.4192619227593946
1,36,gen,11,1.413765001681543
1,37,gen,1052,1.410672874219956
1,38,gen,572,1.41867543420484
1,39,gen,264,1.4050221539312793
1,40,gen,21583,1.3708003624793021
1,41,gen,12305,1.3709176951839077
1,42,gen,6941,1.3864739883330561
1,43,gen,45947,1.4014722243432076
1,44,gen,13,1.4260353446006775
1,45,gen,45947,1.4392804541895468
1,46,gen,1030,1.4321796721027744
1,47,gen,1012,1.449050364955779
1,48,gen,3238,1.4503725190316477
1,49,gen,98129,1.4584085326040945
1,50,gen,369,1.4611249508396271
1,51,gen,10793,1.4658186474154073
1,52,gen,11,1.4555985466126473
1,53,gen,98129,1.4403821076116254
1,54,gen,16380,1.4491486972378147
1,55,gen,279,1.472620141121649
1,56,gen,1852,1.4514508362739318
1,57,gen,9079,1.4539679904137888
1,58,gen,1899,1.460004614245507
1,59,gen,304,1.4901857568371681
1,60,gen,323,1.5145557580455657
1,61,gen,1899,1.5333079753383514
1,62,gen,700,1.5662954430426321
1,63,gen,13,1.62064496163399
1,64,gen,1988,1.6393104272504007
1,65,gen,825,1.622125204532377
1,66,gen,1899,1.6320423099302477
1,67,gen,11,1.6267667258939436
1,68,gen,438,1.6203574615140115
1,69,gen,566,1.6281063498989228
1,70,gen,7578,1.6447682457585489
1,71,gen,389,1.671027906479374
1,72,gen,806,1.647819911279986
1,73,gen,5749,1.6187590937460623
1,74,gen,1241,1.6375088960893693
1,75,gen,11,1.6440662607069938
1,76,gen,22148,1.629868338184972
1,77,gen,4034,1.6446170883793985
1,78,gen,11,1.6562226395453177
1,79,gen,566,1.6772872940186532
1,80,gen,6476,1.6576579770734232
1,81,gen,264,1.6528459441277288
1,82,gen,14888,1.6254923343658447
1,83,gen,36292,1.6170577579928982
1,84,gen,304,1.6218142278732792
1,85,gen,806,1.6128769266989924
1,86,gen,45021,1.5812394503624208
1,87,gen,382,1.6160459479978007
1,88,gen,2132,1.649000798502276
1,89,gen,572,1.6473713690234768
