turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,0.0
0,1,gen,31772,0.0
0,2,gen,73667,2.5801408290863037
0,3,gen,374,2.1161781549453735
0,4,gen,279,2.16321070988973
0,5,gen,1882,1.8872594833374023
0,6,gen,553,1.8004112005233766
0,7,gen,892,1.8475152452786763
0,8,gen,10779,1.8602327619280135
0,9,gen,11,1.8868941366672516
0,10,gen,67851,1.8801752858691745
0,11,gen,11,1.9531766772270203
0,12,gen,323,1.959479494528337
0,13,gen,1045,1.8652726709842682
0,14,gen,23157,1.8662831508196318
0,15,gen,5508,1.9148762140955244
0,16,gen,3100,1.9865525643030801
0,17,gen,4802,2.014639787375927
0,18,gen,1119,1.9872497390298283
0,19,gen,11483,1.9833532108200922
0,20,gen,4802,2.0009657395513436
0,21,gen,9768,2.005647522211075
0,22,gen,304,2.005382475398836
0,23,gen,33223,1.983410965312611
0,24,gen,13,2.024849570315817
0,25,gen,1096,2.048245151837667
0,26,gen,1882,2.0204845380783083
0,27,gen,13666,1.9909577369689941
0,28,gen,15503,1.9582674459174827
0,29,gen,304,1.9341363438538142
0,30,gen,279,1.9140356409138646
0,31,gen,36733,1.8731455067793528
0,32,gen,91235,1.888623874033651
0,33,gen,82,1.869209114582308
0,34,gen,315,1.8456285692030383
0,35,gen,6008,1.8181760964855072
0,36,gen,7761,1.852284143047948
0,37,gen,11,1.8742405445344987
0,38,gen,1380,1.8570441084523355
0,39,gen,36733,1.832794193298586
0,40,gen,5127,1.8496437803391488
0,41,gen,24705,1.8362828339299848
0,42,gen,40155,1.827778935432434
0,43,gen,39020,1.8400762734874603
0,44,gen,13,1.8809741427821498
0,45,gen,576,1.89795571373355
0,46,gen,17006,1.850319170182751
0,47,gen,4802,1.8173445770817418
0,48,gen,374,1.8022553305472098
0,49,gen,1483,1.7924240789105814
0,50,gen,311,1.7708983190598027
0,51,gen,5508,1.7272938989823865
0,52,gen,12499,1.708186314951989
0,53,gen,39489,1.7189588969753635
0,54,gen,323,1.720380425453186
0,55,gen,3015,1.688950538635254
0,56,gen,1119,1.671016308569139
0,57,gen,33223,1.7020581729950444
0,58,gen,323,1.7205843387111541
0,59,gen,23552,1.747851010291807
0,60,gen,11,1.776013881929459
0,61,gen,27865,1.8006659746170044
0,62,gen,23552,1.8344258666038513
0,63,gen,438,1.8372264389068849
0,64,gen,264,1.8564983625565805
0,65,gen,553,1.8633885691242833
0,66,gen,3031,1.8907665783359158
0,67,gen,13,1.8895290397828626
0,68,gen,151645,1.8887848200336579
1,69,prefill_end,-1,1.8669739923169535
1,70,gen,2120,1.8669739923169535
1,71,gen,1783,1.8696027724973616
1,72,gen,10008,1.83399365409728
1,73,gen,990,1.8531888300372708
1,74,gen,92859,1.8116838739764305
1,75,gen,315,1.7978236905990108
1,76,gen,3100,1.7741527365099998
1,77,gen,304,1.7491945720488025
1,78,gen,279,1.770795303006326
1,79,gen,6303,1.7432087198380501
1,80,gen,323,1.750033978492983
1,81,gen,2518,1.7701470698079755
1,82,gen,13604,1.7856021542702951
1,83,gen,315,1.8110690155336935
1,84,gen,279,1.805800949373553
1,85,gen,65569,1.758469941154603
1,86,gen,19745,1.7758910905930303
1,87,gen,369,1.777742560832731
1,88,gen,7249,1.7718784828339853
1,89,gen,73667,1.7666783044415135
1,90,gen,13,1.75278002408243
1,91,gen,151645,1.7468366795970547
2,92,prefill_end,-1,1.7002575109081883
2,93,gen,2304,1.7002575109081883
2,94,gen,4693,1.673317999609055
2,95,gen,4994,1.661593492954008
2,96,gen,6176,1.6382071683483739
2,97,gen,1576,1.619437708008674
2,98,gen,807,1.6467824078375293
2,99,gen,6644,1.6102654760883701
2,100,gen,264,1.579265365677495
2,101,gen,6176,1.5429684654358895
2,102,gen,76578,1.581996771597093
2,103,gen,2598,1.6140275270708146
2,104,gen,36733,1.6314322717728154
2,105,gen,5127,1.6494905333365164
2,106,gen,24705,1.656386806118873
2,107,gen,13,1.6657257041623514
2,108,gen,91379,1.697424557901198
2,109,gen,5127,1.7180559327525478
2,110,gen,24705,1.7157613615835867
2,111,gen,374,1.7513602510575326
2,112,gen,8480,1.7447979065679735
2,113,gen,369,1.7288879194567282
2,114,gen,69175,1.707308042433954
2,115,gen,3100,1.7157871184810516
2,116,gen,11,1.7295055466313516
2,117,gen,7945,1.7594209082664982
2,118,gen,304,1.7465905008777496
2,119,gen,279,1.7294648174316651
2,120,gen,6303,1.6996426505427207
2,121,gen,323,1.69682143580529
2,122,gen,2518,1.7119263910478162
2,123,gen,13604,1.7088845775973411
2,124,gen,315,1.7380474882741128
2,125,gen,279,1.7399477420314666
2,126,gen,65569,1.7220036964262686
2,127,gen,19745,1.733733921281753
2,128,gen,11,1.732039249712421
2,129,gen,892,1.7035030222708178
2,130,gen,374,1.7033466235283883
2,131,gen,3170,1.6918883535169786
2,132,gen,10779,1.7094701643913024
2,133,gen,4994,1.7017706709523355
2,134,gen,6176,1.6907352093727357
2,135,gen,1212,1.6814818266899354
2,136,gen,9434,1.6702869976720502
2,137,gen,3100,1.7028354829357517
2,138,gen,13,1.6740857939566336
2,139,gen,4354,1.6568840280655892
2,140,gen,11,1.6208903712611045
2,141,gen,36733,1.5959729879133162
2,142,gen,5127,1.5875441182044245
