turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,0.0
0,1,gen,785,0.0
0,2,gen,31805,0.7796191573143005
0,3,gen,315,1.2694368064403534
0,4,gen,7437,1.2485918402671814
0,5,gen,2075,1.456264689564705
0,6,gen,8,1.4692267060279847
0,7,gen,448,1.3942634960015614
0,8,gen,5091,1.4261366724967957
0,9,gen,311,1.4465532675385475
0,10,gen,856,1.411029213004642
0,11,gen,374,1.4071417510509492
0,12,gen,7960,1.4064898653463884
0,13,gen,2075,1.4507224013408024
0,14,gen,568,1.4602941962388845
0,15,gen,151645,1.4463860946042197
1,16,prefill_end,-1,1.397087574005127
1,17,gen,1249,1.397087574005127
1,18,gen,3535,1.3733110427856445
1,19,gen,3170,1.3729825510698206
1,20,gen,279,1.3681424856185913
1,21,gen,31805,1.3495569605576365
1,22,gen,315,1.361529815196991
1,23,gen,7437,1.3502538147426786
1,24,gen,2075,1.3827752579342236
1,25,gen,8,1.3835320420887158
1,26,gen,374,1.365147369603316
1,27,gen,7960,1.3502426218986512
1,28,gen,2075,1.3678491413593292
1,29,gen,701,1.3740540323434052
1,30,gen,1077,1.3689277576548713
1,31,gen,594,1.3614195523590877
1,32,gen,1744,1.3506315648555756
1,33,gen,911,1.3490733773477617
1,34,gen,1128,1.3607463605942265
1,35,gen,8573,1.341223216825916
1,36,gen,979,1.3513632435952463
1,37,gen,582,1.3243977139073033
1,38,gen,53163,1.3074827021168125
1,39,gen,279,1.3302397055010642
1,40,gen,57668,1.31871437065063
1,41,gen,729,1.3264972567558289
1,42,gen,382,1.3326650184969748
1,43,gen,16,1.3372843630852238
1,44,gen,13,1.328882380839317
1,45,gen,3070,1.2976554805232632
1,46,gen,70151,1.2777963376814319
1,47,gen,279,1.2874225839491813
1,48,gen,328,1.302860342687176
1,49,gen,482,1.3127528832804771
1,50,gen,5712,1.319773825906938
1,51,gen,334,1.3221889484313227
1,52,gen,510,1.3237569005258623
1,53,gen,256,1.3035312198823499
1,54,gen,481,1.2942999486000306
1,55,gen,576,1.2543094542718702
1,56,gen,57668,1.2406474025018754
1,57,gen,729,1.2714427748034078
1,58,gen,11,1.2867496359732844
1,59,gen,7437,1.263073282857095
1,60,gen,2075,1.278601711796176
1,61,gen,701,1.2967486073893886
1,62,gen,6696,1.303565836721851
1,63,gen,279,1.3174213517096736
1,64,gen,379,1.3083369885721514
1,65,gen,80697,1.3345577332281298
1,66,gen,315,1.344621177642576
1,67,gen,264,1.3370374095055364
1,68,gen,1459,1.328873493979054
1,69,gen,389,1.3379225538622948
1,70,gen,279,1.3307182365848171
1,71,gen,4982,1.326630623109879
1,72,gen,12671,1.3398810317439418
1,73,gen,12159,1.3627680809267106
1,74,gen,311,1.3873181381533224
1,75,gen,458,1.3855124827354186
1,76,gen,9210,1.3838153096937365
1,77,gen,856,1.4010213152054818
1,78,gen,382,1.39738590486588
1,79,gen,17,1.4186483467778852
1,80,gen,13,1.4119142370839273
1,81,gen,3070,1.3998690612854496
1,82,gen,31898,1.388809411756454
1,83,gen,43819,1.4226036879324144
1,84,gen,5465,1.4739424394023033
1,85,gen,334,1.4734807322102208
1,86,gen,510,1.4860851995406612
1,87,gen,256,1.4763506151014758
1,88,gen,481,1.4387012931608385
1,89,gen,37791,1.4174133231562953
1,90,gen,13330,1.424690338873094
1,91,gen,264,1.4106528143728934
1,92,gen,68660,1.3834363068303754
1,93,gen,1555,1.412643463380875
1,94,gen,311,1.4053621176750428
1,95,gen,279,1.4282117620591195
1,96,gen,57668,1.399924712796365
1,97,gen,15655,1.4211678428034629
1,98,gen,518,1.4349440451591247
1,99,gen,264,1.468206480626137
1,100,gen,1459,1.463227177819898
1,101,gen,856,1.4557096439023172
