regime,prompt_idx,seed,D_A,D_B,jsd_mean,jsd_max,jsd_n,turn1_jsd_max,turn1_jsd_n
creative,0,17,0.1426811102973037,0.08522322493121849,0.12299972043212173,0.5698127531163997,20,0.0,20
creative,0,42,0.0990443384695522,0.21976725047816567,0.2366701204528953,0.5376828380033979,20,0.0,20
creative,0,1337,0.20570908431641408,0.27376689827200623,0.04471432796872939,0.12033638061741748,14,0.0,20
creative,1,17,0.39806352600601347,0.36094560239304146,0.17299202347450687,0.5528567740004922,20,0.0,20
creative,1,42,0.15697091587730963,0.06795775446479431,0.07817733126731471,0.2701995282220817,20,0.0,20
creative,1,1337,0.04849960202087938,0.1012625255438631,0.15545862224948057,0.5687449411104357,20,0.0,20
factual,0,17,0.35241138295213864,0.2521593446970593,0.017122445052115336,0.14134361275115362,20,0.0,20
factual,0,42,0.25942467104695605,0.13766725101362914,0.02795439478958401,0.16274464015121198,20,0.0,20
factual,0,1337,0.4123369349310299,0.16372519254456422,0.019729817922827304,0.14325758976884817,20,0.0,20
factual,1,17,0.2063743196665063,0.4319209588698047,0.012226403068364873,0.05717550917189691,20,0.0,20
factual,1,42,0.19451762597435293,0.4618913753172769,0.011568736226841379,0.038347458653456415,20,0.0,20
factual,1,1337,0.2519083451462971,0.17246462659467832,0.013373985920025288,0.053336021192955364,20,0.0,20
mathematical,0,17,0.32008207548275464,0.13780660125713104,0.027947481144657376,0.13795685178202685,20,0.0,20
mathematical,0,42,0.15785309642199818,0.2689766808251187,0.012408015327105575,0.05004262145639352,20,0.0,20
mathematical,0,1337,0.21583704953951868,0.23673786343827166,0.011858588271237619,0.047785452896915964,20,0.0,20
mathematical,1,17,0.40985480906298105,0.4167303955115252,0.04762433627120237,0.5865292847226564,20,0.0,15
mathematical,1,42,0.3399899068538137,0.2524786910456058,0.03112617842612585,0.2089136383120539,20,0.0,15
mathematical,1,1337,0.19055221104075035,0.22538815944608617,0.04762433627120237,0.5865292847226564,20,0.0,15
