arm,regime,prompt_idx,seed,elapsed_sec,n_steps,boundary_indices
A,factual,0,17,177.11,369,"[120, 271, 357]"
B,factual,0,17,191.11,431,"[120, 245, 375]"
A,factual,0,42,207.3,431,"[96, 224, 417]"
B,factual,0,42,148.91,336,"[96, 190, 255]"
A,factual,0,1337,161.48,329,"[92, 211, 317]"
B,factual,0,1337,150.16,338,"[92, 188, 293]"
A,factual,1,17,135.6,280,"[23, 98, 206]"
B,factual,1,17,71.11,158,"[23, 46, 97]"
A,factual,1,42,167.27,342,"[63, 137, 278]"
B,factual,1,42,90.69,202,"[63, 86, 137]"
A,factual,1,1337,151.36,312,"[69, 92, 209]"
B,factual,1,1337,134.04,302,"[69, 128, 209]"
A,mathematical,0,17,318.29,685,"[106, 299, 492]"
B,mathematical,0,17,212.17,479,"[106, 182, 286]"
A,mathematical,0,42,293.34,630,"[51, 244, 437]"
B,mathematical,0,42,257.75,579,"[51, 244, 386]"
A,mathematical,0,1337,292.92,630,"[51, 244, 437]"
B,mathematical,0,1337,229.64,516,"[51, 244, 323]"
A,mathematical,1,17,185.53,398,"[16, 209, 234]"
B,mathematical,1,17,246.5,552,"[16, 209, 402]"
A,mathematical,1,42,171.75,363,"[16, 209, 288]"
B,mathematical,1,42,68.07,151,"[16, 118, 135]"
A,mathematical,1,1337,236.76,513,"[16, 209, 402]"
B,mathematical,1,1337,108.41,242,"[16, 209, 226]"
A,creative,0,17,172.27,357,"[193, 245, 289]"
B,creative,0,17,178.54,387,"[193, 235, 313]"
A,creative,0,42,170.02,355,"[193, 214, 309]"
B,creative,0,42,140.97,317,"[193, 241, 267]"
A,creative,0,1337,141.3,292,"[193, 208, 248]"
B,creative,0,1337,155.65,350,"[193, 254, 276]"
A,creative,1,17,287.56,616,"[193, 386, 579]"
B,creative,1,17,297.29,668,"[193, 386, 579]"
A,creative,1,42,186.92,392,"[193, 219, 336]"
B,creative,1,42,231.97,523,"[193, 386, 480]"
A,creative,1,1337,214.42,448,"[193, 275, 377]"
B,creative,1,1337,235.47,530,"[193, 385, 477]"
