turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,1.5828663700000403
0,1,gen,12522,1.4667851460042178
0,2,gen,5193,1.4835112173521774
0,3,gen,264,1.4574206594563814
0,4,gen,882,1.2922268110921324
0,5,gen,11,1.2762489924616276
0,6,gen,1052,1.1893453843239699
0,7,gen,572,1.2553870515371086
0,8,gen,264,1.3006530931156537
0,9,gen,326,1.2591018376287404
0,10,gen,57909,1.2942202259935802
0,11,gen,53416,1.318260862962387
0,12,gen,6941,1.3544142532041303
0,13,gen,7607,1.3458832046391394
0,14,gen,13,1.237005685165111
0,15,gen,1260,1.3022914385152295
0,16,gen,12163,1.352209857663287
0,17,gen,389,1.3851860903404403
0,18,gen,264,1.3546064374419455
0,19,gen,2613,1.3419859338064548
0,20,gen,12922,1.3729320111920587
0,21,gen,22865,1.3247942399346542
0,22,gen,553,1.327914081737714
0,23,gen,4258,1.3424284295357354
0,24,gen,11007,1.382782266965758
0,25,gen,782,1.2990039992687508
0,26,gen,20520,1.357636445390414
0,27,gen,13,1.4679474346949182
0,28,gen,1260,1.4667993542603515
0,29,gen,7391,1.530319695379463
0,30,gen,806,1.4500781653549581
0,31,gen,2849,1.3038530365796346
0,32,gen,10282,1.3374632766681165
0,33,gen,279,1.2923568634597304
0,34,gen,326,1.3400929266298829
0,35,gen,57909,1.3661104122747962
0,36,gen,304,1.363763019998772
0,37,gen,1661,1.3953676026145532
0,38,gen,3238,1.3074712416764507
0,39,gen,1973,1.3012652677578698
0,40,gen,323,1.3152154351163587
0,41,gen,806,1.3650973942404188
0,42,gen,21461,1.4108919119998964
0,43,gen,3272,1.3782603084320524
0,44,gen,16210,1.3083195587602607
0,45,gen,279,1.3218296701584293
0,46,gen,20520,1.3227856052802571
0,47,gen,624,1.4379479408697982
0,48,gen,3966,1.4385774345509743
0,49,gen,13458,1.4010306470972176
0,50,gen,88,1.3626381177378657
0,51,gen,3729,1.3880043204756924
0,52,gen,11,1.3218846769581711
0,53,gen,438,1.3752321789906752
0,54,gen,7607,1.4456774050690064
0,55,gen,572,1.388998984564764
0,56,gen,3272,1.4258830376063893
0,57,gen,16210,1.36302026453136
0,58,gen,279,1.3683172135680581
0,59,gen,20520,1.3600090206741944
0,60,gen,11,1.347343322226779
0,61,gen,566,1.4890523942540461
0,62,gen,29552,1.5198145844636015
0,63,gen,264,1.4909577989870193
0,64,gen,8284,1.3613395671495179
0,65,gen,304,1.3997668919218558
0,66,gen,34004,1.3704281821021262
0,67,gen,13,1.3990885482158
0,68,gen,1260,1.3967823579644054
0,69,gen,6157,1.4689113216448666
0,70,gen,2598,1.4377736351614514
0,71,gen,369,1.4283044488265306
0,72,gen,1492,1.3913113659182519
0,73,gen,323,1.3546316539810144
0,74,gen,8975,1.51077906112336
0,75,gen,311,1.4940238950287086
0,76,gen,17186,1.4182293077927588
0,77,gen,279,1.3250447585597311
0,78,gen,68838,1.3752011334028722
0,79,gen,1573,1.3171501354101018
0,80,gen,807,1.3881341504659788
0,81,gen,1410,1.4635635567907328
0,82,gen,387,1.5176198458759744
0,83,gen,5558,1.460843985823084
0,84,gen,518,1.3527855241080076
0,85,gen,9396,1.2482822985321278
0,86,gen,624,1.3313623321449266
0,87,gen,1918,1.320090953433232
0,88,gen,279,1.3738340112091474
0,89,gen,1635,1.3862292358590125
0,90,gen,11,1.420406192399025
0,91,gen,7607,1.4266943303919293
0,92,gen,594,1.4268797867140401
0,93,gen,17011,1.3612285600942968
0,94,gen,13938,1.296465372444793
0,95,gen,11,1.3195112672984126
0,96,gen,323,1.2723712669992413
0,97,gen,566,1.3248925906193312
0,98,gen,6116,1.4262008073659787
0,99,gen,264,1.5103457091515746
0,100,gen,13016,1.3347501349223496
0,101,gen,4221,1.4065312038975304
0,102,gen,279,1.4212492346584111
0,103,gen,68838,1.3856030707472569
0,104,gen,879,1.3126910794501698
0,105,gen,3697,1.4038694706647006
0,106,gen,311,1.3213426325024011
0,107,gen,279,1.2774274251500186
0,108,gen,12922,1.4044119232402448
0,109,gen,369,1.4471292256013844
0,110,gen,22906,1.4353243830633142
0,111,gen,13,1.3659874145056623
0,112,gen,3776,1.5812652054608274
0,113,gen,1899,1.5647861675676644
0,114,gen,11,1.5563111374125835
0,115,gen,438,1.5149550754204157
0,116,gen,566,1.5656763634040107
0,117,gen,572,1.4018261402360643
0,118,gen,3272,1.326493614930165
0,119,gen,16210,1.4250140392725779
0,120,gen,279,1.4719878246419833
0,121,gen,20520,1.4003390291113267
0,122,gen,11,1.3111018431511636
0,123,gen,566,1.4903286735065837
0,124,gen,1730,1.5624611797938068
0,125,gen,264,1.4972375275299046
0,126,gen,19046,1.5045332545160823
0,127,gen,6524,1.5337604677071923
0,128,gen,304,1.4095759993347854
0,129,gen,264,1.3240839541396556
0,130,gen,16486,1.3611359453637446
0,131,gen,37493,1.448642030540363
0,132,gen,23828,1.4949477585392716
0,133,gen,460,1.440277759970816
0,134,gen,389,1.3702074793856622
0,135,gen,279,1.311942389356977
0,136,gen,12922,1.4387769720155201
0,137,gen,624,1.534594683976116
0,138,gen,16704,1.5071536127165976
0,139,gen,1223,1.3656091383125029
0,140,gen,11,1.3790167000302576
0,141,gen,7607,1.4778911185010548
0,142,gen,8930,1.4304624469948122
0,143,gen,279,1.5220793721170214
0,144,gen,6524,1.440211694932953
0,145,gen,323,1.4894994018451293
0,146,gen,1730,1.5162585474448407
0,147,gen,264,1.4832666219529085
0,148,gen,5185,1.3937872410561258
0,149,gen,504,1.3243273995137237
0,150,gen,264,1.2455183594159607
0,151,gen,3908,1.3693414961746986
0,152,gen,3743,1.3964348780186746
0,153,gen,6941,1.4067935574805766
0,154,gen,20445,1.3689949976293323
0,155,gen,13,1.3247115888836702
0,156,gen,2932,1.2502235982179288
0,157,gen,1030,1.4492767512413662
0,158,gen,1012,1.4252404107709946
0,159,gen,5558,1.3243641972867213
0,160,gen,518,1.2858064840454253
0,161,gen,9396,1.255489609342708
0,162,gen,323,1.3220877103919408
0,163,gen,1030,1.4359924184365798
0,164,gen,37493,1.4263320078022579
0,165,gen,23828,1.4295144726885944
0,166,gen,460,1.466841604350723
0,167,gen,389,1.457986681996194
0,168,gen,279,1.3420701604285001
0,169,gen,12922,1.4588332919346563
0,170,gen,13,1.4770388638636396
0,171,gen,2932,1.5479881577895154
0,172,gen,1030,1.507511307446909
0,173,gen,1012,1.3836093770250546
0,174,gen,8284,1.376332186018959
0,175,gen,86,1.426265127823781
0,176,gen,24638,1.4001837097555239
0,177,gen,291,1.533523307114195
0,178,gen,323,1.5078857068804656
0,179,gen,1030,1.4931471175949405
0,180,gen,1012,1.461957327316194
0,181,gen,15039,1.4531019965463527
0,182,gen,369,1.3730128752444497
0,183,gen,264,1.3435062824365371
0,184,gen,1992,1.393835679162137
0,185,gen,311,1.4172277373090227
0,186,gen,4717,1.3158619953195956
0,187,gen,3080,1.3754194167913412
0,188,gen,1340,1.4743329071537454
0,189,gen,1410,1.2793513493101014
0,190,gen,387,1.445971369407607
0,191,gen,44333,1.389712930619044
0,192,gen,624,1.4285475596989516
1,193,prefill_end,-1,1.3854517199649738
1,194,gen,785,1.4529482082066945
1,195,gen,6524,1.2960235487392973
1,196,gen,16555,1.2333390153581114
1,197,gen,279,1.3219240254907436
1,198,gen,13458,1.4191984908151105
