turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,1.256882899159234
0,1,gen,96183,1.3296833789608102
0,2,gen,259,1.3809445619202727
0,3,gen,3341,1.5390619785008472
0,4,gen,525,1.534644247507233
0,5,gen,8881,1.6418656030914496
0,6,gen,553,1.4869371715415887
0,7,gen,279,1.4306496992931435
0,8,gen,69919,1.2643179310997212
0,9,gen,8437,1.373286182003142
0,10,gen,42744,1.2005023944517546
0,11,gen,291,1.2887885395063932
0,12,gen,553,1.4006278181701652
0,13,gen,279,1.5172648316152362
0,14,gen,17788,1.3503694826574884
0,15,gen,323,1.6292153524701762
0,16,gen,279,1.449001645932185
0,17,gen,7015,1.4878829897660115
0,18,gen,389,1.4839844610217618
0,19,gen,279,1.5074118273196149
0,20,gen,9237,1.3539779441178832
0,21,gen,594,1.514155673347198
0,22,gen,53180,1.5401160117879928
0,23,gen,13,1.3424885036694865
0,24,gen,576,1.6161434708861733
0,25,gen,69919,1.6081339446205862
0,26,gen,6815,1.3106660629948979
0,27,gen,315,1.4503343247299987
0,28,gen,279,1.7479505549093153
0,29,gen,17788,1.690223537337416
0,30,gen,374,1.3691761395857185
0,31,gen,16245,1.3836678279686736
0,32,gen,1091,1.355800345506649
0,33,gen,429,1.412711996793596
0,34,gen,315,1.4268550880947193
0,35,gen,279,1.5669101956387155
0,36,gen,7015,1.6016806891830986
0,37,gen,11,1.3713129978617427
0,38,gen,773,1.574773759117824
0,39,gen,432,1.5552696435549
0,40,gen,11137,1.5172892073065647
0,41,gen,5080,1.463462830193968
0,42,gen,259,1.3747646941447385
0,43,gen,3341,1.3888689473336517
0,44,gen,518,1.2200125375489739
0,45,gen,279,1.5046799886985889
0,46,gen,1852,1.4494008425338023
0,47,gen,3728,1.3484220413522485
0,48,gen,6814,1.5691543905492011
0,49,gen,279,1.5796590989362422
0,50,gen,56711,1.5026845658475247
0,51,gen,10775,1.5677532151795412
0,52,gen,13,1.4976658918097745
0,53,gen,576,1.4639631221407632
0,54,gen,7015,1.6392548682950356
0,55,gen,594,1.5350278293736146
0,56,gen,69919,1.5581194839872154
0,57,gen,6815,1.5491065466249072
0,58,gen,374,1.5888252113441008
0,59,gen,2686,1.3906635283283244
0,60,gen,3746,1.3859572876794801
0,61,gen,1091,1.3059189921873218
0,62,gen,279,1.277021573896717
0,63,gen,17788,1.3993989358514753
0,64,gen,594,1.3688201669485922
0,65,gen,11,1.3949204505240393
0,66,gen,714,1.3321096271211756
0,67,gen,432,1.5161719602425021
0,68,gen,2058,1.4510471624648555
0,69,gen,21501,1.3713595049450071
0,70,gen,279,1.5928409584662844
0,71,gen,259,1.3474818298902946
0,72,gen,3341,1.256330106805306
0,73,gen,11,1.562732289695758
0,74,gen,14381,1.5602702255128131
0,75,gen,1105,1.6338126750069022
0,76,gen,311,1.5271881586607423
0,77,gen,387,1.336296311634779
0,78,gen,5080,1.3506317930996512
0,79,gen,476,1.37655895556852
0,80,gen,4722,1.4418150814029138
0,81,gen,518,1.3577167829832326
0,82,gen,2155,1.5832100712803578
0,83,gen,3039,1.5408806917235685
0,84,gen,13,1.5266295244803387
0,85,gen,576,1.5535617696245103
0,86,gen,9237,1.6501573934659362
0,87,gen,594,1.591992214529563
0,88,gen,12695,1.5244459613381465
0,89,gen,1083,1.4462644126391633
0,90,gen,42972,1.6138338900321276
0,91,gen,311,1.5870848836293745
0,92,gen,279,1.6128291408333348
0,93,gen,259,1.5275265533477673
0,94,gen,3341,1.4786183388387584
0,95,gen,11,1.3415052723935628
0,96,gen,438,1.1926788684498226
0,97,gen,279,1.2104789194726364
0,98,gen,73082,1.3606536837653025
0,99,gen,44184,1.369192482797272
0,100,gen,5344,1.2345703160120036
0,101,gen,7907,1.361370653782363
0,102,gen,553,1.477367053411744
0,103,gen,279,1.4254839814386018
0,104,gen,12695,1.3257660305111627
0,105,gen,315,1.4153184569482233
0,106,gen,279,1.6158228081843748
0,107,gen,9237,1.4063149946678837
0,108,gen,38854,1.3920931567794146
0,109,gen,279,1.3983753587367596
0,110,gen,69919,1.3614626062846658
0,111,gen,8437,1.5016402213307072
0,112,gen,315,1.4556380668140314
0,113,gen,279,1.5327852674885862
0,114,gen,17788,1.557601617804528
0,115,gen,323,1.5788160060992713
0,116,gen,279,1.5495531902493416
0,117,gen,7015,1.4200147535154557
0,118,gen,13,1.4199330112542097
0,119,gen,151645,1.5528084452143276
1,120,prefill_end,-1,1.3712488598245494
1,121,gen,9454,1.3524898487518315
1,122,gen,11,1.6061223579157722
1,123,gen,279,1.7155112553733907
1,124,gen,8059,1.5246501759728208
1,125,gen,1083,1.5609046575647292
1,126,gen,42972,1.4277240972860366
1,127,gen,311,1.5225191966415532
1,128,gen,279,1.604033144335896
1,129,gen,259,1.8424302683581901
1,130,gen,3341,1.5493749281225668
1,131,gen,11,1.142728997672478
1,132,gen,714,1.223927104327259
1,133,gen,1181,1.3554689485777527
1,134,gen,10173,1.3797716206843829
1,135,gen,374,1.4853873979950452
1,136,gen,2686,1.4002539753862453
1,137,gen,5089,1.3422701905805343
1,138,gen,7707,1.4412486644457396
1,139,gen,311,1.4475205903670847
