turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,1.203065587125234
0,1,gen,785,1.2132700735443736
0,2,gen,31805,1.2586143991731755
0,3,gen,315,1.2942941866471251
0,4,gen,7437,1.3381719985751983
0,5,gen,2075,1.3729635460069558
0,6,gen,8,1.4086654348558938
0,7,gen,448,1.3668679343611754
0,8,gen,5091,1.323732997866228
0,9,gen,311,1.318096718202622
0,10,gen,856,1.3558199846136993
0,11,gen,374,1.3239199908514454
0,12,gen,7960,1.290584204126924
0,13,gen,2075,1.335162877623511
0,14,gen,568,1.2246382864047476
0,15,gen,151645,1.2985913340256734
1,16,prefill_end,-1,1.2673053627938438
1,17,gen,1249,1.2442427541712822
1,18,gen,3535,1.2164953078417096
1,19,gen,3170,1.3066378694050502
1,20,gen,279,1.3439029528213322
1,21,gen,31805,1.3124019801840356
1,22,gen,315,1.3394024001740767
1,23,gen,1124,1.302257296060462
1,24,gen,11520,1.3005443797264067
1,25,gen,15940,1.3405861897860571
1,26,gen,2075,1.3465594299993864
1,27,gen,10699,1.2952463740965727
1,28,gen,8,1.299444813261382
1,29,gen,448,1.2807901245474838
1,30,gen,5091,1.3265456715226527
1,31,gen,311,1.3264365372470117
1,32,gen,17767,1.2868159438279614
1,33,gen,87,1.2248992542398682
1,34,gen,57758,1.2639141285735156
1,35,gen,374,1.311810987528223
1,36,gen,1124,1.3308159558928923
1,37,gen,11520,1.2602888777982784
1,38,gen,9407,1.2695070156251071
1,39,gen,2075,1.2846672155098495
1,40,gen,10699,1.2573789178555577
1,41,gen,701,1.2447351894207126
1,42,gen,1077,1.2849803988621111
1,43,gen,594,1.312409699030186
1,44,gen,2908,1.3862685266278192
1,45,gen,279,1.415067304067443
1,46,gen,52484,1.4159268611494298
1,47,gen,22845,1.4345020753326834
1,48,gen,315,1.4326276321450775
1,49,gen,57668,1.4397049125971644
1,50,gen,323,1.3660976195493828
1,51,gen,75259,1.3626713538826993
1,52,gen,5746,1.3747559053039413
1,53,gen,382,1.3375038001968556
1,54,gen,14374,1.4023610980853563
1,55,gen,4229,1.402485356907044
1,56,gen,23375,1.3579742233047696
1,57,gen,72077,1.3411074104447234
1,58,gen,367,1.3950017609767358
1,59,gen,271,1.451372898688246
1,60,gen,16,1.4371499573393522
1,61,gen,13,1.4388370221435653
1,62,gen,3070,1.4501862798207428
1,63,gen,4562,1.4049304151443567
1,64,gen,21224,1.3314245498211152
1,65,gen,95518,1.3315547075534373
1,66,gen,37791,1.382113494968052
1,67,gen,264,1.3957297411488299
1,68,gen,4982,1.4285555929420333
1,69,gen,12671,1.4833551199984811
1,70,gen,30188,1.5567943378712514
1,71,gen,518,1.6563711105677141
1,72,gen,279,1.6459436599188615
1,73,gen,6238,1.5552576858488996
1,74,gen,315,1.6063122967697694
1,75,gen,264,1.5416430634232574
1,76,gen,16184,1.527964079915611
1,77,gen,1849,1.5029817796132292
1,78,gen,13,1.5162094513833042
1,79,gen,576,1.474689053460951
1,80,gen,57668,1.480077638297499
1,81,gen,315,1.4142822533850463
1,82,gen,458,1.3928858550299268
1,83,gen,9210,1.3936949193678918
1,84,gen,17767,1.392120460154317
1,85,gen,87,1.3728135460948765
1,86,gen,57758,1.3839417610924107
1,87,gen,374,1.4185712646990258
1,88,gen,279,1.3985413960124886
1,89,gen,379,1.3528380726466436
1,90,gen,80697,1.2926846609982283
1,91,gen,315,1.2929623006796749
1,92,gen,279,1.3323359569564026
1,93,gen,1459,1.3677073544937788
1,94,gen,1380,1.3938133592292103
1,95,gen,279,1.3789996096633774
1,96,gen,15022,1.3292130339100268
1,97,gen,3108,1.3159260833946484
1,98,gen,315,1.3830475830254352
1,99,gen,279,1.3564471915116305
1,100,gen,9210,1.3364528621563523
1,101,gen,88184,1.369789060376414
1,102,gen,279,1.4200824637457423
1,103,gen,4982,1.4066072028079954
1,104,gen,12671,1.360129804504302
1,105,gen,13,1.396944658479221
1,106,gen,576,1.3833567951871988
1,107,gen,75259,1.3511367893609858
1,108,gen,315,1.3431768765821108
1,109,gen,279,1.3597448922906235
1,110,gen,1852,1.355453464585799
1,111,gen,9210,1.2832473347217677
1,112,gen,17767,1.2974587316794297
1,113,gen,87,1.338640219375873
1,114,gen,57758,1.3586374336011569
1,115,gen,374,1.3341738095802225
1,116,gen,279,1.3146293643084652
1,117,gen,856,1.3589005159669485
1,118,gen,80697,1.445218732901667
1,119,gen,315,1.4186592082693767
1,120,gen,429,1.4125840098749243
1,121,gen,1852,1.519160360308182
1,122,gen,1459,1.4796041982699737
1,123,gen,382,1.5007718574347064
1,124,gen,17,1.5638806150616325
1,125,gen,13,1.499494143174557
1,126,gen,3070,1.4581891994527725
1,127,gen,5979,1.4735808760181446
1,128,gen,38031,1.4170440479632855
1,129,gen,95518,1.4268518212993415
1,130,gen,1416,1.4377099495118941
1,131,gen,582,1.40103269786115
1,132,gen,2908,1.4041754393520771
1,133,gen,279,1.4171541327297852
1,134,gen,9210,1.4623754192867378
1,135,gen,17767,1.3934181512255437
1,136,gen,87,1.3603631482148184
1,137,gen,57758,1.3634577736968774
1,138,gen,304,1.353319041005228
1,139,gen,264,1.2795605269343986
1,140,gen,1290,1.2876981916896093
1,141,gen,21495,1.2766130709584464
1,142,gen,11,1.2704573460882906
1,143,gen,279,1.2918063263522441
1,144,gen,57668,1.2666244006000476
1,145,gen,315,1.2763680663728536
1,146,gen,17767,1.291744103240679
1,147,gen,87,1.2924554468692666
1,148,gen,57758,1.3323376423147724
1,149,gen,374,1.368557877701423
1,150,gen,279,1.428903546822375
1,151,gen,11341,1.355584211764166
1,152,gen,315,1.348615947943339
1,153,gen,279,1.3119467705094103
1,154,gen,3084,1.250648943318668
1,155,gen,315,1.2876934375833808
1,156,gen,279,1.3326464251627252
1,157,gen,14002,1.3542295538568185
1,158,gen,3108,1.334777068088495
1,159,gen,311,1.3775662050313016
