turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,1.4741607779992771
0,1,gen,785,1.4783740262933402
0,2,gen,5355,1.4052133431122504
0,3,gen,95362,1.3948947713223458
0,4,gen,45195,1.3736997290446986
0,5,gen,57817,1.4250084537582497
0,6,gen,5302,1.4023265618867435
0,7,gen,429,1.343296176774027
0,8,gen,304,1.3319845307295406
0,9,gen,264,1.3443869427762292
0,10,gen,1290,1.3399160603696603
0,11,gen,12,1.3424751267320338
0,12,gen,38940,1.3230799978936167
0,13,gen,21495,1.3745274482590373
0,14,gen,11,1.3454619091629696
0,15,gen,279,1.3968945665583385
0,16,gen,9334,1.4314222092951259
0,17,gen,315,1.425827869711648
0,18,gen,279,1.4133183535998932
0,19,gen,3084,1.3986267199302203
0,20,gen,315,1.3638185725075171
0,21,gen,279,1.3015037469239297
0,22,gen,9751,1.3448799921872818
0,23,gen,65628,1.3195502409166928
0,24,gen,810,1.3273818705371765
0,25,gen,320,1.3113438605559802
0,26,gen,1782,1.3311861780883634
0,27,gen,3108,1.3137642378291752
0,28,gen,14002,1.3167395055446822
0,29,gen,279,1.245754478683157
0,30,gen,1290,1.2252647242981478
0,31,gen,9210,1.2342818865354575
0,32,gen,8,1.2670469704467102
0,33,gen,374,1.333960169532805
0,34,gen,6144,1.3208366865701293
0,35,gen,311,1.3649424608016238
0,36,gen,279,1.3894973533574215
0,37,gen,2629,1.3411173011069535
0,38,gen,315,1.3107170111153799
0,39,gen,279,1.2777042712118059
0,40,gen,31340,1.3188933039853679
0,41,gen,315,1.303118873935837
0,42,gen,279,1.388968738797397
0,43,gen,28316,1.4983278705913852
0,44,gen,315,1.5088884420858613
0,45,gen,279,1.569266292810713
0,46,gen,1008,1.5619535546491488
0,47,gen,1378,1.5260628366950655
0,48,gen,11067,1.4855599442405003
0,49,gen,13,1.465606598105757
0,50,gen,151645,1.4598509625058513
1,51,prefill_end,-1,1.4634788002461592
1,52,gen,95456,1.5057600356077658
1,53,gen,0,1.5170341354063324
1,54,gen,5692,1.459577293514378
1,55,gen,594,1.4248221399820862
1,56,gen,264,1.4490443893041196
1,57,gen,25529,1.4683640819627128
1,58,gen,315,1.4597450690802685
1,59,gen,264,1.4750947559216279
1,60,gen,11064,1.4711619948965906
1,61,gen,315,1.5022129515660463
1,62,gen,279,1.5389073108254594
1,63,gen,5355,1.4982261165651372
1,64,gen,95362,1.5640246269934392
1,65,gen,45195,1.5309026644707435
1,66,gen,57817,1.435811598935582
1,67,gen,1667,1.464204664370159
1,68,gen,55327,1.4242588825213829
1,69,gen,56633,1.4076151451624612
1,70,gen,1447,1.3408536928966275
1,71,gen,16,1.2952703503694523
1,72,gen,13,1.3245186543785479
1,73,gen,5145,1.37228535695524
1,74,gen,448,1.3130339315014707
1,75,gen,264,1.3826247789472104
1,76,gen,1290,1.332797840952884
1,77,gen,21495,1.340380283332007
1,78,gen,448,1.3612197184666783
1,79,gen,11067,1.3242477778051651
1,80,gen,17767,1.380187887565751
1,81,gen,64,1.3354397622156369
1,82,gen,59,1.380488867175782
1,83,gen,701,1.4370308878344484
1,84,gen,17767,1.4780973176992473
1,85,gen,65,1.4963283027324374
1,86,gen,59,1.476649876766206
1,87,gen,701,1.4432002558108559
1,88,gen,323,1.4385686114740626
1,89,gen,9751,1.481197216092498
1,90,gen,65628,1.443116981046749
1,91,gen,810,1.3971018018681438
1,92,gen,17767,1.4925683575403035
1,93,gen,66,1.519762461908077
1,94,gen,59,1.5262504907685706
1,95,gen,4292,1.5171487657085059
