turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,0.0
0,1,gen,43374,0.0
0,2,gen,6832,2.045146942138672
0,3,gen,311,1.8835693001747131
0,4,gen,6177,1.6315211455027263
0,5,gen,11,1.6471497118473053
0,6,gen,2805,1.653701901435852
0,7,gen,3364,1.6418455839157104
0,8,gen,25,1.6002066816602434
0,9,gen,12969,1.559454306960106
0,10,gen,444,1.5723618136511908
0,11,gen,21877,1.5518277525901794
0,12,gen,19757,1.6319002129814841
0,13,gen,13,1.6661907335122426
0,14,gen,4710,1.6734583836335402
0,15,gen,12522,1.6025360056332179
0,16,gen,5193,1.5996366580327352
0,17,gen,264,1.6089356318116188
0,18,gen,882,1.6120243142632877
0,19,gen,11,1.6027297245131598
0,20,gen,304,1.5679290827951933
0,21,gen,264,1.54935322701931
0,22,gen,89156,1.5130574334235418
0,23,gen,3283,1.5207325301387093
0,24,gen,11,1.5209256436513818
0,25,gen,1052,1.513853612045447
0,26,gen,14638,1.5011282610893248
0,27,gen,264,1.4915065604906816
0,28,gen,12767,1.4751910699738398
0,29,gen,11,1.4781850853136607
0,30,gen,86694,1.4726004251118363
0,31,gen,5944,1.4797384083271026
0,32,gen,13,1.4775467168900274
0,33,gen,1096,1.4534151227243486
0,34,gen,572,1.4407544962821468
0,35,gen,902,1.4359739903480775
0,36,gen,19119,1.4305063639917681
0,37,gen,326,1.4241457446928947
0,38,gen,57909,1.4512625701965824
0,39,gen,13,1.4641616728998
0,40,gen,1084,1.4937759484014204
0,41,gen,572,1.478526230781309
0,42,gen,264,1.4624359492332704
0,43,gen,5382,1.406690493706734
0,44,gen,11,1.4032567701032084
0,45,gen,25938,1.3908143235791115
0,46,gen,11,1.4126335574734596
0,47,gen,18824,1.4118125361780967
0,48,gen,12305,1.4328335562059957
0,49,gen,13,1.4441302668663762
0,50,gen,11445,1.447744857880377
0,51,gen,8954,1.4603886008262634
0,52,gen,572,1.4784858399821865
0,53,gen,311,1.4871326242723772
0,54,gen,12322,1.4655293553106246
0,55,gen,279,1.4639396878980822
0,56,gen,27491,1.4509755680637975
0,57,gen,315,1.4658938031042776
0,58,gen,279,1.467420220375061
0,59,gen,1429,1.4568521995698251
0,60,gen,6233,1.4518202408667533
0,61,gen,323,1.4557157351124672
0,62,gen,21239,1.450254576821481
0,63,gen,326,1.460040190527516
0,64,gen,21877,1.4937220254252035
0,65,gen,19757,1.5202933338380629
0,66,gen,2163,1.561248771605953
0,67,gen,279,1.5661866703341085
0,68,gen,1879,1.5452607504783138
0,69,gen,382,1.5175868176644849
0,70,gen,785,1.520366382214331
0,71,gen,12305,1.4857442398225107
0,72,gen,594,1.4930085885909297
0,73,gen,33799,1.5061860795943969
0,74,gen,11,1.535500962888041
0,75,gen,264,1.5118373344021458
0,76,gen,2083,1.4975264245463955
0,77,gen,315,1.5061851105382364
0,78,gen,19752,1.494939790618035
0,79,gen,24198,1.4657812522303673
0,80,gen,323,1.4554762551861424
0,81,gen,13511,1.4591740888933982
0,82,gen,11,1.4754618310159253
0,83,gen,1030,1.4769329736309667
0,84,gen,7391,1.4728774101503435
0,85,gen,1635,1.4840249361530427
0,86,gen,11220,1.4760557297737367
0,87,gen,419,1.5000926467680162
0,88,gen,44782,1.4881497756127389
0,89,gen,13,1.508074543168468
0,90,gen,2379,1.550217217014682
0,91,gen,55068,1.5414455398436515
0,92,gen,432,1.5492637349713234
0,93,gen,311,1.5489019616957633
0,94,gen,15282,1.5297945007201164
0,95,gen,12624,1.504855505881771
0,96,gen,11,1.496132481482721
0,97,gen,7987,1.4732654709969797
0,98,gen,11,1.4808377796603787
0,99,gen,323,1.502238106343054
0,100,gen,279,1.4721284720205492
0,101,gen,56116,1.4422462947906987
0,102,gen,3565,1.453548466005633
0,103,gen,429,1.4495740359829319
0,104,gen,1865,1.458276875557438
0,105,gen,1817,1.449677578864559
0,106,gen,326,1.458615545303591
0,107,gen,57909,1.4900072774579447
0,108,gen,4911,1.4745503394834456
0,109,gen,13,1.4907482631744877
0,110,gen,576,1.4982376983088832
0,111,gen,12305,1.4764623488149335
0,112,gen,594,1.4651986629732194
0,113,gen,25092,1.4429996782733547
0,114,gen,12771,1.4425800961832846
0,115,gen,705,1.4774850510781812
0,116,gen,279,1.46454204282453
0,117,gen,26447,1.4551355973366769
0,118,gen,4344,1.450183851103629
0,119,gen,304,1.4576184845739795
0,120,gen,3100,1.4296102427667188
0,121,gen,323,1.4213376833546547
0,122,gen,12455,1.4415143978211187
0,123,gen,11,1.4491585050859759
0,124,gen,10693,1.4600811831412777
0,125,gen,432,1.4699865022013265
0,126,gen,311,1.4616082502949623
0,127,gen,12322,1.430041480448938
0,128,gen,279,1.4232487044026774
0,129,gen,830,1.3923279277739986
0,130,gen,27491,1.3884520799882951
0,131,gen,315,1.4177040265452476
0,132,gen,279,1.4287605997054809
0,133,gen,1992,1.404557426129618
0,134,gen,382,1.40952108944616
0,135,gen,2121,1.4278946211261134
0,136,gen,279,1.4355384284450161
0,137,gen,12305,1.4154620420548223
0,138,gen,6009,1.398144939253407
0,139,gen,1181,1.416527638512273
0,140,gen,11618,1.3972009747259078
0,141,gen,11,1.3854976719425571
0,142,gen,432,1.3943119414391056
0,143,gen,30696,1.3820808741354174
0,144,gen,311,1.3910444667262416
0,145,gen,5257,1.3672608137130737
0,146,gen,5837,1.3390529809459564
0,147,gen,11,1.3483994180156338
0,148,gen,15039,1.3593887705956735
0,149,gen,369,1.3615698468300603
0,150,gen,279,1.348180640128351
0,151,gen,4727,1.3383392460884587
0,152,gen,10468,1.326096740461165
0,153,gen,13,1.3226406247385087
0,154,gen,8886,1.3102506879837281
0,155,gen,3947,1.3054204121712716
0,156,gen,572,1.3148270518549028
0,157,gen,264,1.3167339544142447
