turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,0.0
0,1,gen,785,0.0
0,2,gen,2086,0.7735767364501953
0,3,gen,31805,1.4463218450546265
0,4,gen,315,1.4367156823476155
0,5,gen,1124,1.3988750874996185
0,6,gen,11520,1.493501901626587
0,7,gen,15940,1.3965806265672047
0,8,gen,2075,1.487714605672019
0,9,gen,10699,1.5084660276770592
0,10,gen,8,1.4703791472646925
0,11,gen,374,1.3760333061218262
0,12,gen,1124,1.3273024396462874
0,13,gen,4080,1.3132524838050206
0,14,gen,59,1.3254321767733648
0,15,gen,15940,1.286855310201645
0,16,gen,2075,1.3151435414950052
0,17,gen,10699,1.3170676715672016
0,18,gen,568,1.293951707727769
0,19,gen,151645,1.2655582163068984
1,20,prefill_end,-1,1.240961940664994
1,21,gen,785,1.240961940664994
1,22,gen,2086,1.2133361786603927
1,23,gen,31805,1.2502118547757466
1,24,gen,315,1.2537703595378182
1,25,gen,1124,1.253827584826428
1,26,gen,11520,1.2634578322370846
1,27,gen,15940,1.2413073992729187
1,28,gen,2075,1.2609710532885332
1,29,gen,10699,1.2727245246922527
1,30,gen,8,1.267483270594052
1,31,gen,374,1.243713169262327
1,32,gen,12824,1.2296724538008372
1,33,gen,1124,1.2267961290574843
1,34,gen,4080,1.2537495532343466
1,35,gen,59,1.22881180432535
1,36,gen,15940,1.207727812951611
1,37,gen,2075,1.2203671663038191
1,38,gen,10699,1.2047231581903273
1,39,gen,568,1.2042868983361028
1,40,gen,576,1.1654846898971065
1,41,gen,1156,1.1392773235997846
1,42,gen,31805,1.1488346668981737
1,43,gen,315,1.1869450942162545
1,44,gen,1124,1.1964890456968738
1,45,gen,11520,1.2062481718678628
1,46,gen,15940,1.176827524938891
1,47,gen,2075,1.2056519581425575
1,48,gen,10699,1.1966472883378305
1,49,gen,8,1.1862037547173039
1,50,gen,374,1.1732468797314552
1,51,gen,1124,1.1747499223678344
1,52,gen,11520,1.183800491594499
1,53,gen,9407,1.178413979468807
1,54,gen,2075,1.1727555951764506
1,55,gen,10699,1.1806499727310673
1,56,gen,701,1.1706611840955672
1,57,gen,323,1.1435456891213693
1,58,gen,279,1.141218118129238
1,59,gen,2086,1.1115231321704002
1,60,gen,31805,1.1081480672282558
1,61,gen,374,1.1106554423609087
1,62,gen,279,1.1365309588370784
1,63,gen,31805,1.13925039768219
1,64,gen,315,1.1536609665040047
1,65,gen,1124,1.1400453198340632
1,66,gen,11520,1.1446110586966238
1,67,gen,9407,1.1346772515004682
1,68,gen,2075,1.1409085748657104
1,69,gen,10699,1.1441586161813428
1,70,gen,701,1.1463659569140403
1,71,gen,892,1.1464189069886361
1,72,gen,374,1.1485324780787192
1,73,gen,1124,1.1273719389592447
1,74,gen,4080,1.1057027780240583
1,75,gen,59,1.109511164888259
1,76,gen,15940,1.0831691478529284
1,77,gen,2075,1.1154139974424917
1,78,gen,10699,1.1054823908113665
1,79,gen,3593,1.0839609705632733
1,80,gen,1249,1.0843507772491825
1,81,gen,1438,1.1078609295429722
1,82,gen,432,1.1418190973420297
1,83,gen,1495,1.1478427388975698
1,84,gen,3019,1.1714989687165906
1,85,gen,553,1.168677488642354
1,86,gen,3019,1.1761134411058118
1,87,gen,1447,1.206415823390407
1,88,gen,16,1.231806929073026
1,89,gen,13,1.2513434223590358
1,90,gen,576,1.2578721709789769
1,91,gen,1156,1.2318894642014657
1,92,gen,31805,1.2378314550845855
1,93,gen,315,1.2423935099955528
1,94,gen,1124,1.2487827318329965
1,95,gen,11520,1.2414484418207599
1,96,gen,15940,1.2185328102880908
1,97,gen,2075,1.221435925652904
1,98,gen,10699,1.2502948247617292
1,99,gen,8,1.221449351118457
1,100,gen,374,1.190082875951644
