turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,0.0
0,1,gen,2120,0.0
0,2,gen,1783,1.6167540550231934
0,3,gen,990,1.568932831287384
0,4,gen,3015,1.5687089363733928
0,5,gen,369,1.622524082660675
0,6,gen,7249,1.6315937757492065
0,7,gen,73667,1.761389672756195
0,8,gen,11,1.7132295880998885
0,9,gen,892,1.6966756135225296
0,10,gen,374,1.6256906191507976
0,11,gen,279,1.539843362569809
0,12,gen,1882,1.4823248169638894
0,13,gen,553,1.467150241136551
0,14,gen,892,1.499857783317566
0,15,gen,807,1.5091074194226946
0,16,gen,8193,1.5068583885828655
0,17,gen,862,1.5268354713916779
0,18,gen,1828,1.5154521044562845
0,19,gen,3607,1.5063628289434645
0,20,gen,13,1.5300951192253514
0,21,gen,9959,1.568898504972458
0,22,gen,374,1.5964668762116205
0,23,gen,1083,1.5887308716773987
0,24,gen,2989,1.5662223878114119
0,25,gen,369,1.5596573402484257
0,26,gen,6008,1.545519971847534
0,27,gen,86900,1.5626756732280438
0,28,gen,323,1.6014693092416834
0,29,gen,374,1.6102226887430464
0,30,gen,1483,1.5913796137119163
0,31,gen,304,1.5818814833958943
0,32,gen,5257,1.5620400386471902
0,33,gen,1008,1.553561931656253
0,34,gen,11364,1.5288573042038949
0,35,gen,2878,1.5219262184635285
0,36,gen,279,1.5203801239690473
0,37,gen,6008,1.4967066722531472
0,38,gen,11,1.4757213188755898
0,39,gen,1741,1.4919625809115749
0,40,gen,438,1.4833757588940282
0,41,gen,57399,1.4867682860743614
0,42,gen,9315,1.512412509610576
0,43,gen,323,1.540591218779164
0,44,gen,8241,1.5599868047621943
0,45,gen,36393,1.5474910524583632
0,46,gen,13,1.5566495945376735
0,47,gen,576,1.5882681165972063
0,48,gen,4734,1.5633663035208178
0,49,gen,4226,1.5611973943248871
0,50,gen,311,1.5651696516621498
0,51,gen,419,1.5405359095142734
0,52,gen,3405,1.509706937497662
0,53,gen,1035,1.4733802714655477
0,54,gen,6761,1.4725577696677177
0,55,gen,389,1.4796358020074907
0,56,gen,279,1.4655056288165431
0,57,gen,3151,1.4468154964908477
0,58,gen,6008,1.4129840712393484
0,59,gen,323,1.384089965974131
0,60,gen,1181,1.369419478601025
0,61,gen,3880,1.3697095571025726
0,62,gen,11,1.3832409343411844
0,63,gen,714,1.406163102196109
0,64,gen,304,1.3975836480817487
0,65,gen,4586,1.4161532117474465
0,66,gen,11,1.4204490800057687
0,67,gen,3015,1.393675534955917
0,68,gen,374,1.4163230407622553
0,69,gen,264,1.4000710383538277
0,70,gen,1376,1.3593529289768589
0,71,gen,3692,1.3614959582205741
0,72,gen,315,1.3627263288344107
0,73,gen,6008,1.345994197553204
0,74,gen,2272,1.3472965167414757
0,75,gen,13,1.3365071992720328
0,76,gen,151645,1.347430492601087
1,77,prefill_end,-1,1.3134529802107042
1,78,gen,785,1.3134529802107042
1,79,gen,10901,1.2570453363080178
1,80,gen,315,1.2799771543472045
1,81,gen,10779,1.2816311832397216
1,82,gen,525,1.2861337834788906
1,83,gen,16587,1.3002591421527248
1,84,gen,369,1.3040297935085912
1,85,gen,862,1.3099407053762866
1,86,gen,8084,1.2989808301771841
1,87,gen,2820,1.2999296207581796
1,88,gen,323,1.3270023618974993
1,89,gen,19661,1.3569258470689096
1,90,gen,13,1.3804517522934945
1,91,gen,5692,1.3867949439633278
1,92,gen,594,1.393069786410178
1,93,gen,3170,1.3939656288393083
1,94,gen,1447,1.3880668224826935
1,95,gen,16,1.3852083875286965
1,96,gen,13,1.389349099128477
1,97,gen,3070,1.3847823835188342
1,98,gen,31772,1.3695042402513566
1,99,gen,73667,1.4239002081655687
1,100,gen,95518,1.4156608927634455
1,101,gen,576,1.4391705336109284
1,102,gen,10901,1.4538618172368696
1,103,gen,525,1.4706583869072698
1,104,gen,1380,1.4795323571851176
1,105,gen,279,1.4917436415149319
1,106,gen,6028,1.469992737616262
1,107,gen,1882,1.4679438183384557
1,108,gen,315,1.4601702190214587
1,109,gen,7249,1.4644332355068577
1,110,gen,73667,1.52537868484374
1,111,gen,13666,1.5188080687676706
1,112,gen,13,1.5275249212018904
1,113,gen,91379,1.5191157210257746
1,114,gen,5127,1.5494845028846496
1,115,gen,24705,1.5507853108067666
1,116,gen,11,1.5838314756270377
1,117,gen,264,1.60680518996331
1,118,gen,6176,1.5956674391223538
1,119,gen,76578,1.6062400225670106
1,120,gen,304,1.627671480178833
1,121,gen,279,1.6311015852036015
1,122,gen,10901,1.5980667048884976
1,123,gen,11,1.6115430997264
1,124,gen,90011,1.6393117308616638
1,125,gen,39020,1.6481007818252809
1,126,gen,323,1.6577746233632487
1,127,gen,32722,1.6789035008799644
1,128,gen,432,1.6905023263346763
1,129,gen,1119,1.708358343570463
1,130,gen,4802,1.6650022210613373
1,131,gen,11,1.6757168212244589
1,132,gen,892,1.668668629661683
1,133,gen,374,1.6671025080065573
1,134,gen,1483,1.6299833116992828
1,135,gen,311,1.6258137053058994
1,136,gen,8193,1.6115381909954933
1,137,gen,33223,1.6149579440393755
1,138,gen,320,1.6349004007154895
1,139,gen,13915,1.6574086489215973
1,140,gen,8,1.695529749316554
1,141,gen,323,1.6655196374462498
1,142,gen,23552,1.6580909836676814
1,143,gen,13,1.6792459218732771
1,144,gen,1096,1.7198374732848136
1,145,gen,1882,1.6756586336320447
1,146,gen,374,1.6628322870500627
1,147,gen,7565,1.6222299952660837
1,148,gen,369,1.6148935441047914
1,149,gen,279,1.6200737068730016
1,150,gen,6008,1.574400499943764
1,151,gen,594,1.5578810841806474
1,152,gen,6513,1.5470204872469748
1,153,gen,323,1.5756719420033116
1,154,gen,4401,1.5660633771650252
1,155,gen,382,1.5544930081213675
1,156,gen,17,1.5682540670517953
1,157,gen,13,1.5349470088558812
1,158,gen,3070,1.5084252069073338
1,159,gen,28253,1.494599336578
1,160,gen,22080,1.5094352633722368
1,161,gen,65081,1.5446614661524374
1,162,gen,95518,1.5190850650110552
1,163,gen,77514,1.5187652995509486
1,164,gen,614,1.5437328469368718
1,165,gen,13673,1.572058339272776
1,166,gen,70928,1.5877850786332162
1,167,gen,2598,1.6225917281643036
1,168,gen,20100,1.6590249442285108
1,169,gen,459,1.7090609285139269
1,170,gen,429,1.6896329406769044
1,171,gen,2138,1.6860379499773825
1,172,gen,3015,1.6794419000225682
1,173,gen,311,1.7221975653402266
1,174,gen,3725,1.705976661174528
1,175,gen,279,1.668300453693636
1,176,gen,6008,1.6737327325728633
1,177,gen,13,1.6932271853570016
1,178,gen,1096,1.721781805638344
1,179,gen,3015,1.7096112255127198
1,180,gen,374,1.7352536782141654
1,181,gen,7565,1.7566562583369594
1,182,gen,369,1.7539415513315508
1,183,gen,7249,1.7459684264275335
1,184,gen,73667,1.7625052390560028
1,185,gen,323,1.7479493618011475
1,186,gen,279,1.7495892355518956
1,187,gen,7557,1.7085588055272256
1,188,gen,315,1.74430198630979
1,189,gen,36393,1.7475580419263532
1,190,gen,2878,1.7740189163915572
1,191,gen,279,1.7848436890109893
1,192,gen,6008,1.7455505267266305
1,193,gen,382,1.7671283944960563
1,194,gen,18,1.7766637571396366
1,195,gen,13,1.7453821993643237
1,196,gen,3070,1.7207047324026785
1,197,gen,58728,1.6893506857656664
1,198,gen,18705,1.689645125019935
1,199,gen,95518,1.666069007688953
1,200,gen,77514,1.6056692407977196
1,201,gen,1083,1.6065404530494445
1,202,gen,1486,1.599239057110202
1,203,gen,264,1.5928386757450719
1,204,gen,16587,1.5364985100684627
1,205,gen,3476,1.529790795618488
1,206,gen,304,1.5206968649741142
1,207,gen,6819,1.5142386055761767
1,208,gen,9289,1.5263643668543907
1,209,gen,13,1.5186178472734266
1,210,gen,2379,1.540865473208889
1,211,gen,34306,1.5177747299594264
