turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,0.0
0,1,gen,785,0.0
0,2,gen,2086,0.7735767364501953
0,3,gen,31805,1.4463218450546265
0,4,gen,315,1.4367156823476155
0,5,gen,1124,1.3988750874996185
0,6,gen,11520,1.493501901626587
0,7,gen,15940,1.3965806265672047
0,8,gen,2075,1.487714605672019
0,9,gen,10699,1.5084660276770592
0,10,gen,8,1.4703791472646925
0,11,gen,374,1.3760333061218262
0,12,gen,1124,1.3273024396462874
0,13,gen,4080,1.3132524838050206
0,14,gen,59,1.3254321767733648
0,15,gen,15940,1.286855310201645
0,16,gen,2075,1.3151435414950052
0,17,gen,10699,1.3170676715672016
0,18,gen,568,1.293951707727769
0,19,gen,151645,1.2655582163068984
1,20,prefill_end,-1,1.2417158327604596
1,21,gen,40,1.2417158327604596
1,22,gen,2776,1.2337242543697358
1,23,gen,537,1.2172502023833138
1,24,gen,2704,1.1978973746299744
1,25,gen,1128,1.210663888765418
1,26,gen,498,1.2242725590864818
1,27,gen,2299,1.221014370918274
1,28,gen,10161,1.208903126991712
1,29,gen,13,1.214201690974059
1,30,gen,1416,1.229807762163026
1,31,gen,498,1.2399289587448383
1,32,gen,2299,1.2307173927625021
1,33,gen,10161,1.221933082226784
1,34,gen,879,1.2370941735083056
1,35,gen,19590,1.2297286160530583
1,36,gen,803,1.2407511107383236
1,37,gen,311,1.246967694451732
1,38,gen,264,1.229227602481842
1,39,gen,3364,1.2368987144962433
1,40,gen,476,1.2169693862238238
1,41,gen,421,1.2251709776539956
1,42,gen,279,1.2207203449741486
1,43,gen,17330,1.237561627741783
1,44,gen,374,1.2620380270865657
1,45,gen,3884,1.2674195997176632
1,46,gen,2664,1.2638715044144662
1,47,gen,504,1.2802366902751308
1,48,gen,9237,1.2721887750010337
1,49,gen,11,1.2806524538224744
1,50,gen,358,1.3094687481080332
1,51,gen,646,1.3229853856948115
1,52,gen,944,1.3287258686557892
1,53,gen,3410,1.3293619578884495
1,54,gen,458,1.3469629922220785
1,55,gen,4226,1.3509535404943651
1,56,gen,13,1.3394073094091108
1,57,gen,358,1.3331991780188777
1,58,gen,646,1.3336737117459696
1,59,gen,3291,1.338901856253224
1,60,gen,498,1.3418361775336727
1,61,gen,429,1.3305159518795628
1,62,gen,279,1.3190017265658225
1,63,gen,17330,1.3147622923697195
1,64,gen,374,1.3430576189871757
1,65,gen,3545,1.3539764592724461
1,66,gen,3884,1.3310911943835597
1,67,gen,2664,1.3218979085645368
1,68,gen,504,1.3134142256552173
1,69,gen,9237,1.3144727849191236
1,70,gen,1576,1.328959797659228
1,71,gen,432,1.3436776688021999
1,72,gen,374,1.3220904892490757
1,73,gen,12128,1.315274138604441
1,74,gen,311,1.3413743319049958
1,75,gen,601,1.3331960478136617
1,76,gen,1091,1.3407320091801305
1,77,gen,279,1.355817840945336
1,78,gen,8059,1.35752454111653
1,79,gen,11,1.369838668454078
1,80,gen,323,1.374640707046755
1,81,gen,432,1.340538626716983
1,82,gen,702,1.334230447969129
1,83,gen,264,1.3340670158786159
1,84,gen,5080,1.3205125793333976
1,85,gen,452,1.3154819434688938
1,86,gen,88987,1.3541430157999839
1,87,gen,320,1.3679386492698424
1,88,gen,34913,1.4015151262283325
1,89,gen,1927,1.4664918953372585
1,90,gen,8,1.4815780655030282
1,91,gen,1091,1.482133061655106
1,92,gen,9237,1.483029173266503
1,93,gen,11,1.5093072768180602
1,94,gen,892,1.5439256083580755
1,95,gen,3363,1.5176741730782293
1,96,gen,432,1.5081917585865143
1,97,gen,25963,1.5150838436618927
1,98,gen,803,1.5295467145981327
1,99,gen,3100,1.5519631024329894
1,100,gen,13,1.5681588034476004
1,101,gen,151645,1.5836572916276994
