turn,step,phase,token_id,fisher_value
0,0,prefill_end,-1,0.0
0,1,gen,785,0.0
0,2,gen,31805,0.8916678428649902
0,3,gen,315,1.333503782749176
0,4,gen,7437,1.2718961238861084
0,5,gen,2075,1.4570752382278442
0,6,gen,8,1.4712301254272462
0,7,gen,374,1.400510271390279
0,8,gen,7960,1.3408855625561305
0,9,gen,2075,1.4182269051671028
0,10,gen,568,1.4374770654572382
0,11,gen,1096,1.4248990952968597
0,12,gen,374,1.3915363929488442
0,13,gen,264,1.3349599937597911
0,14,gen,15811,1.292565221969898
0,15,gen,7286,1.3035631392683302
0,16,gen,304,1.290397298336029
0,17,gen,82668,1.2861632443964481
0,18,gen,13,1.3192211144110735
0,19,gen,6771,1.3563369943035974
0,20,gen,594,1.3629945736182363
0,21,gen,1438,1.354614219069481
0,22,gen,432,1.3700202448027474
0,23,gen,1495,1.3671421869234606
0,24,gen,1119,1.362868757351585
0,25,gen,264,1.3533442492286365
0,26,gen,2805,1.340095202922821
0,27,gen,3364,1.3470734105660365
0,28,gen,1447,1.35609460539288
0,29,gen,12522,1.3772326643977846
0,30,gen,5193,1.390431796682292
0,31,gen,264,1.402365650733312
0,32,gen,882,1.4099546036412638
0,33,gen,11,1.4299362994009448
0,34,gen,304,1.405328594869183
0,35,gen,264,1.4155260189887016
0,36,gen,4268,1.3794845727182203
0,37,gen,315,1.3833266650476763
0,38,gen,5109,1.389104966194399
0,39,gen,323,1.4194349108203765
0,40,gen,5746,1.4056508175788387
0,41,gen,11,1.4151355508835084
0,42,gen,1052,1.4345104290593056
0,43,gen,572,1.444387149426245
0,44,gen,264,1.448222235325844
0,45,gen,23702,1.4508065850503984
0,46,gen,729,1.4572899245446729
0,47,gen,2598,1.4973211346134063
0,48,gen,57668,1.5056623124307202
0,49,gen,11,1.5230823313036272
0,50,gen,15251,1.517361569789148
0,51,gen,553,1.519290929840457
0,52,gen,279,1.514042398621959
0,53,gen,6524,1.4836314897383414
0,54,gen,7437,1.4940291547006177
0,55,gen,2075,1.5341294407844543
0,56,gen,568,1.5498815871054126
0,57,gen,1096,1.5763522213505161
0,58,gen,729,1.5668390277893312
0,59,gen,572,1.5538414851311715
0,60,gen,1075,1.5322327863785528
0,61,gen,264,1.524926641295033
0,62,gen,42578,1.5063564450510087
0,63,gen,11,1.520716876752915
0,64,gen,4633,1.5238553112553013
0,65,gen,825,1.5433537940825186
0,66,gen,1372,1.549852676929966
0,67,gen,323,1.5721123218536377
0,68,gen,13054,1.5633971345040105
0,69,gen,432,1.5779532886320544
0,70,gen,1119,1.5537113028187906
0,71,gen,2441,1.5437886215025378
0,72,gen,11,1.526220852328885
0,73,gen,714,1.511099269313197
0,74,gen,448,1.5016967481182468
0,75,gen,264,1.509851715257091
0,76,gen,26646,1.5055101225453038
0,77,gen,13,1.506061315536499
0,78,gen,1084,1.4860164849988875
0,79,gen,1030,1.4748981652721282
0,80,gen,264,1.4319717807154502
0,81,gen,3281,1.3968369595466121
0,82,gen,2355,1.387406131913585
0,83,gen,25,1.4022934879026105
0,84,gen,979,1.4202693066289347
0,85,gen,498,1.4147487551935258
0,86,gen,1946,1.3701754443107113
0,87,gen,279,1.3654314914057333
0,88,gen,1372,1.343886342740828
0,89,gen,856,1.3440509823060804
0,90,gen,11,1.3467936919581505
0,91,gen,432,1.3487177452733439
0,92,gen,1035,1.3325994110876513
0,93,gen,2550,1.3217779436419088
0,94,gen,279,1.294921059762278
0,95,gen,57668,1.27398249987633
0,96,gen,315,1.2683901113848532
0,97,gen,856,1.2503092538925908
0,98,gen,382,1.2413069644281942
0,99,gen,7039,1.2534349868374486
0,100,gen,11,1.2554830601138454
0,101,gen,12793,1.2500098962937631
0,102,gen,498,1.2552573930832647
