arm,regime,prompt_idx,seed,elapsed_sec,n_steps,boundary_indices
A,factual,0,17,211.64,566,"[168, 361, 539]"
B,factual,0,17,207.17,583,"[168, 197, 390]"
A,factual,0,42,101.62,267,"[20, 213, 240]"
B,factual,0,42,109.64,309,"[20, 102, 116]"
A,factual,0,1337,104.05,274,"[18, 161, 240]"
B,factual,0,1337,75.74,212,"[18, 43, 145]"
A,factual,1,17,79.56,205,"[31, 66, 148]"
B,factual,1,17,54.98,154,"[31, 65, 103]"
A,factual,1,42,77.14,194,"[46, 84, 171]"
B,factual,1,42,55.31,154,"[46, 75, 116]"
A,factual,1,1337,88.85,232,"[32, 67, 125]"
B,factual,1,1337,53.13,148,"[32, 64, 104]"
A,mathematical,0,17,132.63,347,"[97, 290, 340]"
B,mathematical,0,17,131.05,370,"[97, 290, 354]"
A,mathematical,0,42,131.35,352,"[20, 213, 312]"
B,mathematical,0,42,50.72,141,"[20, 68, 129]"
A,mathematical,0,1337,203.63,549,"[193, 317, 510]"
B,mathematical,0,1337,181.38,512,"[193, 386, 467]"
A,mathematical,1,17,141.71,375,"[106, 196, 297]"
B,mathematical,1,17,101.21,286,"[106, 195, 253]"
A,mathematical,1,42,184.79,496,"[154, 347, 446]"
B,mathematical,1,42,200.13,564,"[154, 317, 510]"
A,mathematical,1,1337,155.26,412,"[77, 270, 376]"
B,mathematical,1,1337,96.52,273,"[77, 189, 254]"
A,creative,0,17,136.98,363,"[60, 253, 281]"
B,creative,0,17,124.92,353,"[60, 253, 284]"
A,creative,0,42,109.9,292,"[25, 218, 255]"
B,creative,0,42,147.81,418,"[25, 218, 245]"
A,creative,0,1337,127.78,342,"[30, 223, 266]"
B,creative,0,1337,89.12,252,"[30, 152, 179]"
A,creative,1,17,158.76,430,"[193, 216, 237]"
B,creative,1,17,148.93,421,"[193, 214, 268]"
A,creative,1,42,172.64,460,"[193, 291, 354]"
B,creative,1,42,104.14,294,"[193, 217, 230]"
A,creative,1,1337,97.25,253,"[193, 220, 234]"
B,creative,1,1337,152.11,430,"[193, 285, 343]"
