file,q_label,topology,epsilon,ln_epsilon,N_star_epsilon,exp_tau,exp_A
14q_readout_raw_data.txt,14q,1D_Snake,1e-08,-18.420680743952367,493893.0948527904,39682.72451331901,0.0025424356907626
14q_readout_raw_data.txt,14q,1D_Snake,1e-06,-13.815510557964274,311147.39502527483,39682.72451331901,0.0025424356907626
14q_readout_raw_data.txt,14q,1D_Snake,0.0001,-9.210340371976182,128401.69519775934,39682.72451331901,0.0025424356907626
14q_readout_raw_data.txt,14q,1D_Snake,0.001,-6.907755278982137,37028.84528400162,39682.72451331901,0.0025424356907626
14q_readout_raw_data.txt,14q,1D_Snake,0.01,-4.605170185988091,,39682.72451331901,0.0025424356907626
18q_readout_raw_data.txt,18q,1D_Snake,1e-08,-18.420680743952367,363843.4973579174,29638.76033260405,0.0021447212781186
18q_readout_raw_data.txt,18q,1D_Snake,1e-06,-13.815510557964274,227351.96192456267,29638.76033260405,0.0021447212781186
18q_readout_raw_data.txt,18q,1D_Snake,0.0001,-9.210340371976182,90860.426491208,29638.76033260405,0.0021447212781186
18q_readout_raw_data.txt,18q,1D_Snake,0.001,-6.907755278982137,22614.65877453068,29638.76033260405,0.0021447212781186
18q_readout_raw_data.txt,18q,1D_Snake,0.01,-4.605170185988091,,29638.76033260405,0.0021447212781186
22q_readout_raw_data.txt,22q,1D_Snake,1e-08,-18.420680743952367,296056.9348292237,23542.22637977148,0.0028940165402672
22q_readout_raw_data.txt,22q,1D_Snake,1e-06,-13.815510557964274,187640.97579331772,23542.22637977148,0.0028940165402672
22q_readout_raw_data.txt,22q,1D_Snake,0.0001,-9.210340371976182,79225.01675741174,23542.22637977148,0.0028940165402672
22q_readout_raw_data.txt,22q,1D_Snake,0.001,-6.907755278982137,25017.03723945876,23542.22637977148,0.0028940165402672
22q_readout_raw_data.txt,22q,1D_Snake,0.01,-4.605170185988091,,23542.22637977148,0.0028940165402672
28q_readout_raw_data.txt,28q,1D_Snake,1e-08,-18.420680743952367,289182.2024953159,22792.63722560116,0.0032368532401592
28q_readout_raw_data.txt,28q,1D_Snake,1e-06,-13.815510557964274,184218.22908393512,22792.63722560116,0.0032368532401592
28q_readout_raw_data.txt,28q,1D_Snake,0.0001,-9.210340371976182,79254.2556725543,22792.63722560116,0.0032368532401592
28q_readout_raw_data.txt,28q,1D_Snake,0.001,-6.907755278982137,26772.268966863918,22792.63722560116,0.0032368532401592
28q_readout_raw_data.txt,28q,1D_Snake,0.01,-4.605170185988091,,22792.63722560116,0.0032368532401592
32q_readout_raw_data.txt,32q,1D_Snake,1e-08,-18.420680743952367,248642.93801752667,19739.070215151118,0.0029551853285736
32q_readout_raw_data.txt,32q,1D_Snake,1e-06,-13.815510557964274,157741.16036358717,19739.070215151118,0.0029551853285736
32q_readout_raw_data.txt,32q,1D_Snake,0.0001,-9.210340371976182,66839.38270964769,19739.070215151118,0.0029551853285736
32q_readout_raw_data.txt,32q,1D_Snake,0.001,-6.907755278982137,21388.493882677965,19739.070215151118,0.0029551853285736
32q_readout_raw_data.txt,32q,1D_Snake,0.01,-4.605170185988091,,19739.070215151118,0.0029551853285736
47q_readout_raw_data.txt,47q,1D_Snake,1e-08,-18.420680743952367,294693.0256934628,23553.06720074962,0.0027154270621238
47q_readout_raw_data.txt,47q,1D_Snake,1e-06,-13.815510557964274,186227.14283199664,23553.06720074962,0.0027154270621238
47q_readout_raw_data.txt,47q,1D_Snake,0.0001,-9.210340371976182,77761.25997053047,23553.06720074962,0.0027154270621238
47q_readout_raw_data.txt,47q,1D_Snake,0.001,-6.907755278982137,23528.31853979742,23553.06720074962,0.0027154270621238
47q_readout_raw_data.txt,47q,1D_Snake,0.01,-4.605170185988091,,23553.06720074962,0.0027154270621238
12q_readout_raw_data.txt,12q,2D_Block,1e-08,-18.420680743952367,354725.82300439716,28740.655243140704,0.0022918874933099
12q_readout_raw_data.txt,12q,2D_Block,1e-06,-13.815510557964274,222370.21435292324,28740.655243140704,0.0022918874933099
12q_readout_raw_data.txt,12q,2D_Block,0.0001,-9.210340371976182,90014.60570144933,28740.655243140704,0.0022918874933099
12q_readout_raw_data.txt,12q,2D_Block,0.001,-6.907755278982137,23836.801375712406,28740.655243140704,0.0022918874933099
12q_readout_raw_data.txt,12q,2D_Block,0.01,-4.605170185988091,,28740.655243140704,0.0022918874933099
16q_readout_raw_data.txt,16q,2D_Block,1e-08,-18.420680743952367,364483.3900271868,28941.81378356717,0.0029468461112487
16q_readout_raw_data.txt,16q,2D_Block,1e-06,-13.815510557964274,231201.41206268396,28941.81378356717,0.0029468461112487
16q_readout_raw_data.txt,16q,2D_Block,0.0001,-9.210340371976182,97919.4340981812,28941.81378356717,0.0029468461112487
16q_readout_raw_data.txt,16q,2D_Block,0.001,-6.907755278982137,31278.44511592986,28941.81378356717,0.0029468461112487
16q_readout_raw_data.txt,16q,2D_Block,0.01,-4.605170185988091,,28941.81378356717,0.0029468461112487
20q_readout_raw_data.txt,20q,2D_Block,1e-08,-18.420680743952367,383219.4957596947,30572.900483575635,0.002777880387302
20q_readout_raw_data.txt,20q,2D_Block,1e-06,-13.815510557964274,242426.08595355126,30572.900483575635,0.002777880387302
20q_readout_raw_data.txt,20q,2D_Block,0.0001,-9.210340371976182,101632.67614740784,30572.900483575635,0.002777880387302
