file,q_label,topology,slope_N_vs_ln_eps,minus_tau,abs_slope_plus_tau
14q_readout_raw_data.txt,14q,1D_Snake,-39682.72451331902,-39682.72451331901,1.4551915228366852e-11
18q_readout_raw_data.txt,18q,1D_Snake,-29638.760332604063,-29638.76033260405,1.0913936421275139e-11
22q_readout_raw_data.txt,22q,1D_Snake,-23542.22637977149,-23542.22637977148,1.0913936421275139e-11
28q_readout_raw_data.txt,28q,1D_Snake,-22792.63722560117,-22792.63722560116,1.0913936421275139e-11
32q_readout_raw_data.txt,32q,1D_Snake,-19739.07021515113,-19739.070215151118,1.0913936421275139e-11
47q_readout_raw_data.txt,47q,1D_Snake,-23553.06720074963,-23553.06720074962,7.275957614183426e-12
12q_readout_raw_data.txt,12q,2D_Block,-28740.65524314072,-28740.655243140704,1.8189894035458565e-11
16q_readout_raw_data.txt,16q,2D_Block,-28941.813783567184,-28941.81378356717,1.4551915228366852e-11
20q_readout_raw_data.txt,20q,2D_Block,-30572.900483575646,-30572.900483575635,1.0913936421275139e-11
30q_readout_raw_data.txt,30q,2D_Block,-21028.12294518873,-21028.122945188723,7.275957614183426e-12
34q_readout_raw_data.txt,34q,2D_Block,-17501.29643176297,-17501.296431762967,3.637978807091713e-12
39q_readout_raw_data.txt,39q,2D_Block,-20961.312677408416,-20961.3126774084,1.4551915228366852e-11
40q_readout_raw_data.txt,40q,2D_Block,-17052.55746102912,-17052.55746102911,7.275957614183426e-12
41q_readout_raw_data.txt,41q,2D_Block,-14771.884751343625,-14771.884751343618,7.275957614183426e-12
42q_readout_raw_data.txt,42q,2D_Block,-22408.020936089822,-22408.020936089822,0.0
43q_readout_raw_data.txt,43q,2D_Block,-20285.778188054344,-20285.778188054337,7.275957614183426e-12
44q_readout_raw_data.txt,44q,2D_Block,-24691.716575178783,-24691.71657517877,1.4551915228366852e-11
45q_readout_raw_data.txt,45q,2D_Block,-27740.968470060456,-27740.968470060445,1.0913936421275139e-11
50q_readout_raw_data.txt,50q,2D_Block,-17735.608209000166,-17735.60820900016,7.275957614183426e-12
26q_readout_raw_data.txt,26q,Bulk_Full,-26810.245643943563,-26810.24564394356,3.637978807091713e-12
36q_readout_raw_data.txt,36q,Bulk_Full,-18279.020577442385,-18279.020577442378,7.275957614183426e-12
38q_readout_raw_data.txt,38q,Bulk_Full,-22464.92118567104,-22464.92118567102,1.8189894035458565e-11
48q_readout_raw_data.txt,48q,Bulk_Full,-21016.18652720748,-21016.18652720747,1.0913936421275139e-11
51q_readout_raw_data.txt,51q,Bulk_Full,-20326.39166637297,-20326.391666372954,1.4551915228366852e-11
53q_readout_raw_data.txt,53q,Bulk_Full,-13803.926469746119,-13803.926469746111,7.275957614183426e-12
