layer,regime_a,regime_b,cohens_d
0,factual,mathematical,0.1489
0,factual,creative,0.5571
0,factual,philosophical,0.0005
0,mathematical,creative,0.5548
0,mathematical,philosophical,0.1539
0,creative,philosophical,0.5973
1,factual,mathematical,0.5302
1,factual,creative,0.7638
1,factual,philosophical,0.0709
1,mathematical,creative,1.0883
1,mathematical,philosophical,0.5963
1,creative,philosophical,0.7356
2,factual,mathematical,1.2582
2,factual,creative,0.8334
2,factual,philosophical,0.0892
2,mathematical,creative,1.9819
2,mathematical,philosophical,1.2493
2,creative,philosophical,0.9619
3,factual,mathematical,1.7436
3,factual,creative,0.6149
3,factual,philosophical,0.1947
3,mathematical,creative,2.3489
3,mathematical,philosophical,1.7578
3,creative,philosophical,0.8748
4,factual,mathematical,1.636
4,factual,creative,0.088
4,factual,philosophical,0.7997
4,mathematical,creative,1.7854
4,mathematical,philosophical,1.1664
4,creative,philosophical,0.8384
5,factual,mathematical,1.584
5,factual,creative,0.8209
5,factual,philosophical,0.5461
5,mathematical,creative,2.1183
5,mathematical,philosophical,1.7647
5,creative,philosophical,0.1725
6,factual,mathematical,1.8498
6,factual,creative,1.0051
6,factual,philosophical,0.2658
6,mathematical,creative,2.4958
6,mathematical,philosophical,1.862
6,creative,philosophical,0.6858
7,factual,mathematical,2.143
7,factual,creative,0.591
7,factual,philosophical,0.2549
7,mathematical,creative,2.5504
7,mathematical,philosophical,2.2243
7,creative,philosophical,0.3182
8,factual,mathematical,1.3941
8,factual,creative,0.8051
8,factual,philosophical,0.0135
8,mathematical,creative,2.0643
8,mathematical,philosophical,1.4196
8,creative,philosophical,0.829
9,factual,mathematical,0.7031
9,factual,creative,0.5002
9,factual,philosophical,0.1374
9,mathematical,creative,1.2652
9,mathematical,philosophical,0.6036
9,creative,philosophical,0.6659
10,factual,mathematical,1.146
10,factual,creative,0.4949
10,factual,philosophical,0.0893
10,mathematical,creative,2.174
10,mathematical,philosophical,1.3873
10,creative,philosophical,0.4272
11,factual,mathematical,0.4186
11,factual,creative,1.411
11,factual,philosophical,1.0354
11,mathematical,creative,1.5738
11,mathematical,philosophical,1.2463
11,creative,philosophical,0.3856
12,factual,mathematical,0.3104
12,factual,creative,1.0988
12,factual,philosophical,0.8272
12,mathematical,creative,1.2233
12,mathematical,philosophical,0.9828
12,creative,philosophical,0.2431
13,factual,mathematical,0.6458
13,factual,creative,0.343
13,factual,philosophical,0.4537
13,mathematical,creative,0.9102
13,mathematical,philosophical,0.9634
13,creative,philosophical,0.1387
14,factual,mathematical,0.698
14,factual,creative,0.1472
14,factual,philosophical,0.3199
14,mathematical,creative,0.5483
14,mathematical,philosophical,0.8707
14,creative,philosophical,0.4366
15,factual,mathematical,0.7929
15,factual,creative,0.304
15,factual,philosophical,0.3403
15,mathematical,creative,0.5015
15,mathematical,philosophical,0.9856
15,creative,philosophical,0.5889
16,factual,mathematical,1.6073
16,factual,creative,0.733
16,factual,philosophical,0.2068
16,mathematical,creative,0.9166
16,mathematical,philosophical,1.6698
16,creative,philosophical,0.8729
17,factual,mathematical,1.4028
17,factual,creative,0.7716
17,factual,philosophical,0.0845
17,mathematical,creative,0.5663
17,mathematical,philosophical,1.4245
17,creative,philosophical,0.7377
18,factual,mathematical,1.2806
18,factual,creative,0.5086
18,factual,philosophical,0.042
18,mathematical,creative,0.734
18,mathematical,philosophical,1.3782
18,creative,philosophical,0.5674
19,factual,mathematical,1.3131
19,factual,creative,0.1482
19,factual,philosophical,0.1666
19,mathematical,creative,1.1622
19,mathematical,philosophical,1.5817
19,creative,philosophical,0.3233
20,factual,mathematical,1.1706
20,factual,creative,0.0574
20,factual,philosophical,0.2224
20,mathematical,creative,1.2553
20,mathematical,philosophical,1.565
20,creative,philosophical,0.1633
21,factual,mathematical,0.7432
21,factual,creative,0.024
21,factual,philosophical,0.0891
21,mathematical,creative,0.706
21,mathematical,philosophical,0.8917
21,creative,philosophical,0.0575
22,factual,mathematical,0.2918
22,factual,creative,0.0932
22,factual,philosophical,0.0142
22,mathematical,creative,0.3634
22,mathematical,philosophical,0.2935
22,creative,philosophical,0.1099
23,factual,mathematical,0.0836
23,factual,creative,0.0469
23,factual,philosophical,0.1735
23,mathematical,creative,0.1242
23,mathematical,philosophical,0.2789
23,creative,philosophical,0.1051
24,factual,mathematical,0.5798
24,factual,creative,0.3655
24,factual,philosophical,0.4218
24,mathematical,creative,0.866
24,mathematical,philosophical,1.0833
24,creative,philosophical,0.0354
25,factual,mathematical,1.2604
25,factual,creative,0.9183
25,factual,philosophical,0.7967
25,mathematical,creative,1.8512
25,mathematical,philosophical,1.8459
25,creative,philosophical,0.315
