layer,regime_a,regime_b,cohens_d,cohens_d_std
0,creative,philosophical,0.2577,0.1838
0,factual,creative,0.2421,0.1351
0,factual,mathematical,0.4698,0.3529
0,factual,philosophical,0.28,0.2811
0,mathematical,creative,0.4758,0.3163
0,mathematical,philosophical,0.5936,0.3291
1,creative,philosophical,0.2825,0.1863
1,factual,creative,0.2688,0.1182
1,factual,mathematical,0.4128,0.2334
1,factual,philosophical,0.2535,0.3192
1,mathematical,creative,0.3465,0.2384
1,mathematical,philosophical,0.4712,0.2406
2,creative,philosophical,0.2492,0.1727
2,factual,creative,0.2096,0.1175
2,factual,mathematical,0.3522,0.1441
2,factual,philosophical,0.1848,0.295
2,mathematical,creative,0.3152,0.1407
2,mathematical,philosophical,0.3583,0.1653
3,creative,philosophical,0.2989,0.2329
3,factual,creative,0.2728,0.1333
3,factual,mathematical,0.2801,0.2252
3,factual,philosophical,0.2795,0.3012
3,mathematical,creative,0.2633,0.0332
3,mathematical,philosophical,0.3144,0.1026
4,creative,philosophical,0.318,0.195
4,factual,creative,0.1724,0.1328
4,factual,mathematical,0.2544,0.114
4,factual,philosophical,0.3159,0.2559
4,mathematical,creative,0.2501,0.1175
4,mathematical,philosophical,0.2902,0.2038
5,creative,philosophical,0.2685,0.2423
5,factual,creative,0.1452,0.0988
5,factual,mathematical,0.2156,0.1222
5,factual,philosophical,0.2912,0.1886
5,mathematical,creative,0.2837,0.1661
5,mathematical,philosophical,0.2634,0.1742
6,creative,philosophical,0.2321,0.1805
6,factual,creative,0.15,0.1271
6,factual,mathematical,0.2037,0.1233
6,factual,philosophical,0.2147,0.1505
6,mathematical,creative,0.107,0.0579
6,mathematical,philosophical,0.176,0.1655
7,creative,philosophical,0.2519,0.1347
7,factual,creative,0.1288,0.0628
7,factual,mathematical,0.1058,0.1354
7,factual,philosophical,0.1514,0.12
7,mathematical,creative,0.1736,0.1594
7,mathematical,philosophical,0.2567,0.147
8,creative,philosophical,0.1317,0.1175
8,factual,creative,0.1058,0.0689
8,factual,mathematical,0.1597,0.1404
8,factual,philosophical,0.1217,0.0744
8,mathematical,creative,0.1281,0.1204
8,mathematical,philosophical,0.1836,0.1001
9,creative,philosophical,0.1692,0.099
9,factual,creative,0.0529,0.0194
9,factual,mathematical,0.1184,0.0625
9,factual,philosophical,0.2253,0.087
9,mathematical,creative,0.1373,0.0569
9,mathematical,philosophical,0.2245,0.0575
10,creative,philosophical,0.1952,0.1802
10,factual,creative,0.1184,0.0412
10,factual,mathematical,0.1626,0.1049
10,factual,philosophical,0.2107,0.1628
10,mathematical,creative,0.1493,0.0762
10,mathematical,philosophical,0.2895,0.109
11,creative,philosophical,0.2115,0.1553
11,factual,creative,0.1048,0.1146
11,factual,mathematical,0.1013,0.0715
11,factual,philosophical,0.2651,0.2426
11,mathematical,creative,0.1261,0.0704
11,mathematical,philosophical,0.3286,0.1891
12,creative,philosophical,0.1754,0.0806
12,factual,creative,0.1657,0.1157
12,factual,mathematical,0.1089,0.1003
12,factual,philosophical,0.2456,0.1991
12,mathematical,creative,0.0904,0.0518
12,mathematical,philosophical,0.2331,0.1567
13,creative,philosophical,0.0915,0.0402
13,factual,creative,0.0922,0.0734
13,factual,mathematical,0.1123,0.0773
13,factual,philosophical,0.14,0.0793
13,mathematical,creative,0.0962,0.0779
13,mathematical,philosophical,0.1704,0.0924
14,creative,philosophical,0.1195,0.0782
14,factual,creative,0.0983,0.0731
14,factual,mathematical,0.0729,0.0515
14,factual,philosophical,0.1646,0.0879
14,mathematical,creative,0.0859,0.023
14,mathematical,philosophical,0.1738,0.0765
15,creative,philosophical,0.1064,0.1006
15,factual,creative,0.0636,0.0477
15,factual,mathematical,0.0865,0.0606
15,factual,philosophical,0.1422,0.0877
15,mathematical,creative,0.1436,0.0815
15,mathematical,philosophical,0.1658,0.0832
16,creative,philosophical,0.119,0.1251
16,factual,creative,0.0579,0.0369
16,factual,mathematical,0.106,0.0802
16,factual,philosophical,0.1649,0.0938
16,mathematical,creative,0.131,0.0855
16,mathematical,philosophical,0.1455,0.0968
17,creative,philosophical,0.1932,0.1225
17,factual,creative,0.0589,0.0328
17,factual,mathematical,0.1631,0.1092
17,factual,philosophical,0.1914,0.0755
17,mathematical,creative,0.1916,0.1492
17,mathematical,philosophical,0.1321,0.1147
18,creative,philosophical,0.207,0.1299
18,factual,creative,0.0964,0.0461
18,factual,mathematical,0.1524,0.0795
18,factual,philosophical,0.1972,0.066
18,mathematical,creative,0.1115,0.1624
18,mathematical,philosophical,0.1487,0.1182
19,creative,philosophical,0.1902,0.0942
19,factual,creative,0.1097,0.0554
19,factual,mathematical,0.1619,0.0817
19,factual,philosophical,0.2236,0.0561
