layer,regime_a,regime_b,cohens_d
0,factual,mathematical,0.2714
0,factual,creative,0.0552
0,factual,philosophical,0.0301
0,mathematical,creative,0.2943
0,mathematical,philosophical,0.3088
0,creative,philosophical,0.0321
1,factual,mathematical,0.2653
1,factual,creative,0.1631
1,factual,philosophical,0.0718
1,mathematical,creative,0.373
1,mathematical,philosophical,0.3304
1,creative,philosophical,0.1093
2,factual,mathematical,0.326
2,factual,creative,0.1433
2,factual,philosophical,0.0556
2,mathematical,creative,0.4083
2,mathematical,philosophical,0.3835
2,creative,philosophical,0.1055
3,factual,mathematical,0.0151
3,factual,creative,0.2402
3,factual,philosophical,0.3521
3,mathematical,creative,0.2169
3,mathematical,philosophical,0.2985
3,creative,philosophical,0.0561
4,factual,mathematical,0.136
4,factual,creative,0.1618
4,factual,philosophical,0.5679
4,mathematical,creative,0.2675
4,mathematical,philosophical,0.6391
4,creative,philosophical,0.3271
5,factual,mathematical,0.3407
5,factual,creative,0.267
5,factual,philosophical,0.2958
5,mathematical,creative,0.5405
5,mathematical,philosophical,0.5954
5,creative,philosophical,0.0007
6,factual,mathematical,0.0821
6,factual,creative,0.1202
6,factual,philosophical,0.1197
6,mathematical,creative,0.0256
6,mathematical,philosophical,0.0225
6,creative,philosophical,0.0043
7,factual,mathematical,0.3742
7,factual,creative,0.1581
7,factual,philosophical,0.0751
7,mathematical,creative,0.4617
7,mathematical,philosophical,0.4263
7,creative,philosophical,0.0886
8,factual,mathematical,0.3805
8,factual,creative,0.0457
8,factual,philosophical,0.0248
8,mathematical,creative,0.3196
8,mathematical,philosophical,0.3466
8,creative,philosophical,0.0209
9,factual,mathematical,0.0266
9,factual,creative,0.0467
9,factual,philosophical,0.1484
9,mathematical,creative,0.0649
9,mathematical,philosophical,0.1542
9,creative,philosophical,0.098
10,factual,mathematical,0.3343
10,factual,creative,0.1434
10,factual,philosophical,0.0712
10,mathematical,creative,0.1637
10,mathematical,philosophical,0.3736
10,creative,philosophical,0.1983
11,factual,mathematical,0.0178
11,factual,creative,0.0613
11,factual,philosophical,0.3631
11,mathematical,creative,0.0692
11,mathematical,philosophical,0.3005
11,creative,philosophical,0.393
12,factual,mathematical,0.0498
12,factual,creative,0.2249
12,factual,philosophical,0.1353
12,mathematical,creative,0.1553
12,mathematical,philosophical,0.062
12,creative,philosophical,0.1131
13,factual,mathematical,0.1154
13,factual,creative,0.2337
13,factual,philosophical,0.239
13,mathematical,creative,0.0803
13,mathematical,philosophical,0.0683
13,creative,philosophical,0.0189
14,factual,mathematical,0.1274
14,factual,creative,0.2341
14,factual,philosophical,0.2431
14,mathematical,creative,0.0617
14,mathematical,philosophical,0.0445
14,creative,philosophical,0.0263
15,factual,mathematical,0.006
15,factual,creative,0.0327
15,factual,philosophical,0.0951
15,mathematical,creative,0.0392
15,mathematical,philosophical,0.1014
15,creative,philosophical,0.0661
16,factual,mathematical,0.0059
16,factual,creative,0.0319
16,factual,philosophical,0.0626
16,mathematical,creative,0.0384
16,mathematical,philosophical,0.0697
16,creative,philosophical,0.0305
17,factual,mathematical,0.0444
17,factual,creative,0.039
17,factual,philosophical,0.0899
17,mathematical,creative,0.0872
17,mathematical,philosophical,0.0546
17,creative,philosophical,0.1277
18,factual,mathematical,0.0562
18,factual,creative,0.0378
18,factual,philosophical,0.1325
18,mathematical,creative,0.0139
18,mathematical,philosophical,0.0886
18,creative,philosophical,0.0932
19,factual,mathematical,0.0045
19,factual,creative,0.0978
19,factual,philosophical,0.2247
19,mathematical,creative,0.0933
19,mathematical,philosophical,0.22
19,creative,philosophical,0.1228
20,factual,mathematical,0.1366
20,factual,creative,0.2203
20,factual,philosophical,0.3518
20,mathematical,creative,0.0882
20,mathematical,philosophical,0.2108
20,creative,philosophical,0.1144
21,factual,mathematical,0.1435
21,factual,creative,0.2046
21,factual,philosophical,0.3211
21,mathematical,creative,0.0718
21,mathematical,philosophical,0.1741
21,creative,philosophical,0.0892
22,factual,mathematical,0.1713
22,factual,creative,0.189
22,factual,philosophical,0.2647
22,mathematical,creative,0.0307
22,mathematical,philosophical,0.0854
22,creative,philosophical,0.0471
23,factual,mathematical,0.1026
23,factual,creative,0.1943
23,factual,philosophical,0.3307
23,mathematical,creative,0.092
23,mathematical,philosophical,0.2258
23,creative,philosophical,0.1315
24,factual,mathematical,0.112
24,factual,creative,0.3321
24,factual,philosophical,0.2844
24,mathematical,creative,0.2167
24,mathematical,philosophical,0.1591
24,creative,philosophical,0.0736
25,factual,mathematical,0.1688
25,factual,creative,0.3915
25,factual,philosophical,0.2898
25,mathematical,creative,0.1975
25,mathematical,philosophical,0.1025
25,creative,philosophical,0.101
