regime,prompt,layer,t,F
factual,0,0,0,61.88376235961914
factual,0,0,1,83.08846855163574
factual,0,0,2,97.90579096476237
factual,0,0,3,100.13749408721924
factual,0,0,4,103.19690322875977
factual,0,0,5,102.00704765319824
factual,0,0,6,94.2386087690081
factual,0,0,7,96.496009349823
factual,0,0,8,96.5323609246148
factual,0,0,9,96.37770576477051
factual,0,0,10,95.92806070501155
factual,0,0,11,93.04153505961101
factual,0,0,12,90.5344725388747
factual,0,0,13,89.72074781145368
factual,0,0,14,88.84657440185546
factual,0,0,15,85.31201100349426
factual,0,0,16,85.81732604082893
factual,0,0,17,85.83394601609972
factual,0,0,18,83.18396779110557
factual,0,0,19,80.22398443222046
factual,0,0,20,78.23565610249837
factual,0,0,21,77.25874198566784
factual,0,0,22,75.98301721655804
factual,0,0,23,75.50762009620667
factual,0,0,24,77.16371543884277
factual,0,0,25,78.61669738476093
factual,0,0,26,77.18235432660138
factual,0,0,27,76.34685019084385
factual,0,0,28,76.39182906315244
factual,0,0,29,75.8934310277303
factual,0,0,30,75.45730252419749
factual,0,0,31,74.5723958784534
factual,0,0,32,71.21568192637736
factual,0,0,33,68.05441830667758
factual,0,0,34,65.658647403121
factual,0,0,35,64.44816274460285
factual,0,0,36,64.26666141758042
factual,0,0,37,64.66122995316982
factual,0,0,38,63.26367820126395
factual,0,0,39,61.318298759479674
factual,0,0,40,60.535964647127734
factual,0,0,41,60.849115360648405
factual,0,0,42,62.567622573625655
factual,0,0,43,64.30870528807563
factual,0,0,44,63.22876055442518
factual,0,0,45,62.70764042148667
factual,0,0,46,63.803205356001854
factual,0,0,47,62.495939243705045
factual,0,0,48,61.296152965195716
factual,0,0,49,61.34524098182878
factual,0,0,50,62.35986314713955
factual,0,0,51,62.51429156766784
factual,0,0,52,63.132816180586815
factual,0,0,53,63.741590550349606
factual,0,0,54,64.10046324085805
factual,0,0,55,62.372826472886146
factual,0,0,56,60.049346789717674
factual,0,0,57,60.473401827677606
factual,0,0,58,61.99592773808587
factual,0,0,59,62.35258347420923
factual,0,0,60,64.70056778817407
factual,0,0,61,66.6027617805427
factual,0,0,62,67.99128955842987
factual,0,0,63,69.11660668157762
factual,0,0,64,70.39500636439169
factual,0,0,65,71.91435746223696
factual,0,0,66,72.86000073340631
factual,0,0,67,72.61196542555287
factual,0,0,68,71.59824334421465
factual,0,0,69,70.36561646000031
factual,0,0,70,69.41981581718692
factual,0,0,71,69.75263904756115
factual,0,0,72,69.29995507578695
factual,0,0,73,67.0398795989252
factual,0,0,74,64.74393033981323
factual,0,0,75,64.33417623273787
factual,0,0,76,64.69232191578034
factual,0,0,77,67.04777540699128
factual,0,0,78,67.86540691314205
factual,0,0,79,68.66473340988159
factual,0,0,80,69.6642687551437
factual,0,0,81,68.99785701690182
factual,0,0,82,69.78068088716076
factual,0,0,83,69.66841557718092
factual,0,0,84,68.75964910753312
factual,0,0,85,67.67732474111742
factual,0,0,86,67.98684927725023
factual,0,0,87,68.53087949752808
factual,0,0,88,68.92282512111049
factual,0,0,89,66.62537576306251
factual,0,0,90,64.68207920751264
factual,0,0,91,62.89265025046564
factual,0,0,92,61.41249135232741
factual,0,0,93,61.94135064463462
factual,0,0,94,62.92473210057905
factual,0,0,95,61.949122290457446
factual,0,0,96,61.20503014902915
factual,0,0,97,58.84461312140188
factual,0,0,98,59.20603649077877
factual,0,0,99,61.65761456951018
factual,0,0,100,64.44530894679409
factual,0,0,101,68.00604912542528
factual,0,0,102,66.37260449317193
factual,0,0,103,66.22592224613312
factual,0,0,104,69.19159464682302
factual,0,0,105,70.23702781431136
factual,0,0,106,71.97104374054939
factual,0,0,107,71.85694811421055
factual,0,0,108,70.83978025374874
factual,0,0,109,72.13123592253655
factual,0,0,110,72.95283975908833
factual,0,0,111,74.63094994329637
factual,0,0,112,76.05228842458418
factual,0,0,113,74.83769016881143
factual,0,0,114,73.43209475855673
factual,0,0,115,73.11604770537346
factual,0,0,116,74.71267374100223
factual,0,0,117,75.74041298897036
factual,0,0,118,76.94465212668142
factual,0,0,119,77.96172351221884
factual,0,0,120,79.88317095848822
factual,0,0,121,81.70051260917417
factual,0,0,122,80.69824126458937
factual,0,0,123,79.42499080781013
factual,0,0,124,77.3077894641507
factual,0,0,125,77.80434786888861
factual,0,0,126,78.80964562200731
factual,0,1,0,75.9150390625
factual,0,1,1,116.43167114257812
factual,0,1,2,128.36493428548178
factual,0,1,3,138.7957992553711
factual,0,1,4,135.70458068847657
factual,0,1,5,135.50457000732422
factual,0,1,6,123.36867141723633
factual,0,1,7,124.8334288597107
factual,0,1,8,124.20194880167644
factual,0,1,9,123.88693809509277
factual,0,1,10,123.90979107943448
factual,0,1,11,120.73495642344157
factual,0,1,12,117.04000707773062
factual,0,1,13,116.83346857343402
factual,0,1,14,114.85676091512045
factual,0,1,15,110.39789080619812
factual,0,1,16,111.16367945951573
factual,0,1,17,111.48039393954807
factual,0,1,18,108.34719808478104
factual,0,1,19,104.72774887084961
factual,0,1,20,102.68983895438058
factual,0,1,21,102.58782230723988
factual,0,1,22,101.61516703730044
factual,0,1,23,101.0999116897583
factual,0,1,24,102.3951498413086
factual,0,1,25,103.81312062190129
factual,0,1,26,101.6562420880353
factual,0,1,27,99.94759614127022
factual,0,1,28,100.6541519165039
factual,0,1,29,100.5703114827474
factual,0,1,30,100.66030662290511
factual,0,1,31,99.67480259556925
factual,0,1,32,94.72486689782912
factual,0,1,33,91.01399067909487
factual,0,1,34,87.35575789789999
factual,0,1,35,86.8099099128477
factual,0,1,36,86.36374981172624
factual,0,1,37,87.78144944098688
factual,0,1,38,86.6673705500941
factual,0,1,39,85.42679432899722
factual,0,1,40,84.91118015781525
factual,0,1,41,84.58517809837095
factual,0,1,42,86.59483568130001
factual,0,1,43,89.02057386213734
factual,0,1,44,88.07976885764829
factual,0,1,45,92.11587189089867
factual,0,1,46,94.78059076493786
factual,0,1,47,93.17450034233832
factual,0,1,48,91.93645584967828
factual,0,1,49,91.71279682651642
factual,0,1,50,93.02373132398051
factual,0,1,51,92.9008537723172
factual,0,1,52,92.96479646621212
factual,0,1,53,94.59976783875496
factual,0,1,54,95.56930588137719
factual,0,1,55,95.16964004885766
factual,0,1,56,92.6733634394984
factual,0,1,57,94.33642427382931
factual,0,1,58,96.43302471406999
factual,0,1,59,95.87803400716474
factual,0,1,60,96.13804918719876
factual,0,1,61,98.31378392250308
factual,0,1,62,99.67553744777557
factual,0,1,63,101.04302030994046
factual,0,1,64,102.72050316103044
factual,0,1,65,103.11553585913873
factual,0,1,66,104.51667785644531
factual,0,1,67,104.15019103019468
factual,0,1,68,102.72876702585528
factual,0,1,69,101.18589093608242
factual,0,1,70,99.44733145929152
factual,0,1,71,99.25999709098569
factual,0,1,72,99.45850876838931
factual,0,1,73,96.85720320670835
factual,0,1,74,94.221129263601
factual,0,1,75,93.00285240911668
factual,0,1,76,89.17474266790575
factual,0,1,77,90.26109658518145
factual,0,1,78,91.47843637774068
factual,0,1,79,92.37729226389239
factual,0,1,80,93.84806159234816
factual,0,1,81,92.82394347652313
factual,0,1,82,93.67026975077968
factual,0,1,83,92.36654773835212
factual,0,1,84,92.74485741892168
factual,0,1,85,92.12114112607894
factual,0,1,86,91.4584821885632
factual,0,1,87,92.17504599786574
factual,0,1,88,92.19033481228736
factual,0,1,89,89.64994528985792
factual,0,1,90,87.97002595470798
factual,0,1,91,87.79972482496693
factual,0,1,92,85.51688791090443
factual,0,1,93,85.92151334208828
factual,0,1,94,86.91047631540606
factual,0,1,95,85.99196317118984
factual,0,1,96,85.77106401997227
factual,0,1,97,82.37774239816973
factual,0,1,98,83.13965582078502
factual,0,1,99,85.8238159918016
factual,0,1,100,89.69688809302545
factual,0,1,101,94.21366451632592
factual,0,1,102,92.51051933534684
factual,0,1,103,91.63246930030084
factual,0,1,104,95.2942287075904
factual,0,1,105,96.4773336841214
factual,0,1,106,98.49355759159211
factual,0,1,107,98.33233864076676
factual,0,1,108,96.62463108185798
factual,0,1,109,97.9139911282447
factual,0,1,110,98.57912986509261
factual,0,1,111,100.19024387482673
factual,0,1,112,102.18856380831811
factual,0,1,113,101.6909289206228
factual,0,1,114,101.98996426982265
factual,0,1,115,99.62285454042497
factual,0,1,116,101.32310350479618
factual,0,1,117,102.48258738363943
factual,0,1,118,104.13382167200888
factual,0,1,119,105.36905190252489
factual,0,1,120,108.10750985914662
factual,0,1,121,109.91149200931672
factual,0,1,122,108.53243957027313
factual,0,1,123,107.04487905194682
factual,0,1,124,105.7918094511955
factual,0,1,125,108.0558477832425
factual,0,1,126,113.53192618585402
factual,0,2,0,119.04329681396484
factual,0,2,1,134.67051315307617
factual,0,2,2,146.99970245361328
factual,0,2,3,149.1727237701416
factual,0,2,4,146.22393341064452
factual,0,2,5,144.71361923217773
factual,0,2,6,133.81293378557478
factual,0,2,7,134.08024406433105
factual,0,2,8,134.7851070827908
factual,0,2,9,134.57843475341798
factual,0,2,10,134.14571727405894
factual,0,2,11,133.0214761098226
factual,0,2,12,129.6917272714468
factual,0,2,13,129.05821936471122
factual,0,2,14,127.2156763712565
factual,0,2,15,123.04989314079285
factual,0,2,16,123.90405879301183
factual,0,2,17,124.8995884789361
factual,0,2,18,122.75547489367034
factual,0,2,19,120.52193508148193
factual,0,2,20,119.79035967872257
factual,0,2,21,120.32951164245605
factual,0,2,22,118.92945845230766
factual,0,2,23,117.85036706924438
factual,0,2,24,120.00455429077148
factual,0,2,25,120.84174743065468
factual,0,2,26,118.06968152081525
factual,0,2,27,116.4797671181815
factual,0,2,28,118.61925769674367
factual,0,2,29,117.62470270792643
factual,0,2,30,117.1326923985635
factual,0,2,31,115.3334225070092
factual,0,2,32,110.71009774361887
factual,0,2,33,106.43324141348562
factual,0,2,34,103.67000662895941
factual,0,2,35,102.51364292636994
factual,0,2,36,102.21694438688216
factual,0,2,37,103.90519625140774
factual,0,2,38,103.0778664312055
factual,0,2,39,101.45883212550994
factual,0,2,40,101.34393344386932
factual,0,2,41,101.13529411438972
factual,0,2,42,102.74867799205165
factual,0,2,43,104.92068146121117
factual,0,2,44,104.9721264685354
factual,0,2,45,109.61171042534613
factual,0,2,46,111.32689023786976
factual,0,2,47,109.60342674870645
factual,0,2,48,107.7079076151694
factual,0,2,49,107.30882653882426
factual,0,2,50,108.4238997121011
factual,0,2,51,107.98690079104516
factual,0,2,52,107.93304268006355
factual,0,2,53,111.49905687762845
factual,0,2,54,114.28015182864281
factual,0,2,55,111.53380507807577
factual,0,2,56,108.85653486559468
factual,0,2,57,110.49539858295071
factual,0,2,58,112.51689280233076
factual,0,2,59,110.27002257685507
factual,0,2,60,110.6178550412578
factual,0,2,61,112.95976832605177
factual,0,2,62,113.91528304930657
factual,0,2,63,115.83097236387191
factual,0,2,64,117.7889879288212
factual,0,2,65,117.80176642633253
factual,0,2,66,120.11375402635143
factual,0,2,67,119.98075743644468
factual,0,2,68,118.83912830968058
factual,0,2,69,117.47569693288496
factual,0,2,70,115.51221238413164
factual,0,2,71,115.75259639370826
