layer,regime_a,regime_b,cohens_d,cohens_d_std
0,creative,philosophical,0.25,0.1001
0,factual,creative,0.2014,0.1764
0,factual,mathematical,0.2078,0.117
0,factual,philosophical,0.2835,0.2045
0,mathematical,creative,0.2516,0.0677
0,mathematical,philosophical,0.2585,0.2152
1,creative,philosophical,0.212,0.1184
1,factual,creative,0.2063,0.1962
1,factual,mathematical,0.2237,0.1246
1,factual,philosophical,0.2498,0.2048
1,mathematical,creative,0.181,0.1014
1,mathematical,philosophical,0.2293,0.1921
2,creative,philosophical,0.2257,0.1052
2,factual,creative,0.192,0.2076
2,factual,mathematical,0.1896,0.0901
2,factual,philosophical,0.2439,0.205
2,mathematical,creative,0.1335,0.1047
2,mathematical,philosophical,0.2644,0.1336
3,creative,philosophical,0.2042,0.0913
3,factual,creative,0.182,0.2096
3,factual,mathematical,0.1865,0.1144
3,factual,philosophical,0.2582,0.2238
3,mathematical,creative,0.1167,0.0564
3,mathematical,philosophical,0.2213,0.1422
4,creative,philosophical,0.1981,0.0487
4,factual,creative,0.1582,0.1629
4,factual,mathematical,0.189,0.0995
4,factual,philosophical,0.251,0.2005
4,mathematical,creative,0.0806,0.054
4,mathematical,philosophical,0.1744,0.0855
5,creative,philosophical,0.2241,0.1035
5,factual,creative,0.2299,0.3913
5,factual,mathematical,0.201,0.1946
5,factual,philosophical,0.2305,0.1984
5,mathematical,creative,0.2557,0.2111
5,mathematical,philosophical,0.2194,0.1206
6,creative,philosophical,0.2135,0.0764
6,factual,creative,0.2419,0.2496
6,factual,mathematical,0.208,0.1117
6,factual,philosophical,0.2385,0.1753
6,mathematical,creative,0.1807,0.1318
6,mathematical,philosophical,0.2457,0.0973
7,creative,philosophical,0.2558,0.0922
7,factual,creative,0.1999,0.2416
7,factual,mathematical,0.1976,0.158
7,factual,philosophical,0.2098,0.0878
7,mathematical,creative,0.1363,0.1263
7,mathematical,philosophical,0.2502,0.0666
8,creative,philosophical,0.285,0.1144
8,factual,creative,0.2299,0.2115
8,factual,mathematical,0.2,0.0955
8,factual,philosophical,0.2412,0.0953
8,mathematical,creative,0.247,0.1636
8,mathematical,philosophical,0.2098,0.0861
9,creative,philosophical,0.1807,0.0823
9,factual,creative,0.1386,0.0989
9,factual,mathematical,0.0791,0.0601
9,factual,philosophical,0.1316,0.1025
9,mathematical,creative,0.1067,0.0618
9,mathematical,philosophical,0.1461,0.079
