layer,regime_a,regime_b,cohens_d
0,factual,mathematical,0.3808
0,factual,creative,0.0187
0,factual,philosophical,0.2713
0,mathematical,creative,0.3772
0,mathematical,philosophical,0.0393
0,creative,philosophical,0.2755
1,factual,mathematical,0.3036
1,factual,creative,0.0433
1,factual,philosophical,0.2655
1,mathematical,creative,0.3207
1,mathematical,philosophical,0.0792
1,creative,philosophical,0.282
2,factual,mathematical,0.2292
2,factual,creative,0.001
2,factual,philosophical,0.281
2,mathematical,creative,0.2174
2,mathematical,philosophical,0.2152
2,creative,philosophical,0.2797
3,factual,mathematical,0.2175
3,factual,creative,0.0398
3,factual,philosophical,0.2825
3,mathematical,creative,0.1718
3,mathematical,philosophical,0.2598
3,creative,philosophical,0.2785
4,factual,mathematical,0.2206
4,factual,creative,0.0363
4,factual,philosophical,0.284
4,mathematical,creative,0.1798
4,mathematical,philosophical,0.2759
4,creative,philosophical,0.2828
5,factual,mathematical,0.066
5,factual,creative,0.0049
5,factual,philosophical,0.2775
5,mathematical,creative,0.0746
5,mathematical,philosophical,0.2754
5,creative,philosophical,0.2777
6,factual,mathematical,0.1195
6,factual,creative,0.1673
6,factual,philosophical,0.2767
6,mathematical,creative,0.0689
6,mathematical,philosophical,0.2786
6,creative,philosophical,0.2798
7,factual,mathematical,0.0925
7,factual,creative,0.0147
7,factual,philosophical,0.2774
7,mathematical,creative,0.0946
7,mathematical,philosophical,0.2761
7,creative,philosophical,0.2776
8,factual,mathematical,0.1821
8,factual,creative,0.1473
8,factual,philosophical,0.2773
8,mathematical,creative,0.0142
8,mathematical,philosophical,0.2806
8,creative,philosophical,0.2804
9,factual,mathematical,0.0235
9,factual,creative,0.1531
9,factual,philosophical,0.275
9,mathematical,creative,0.1437
9,mathematical,philosophical,0.2766
9,creative,philosophical,0.2855
10,factual,mathematical,0.0907
10,factual,creative,0.0032
10,factual,philosophical,0.277
10,mathematical,creative,0.1036
10,mathematical,philosophical,0.2655
10,creative,philosophical,0.278
11,factual,mathematical,0.0149
11,factual,creative,0.0849
11,factual,philosophical,0.2701
11,mathematical,creative,0.1083
11,mathematical,philosophical,0.2691
11,creative,philosophical,0.278
12,factual,mathematical,0.0227
12,factual,creative,0.0846
12,factual,philosophical,0.2702
12,mathematical,creative,0.1094
12,mathematical,philosophical,0.2665
12,creative,philosophical,0.2836
13,factual,mathematical,0.0756
13,factual,creative,0.1385
13,factual,philosophical,0.25
13,mathematical,creative,0.0705
13,mathematical,philosophical,0.2644
13,creative,philosophical,0.2754
14,factual,mathematical,0.1607
14,factual,creative,0.1166
14,factual,philosophical,0.231
14,mathematical,creative,0.0413
14,mathematical,philosophical,0.2629
14,creative,philosophical,0.2547
15,factual,mathematical,0.1475
15,factual,creative,0.1436
15,factual,philosophical,0.2216
15,mathematical,creative,0.002
15,mathematical,philosophical,0.2495
15,creative,philosophical,0.2494
16,factual,mathematical,0.1752
16,factual,creative,0.1298
16,factual,philosophical,0.2281
16,mathematical,creative,0.0388
16,mathematical,philosophical,0.2547
16,creative,philosophical,0.249
17,factual,mathematical,0.1023
17,factual,creative,0.127
17,factual,philosophical,0.2364
17,mathematical,creative,0.0358
17,mathematical,philosophical,0.2532
17,creative,philosophical,0.2577
18,factual,mathematical,0.089
18,factual,creative,0.0992
18,factual,philosophical,0.2386
18,mathematical,creative,0.0202
18,mathematical,philosophical,0.2523
18,creative,philosophical,0.2544
19,factual,mathematical,0.0904
19,factual,creative,0.1128
19,factual,philosophical,0.2415
19,mathematical,creative,0.036
19,mathematical,philosophical,0.2554
19,creative,philosophical,0.2596
20,factual,mathematical,0.0906
20,factual,creative,0.1006
20,factual,philosophical,0.2406
20,mathematical,creative,0.02
20,mathematical,philosophical,0.2561
20,creative,philosophical,0.2584
21,factual,mathematical,0.0707
21,factual,creative,0.091
21,factual,philosophical,0.2425
21,mathematical,creative,0.0312
21,mathematical,philosophical,0.2564
21,creative,philosophical,0.2607
22,factual,mathematical,0.0315
22,factual,creative,0.049
22,factual,philosophical,0.2505
22,mathematical,creative,0.0234
22,mathematical,philosophical,0.2582
22,creative,philosophical,0.2616
23,factual,mathematical,0.0141
23,factual,creative,0.0075
23,factual,philosophical,0.255
23,mathematical,creative,0.0064
23,mathematical,philosophical,0.2601
23,creative,philosophical,0.2576
24,factual,mathematical,0.0233
24,factual,creative,0.0846
24,factual,philosophical,0.2742
24,mathematical,creative,0.0687
24,mathematical,philosophical,0.2695
24,creative,philosophical,0.248
25,factual,mathematical,0.1292
25,factual,creative,0.1295
25,factual,philosophical,0.3048
25,mathematical,creative,0.0035
25,mathematical,philosophical,0.2678
25,creative,philosophical,0.2694
