layer,regime_a,regime_b,cohens_d,cohens_d_std
0,factual,mathematical,0.1658,
0,factual,creative,0.5571,
0,factual,philosophical,0.0005,
0,mathematical,creative,0.5716,
0,mathematical,philosophical,0.1714,
0,creative,philosophical,0.5973,
1,factual,mathematical,0.5395,
1,factual,creative,0.7638,
1,factual,philosophical,0.0709,
1,mathematical,creative,1.0971,
1,mathematical,philosophical,0.6059,
1,creative,philosophical,0.7356,
2,factual,mathematical,1.2898,
2,factual,creative,0.8334,
2,factual,philosophical,0.0892,
2,mathematical,creative,2.0124,
2,mathematical,philosophical,1.2829,
2,creative,philosophical,0.9619,
3,factual,mathematical,1.755,
3,factual,creative,0.6149,
3,factual,philosophical,0.1947,
3,mathematical,creative,2.3561,
3,mathematical,philosophical,1.7688,
3,creative,philosophical,0.8748,
4,factual,mathematical,1.6248,
4,factual,creative,0.088,
4,factual,philosophical,0.7997,
4,mathematical,creative,1.7703,
4,mathematical,philosophical,1.1527,
4,creative,philosophical,0.8384,
5,factual,mathematical,1.6148,
5,factual,creative,0.8209,
5,factual,philosophical,0.5461,
5,mathematical,creative,2.1453,
5,mathematical,philosophical,1.7893,
5,creative,philosophical,0.1725,
6,factual,mathematical,1.8481,
6,factual,creative,1.0051,
6,factual,philosophical,0.2658,
6,mathematical,creative,2.4923,
6,mathematical,philosophical,1.8641,
6,creative,philosophical,0.6858,
7,factual,mathematical,2.153,
7,factual,creative,0.591,
7,factual,philosophical,0.2549,
7,mathematical,creative,2.5594,
7,mathematical,philosophical,2.2334,
7,creative,philosophical,0.3182,
8,factual,mathematical,1.4056,
8,factual,creative,0.8051,
8,factual,philosophical,0.0135,
8,mathematical,creative,2.0734,
8,mathematical,philosophical,1.4313,
8,creative,philosophical,0.829,
9,factual,mathematical,0.7195,
9,factual,creative,0.5002,
9,factual,philosophical,0.1374,
9,mathematical,creative,1.2775,
9,mathematical,philosophical,0.622,
9,creative,philosophical,0.6659,
10,factual,mathematical,1.1408,
10,factual,creative,0.4949,
10,factual,philosophical,0.0893,
10,mathematical,creative,2.1675,
10,mathematical,philosophical,1.3816,
10,creative,philosophical,0.4272,
11,factual,mathematical,0.4281,
11,factual,creative,1.411,
11,factual,philosophical,1.0354,
11,mathematical,creative,1.5797,
11,mathematical,philosophical,1.253,
11,creative,philosophical,0.3856,
12,factual,mathematical,0.3087,
12,factual,creative,1.0988,
12,factual,philosophical,0.8272,
12,mathematical,creative,1.2209,
12,mathematical,philosophical,0.9807,
12,creative,philosophical,0.2431,
13,factual,mathematical,0.654,
13,factual,creative,0.343,
13,factual,philosophical,0.4537,
13,mathematical,creative,0.9174,
13,mathematical,philosophical,0.9699,
13,creative,philosophical,0.1387,
14,factual,mathematical,0.6989,
14,factual,creative,0.1472,
14,factual,philosophical,0.3199,
14,mathematical,creative,0.5508,
14,mathematical,philosophical,0.8715,
14,creative,philosophical,0.4366,
15,factual,mathematical,0.7995,
15,factual,creative,0.304,
15,factual,philosophical,0.3403,
15,mathematical,creative,0.5087,
15,mathematical,philosophical,0.9909,
15,creative,philosophical,0.5889,
16,factual,mathematical,1.6179,
16,factual,creative,0.733,
16,factual,philosophical,0.2068,
16,mathematical,creative,0.9272,
16,mathematical,philosophical,1.6794,
16,creative,philosophical,0.8729,
17,factual,mathematical,1.4179,
17,factual,creative,0.7716,
17,factual,philosophical,0.0845,
17,mathematical,creative,0.582,
17,mathematical,philosophical,1.4408,
17,creative,philosophical,0.7377,
18,factual,mathematical,1.2909,
18,factual,creative,0.5086,
18,factual,philosophical,0.042,
18,mathematical,creative,0.7469,
18,mathematical,philosophical,1.3882,
18,creative,philosophical,0.5674,
19,factual,mathematical,1.3166,
19,factual,creative,0.1482,
19,factual,philosophical,0.1666,
19,mathematical,creative,1.1661,
19,mathematical,philosophical,1.5842,
19,creative,philosophical,0.3233,
20,factual,mathematical,1.1725,
20,factual,creative,0.0574,
20,factual,philosophical,0.2224,
20,mathematical,creative,1.2568,
20,mathematical,philosophical,1.5648,
20,creative,philosophical,0.1633,
21,factual,mathematical,0.7432,
21,factual,creative,0.024,
21,factual,philosophical,0.0891,
21,mathematical,creative,0.7062,
21,mathematical,philosophical,0.8912,
21,creative,philosophical,0.0575,
22,factual,mathematical,0.2899,
22,factual,creative,0.0932,
22,factual,philosophical,0.0142,
22,mathematical,creative,0.3617,
22,mathematical,philosophical,0.2915,
22,creative,philosophical,0.1099,
23,factual,mathematical,0.0892,
23,factual,creative,0.0469,
23,factual,philosophical,0.1735,
23,mathematical,creative,0.1292,
23,mathematical,philosophical,0.2857,
23,creative,philosophical,0.1051,
24,factual,mathematical,0.6038,
24,factual,creative,0.3655,
24,factual,philosophical,0.4218,
24,mathematical,creative,0.8871,
24,mathematical,philosophical,1.1151,
24,creative,philosophical,0.0354,
25,factual,mathematical,1.3161,
25,factual,creative,0.9183,
25,factual,philosophical,0.7967,
25,mathematical,creative,1.9084,
25,mathematical,philosophical,1.9146,
25,creative,philosophical,0.315,
