regime,prompt,layer,t,F
factual,0,0,0,89.53543090820312
factual,0,0,1,91.88167572021484
factual,0,0,2,85.79471079508464
factual,0,0,3,81.76098823547363
factual,0,0,4,70.144482421875
factual,0,0,5,70.51873270670573
factual,0,0,6,70.75204903738839
factual,0,0,7,70.46936511993408
factual,0,0,8,76.8697280883789
factual,0,0,9,78.49150848388672
factual,0,0,10,76.01832164417614
factual,0,0,11,74.55242284138997
factual,0,0,12,72.06644703791692
factual,0,0,13,68.54687064034599
factual,0,0,14,65.72643063863119
factual,0,0,15,65.44082653522491
factual,0,0,16,66.48360140183392
factual,0,0,17,66.40273719363742
factual,0,0,18,65.97873175771613
factual,0,0,19,65.83365468978882
factual,0,0,20,65.13650576273601
factual,0,0,21,65.80426086078991
factual,0,0,22,66.11958072496498
factual,0,0,23,66.3586364587148
factual,0,0,24,64.68481216430663
factual,0,0,25,63.207786119901215
factual,0,0,26,63.71174240112305
factual,0,0,27,64.2769741330828
factual,0,0,28,64.90055386773471
factual,0,0,29,65.01902071634929
factual,0,0,30,64.35911769251669
factual,0,0,31,63.90534690118605
factual,0,0,32,63.598740731516195
factual,0,0,33,63.4244260480327
factual,0,0,34,62.483153066327496
factual,0,0,35,62.909905341363725
factual,0,0,36,62.44803213304089
factual,0,0,37,61.78408862698463
factual,0,0,38,61.2733402867471
factual,0,0,39,59.3897946265436
factual,0,0,40,58.58874290220199
factual,0,0,41,59.50675767467868
factual,0,0,42,59.9196523850964
factual,0,0,43,60.80371721329227
factual,0,0,44,62.7768808180286
factual,0,0,45,64.89523493859076
factual,0,0,46,64.88259340101673
factual,0,0,47,63.286480257588046
factual,0,0,48,63.251962907852665
factual,0,0,49,63.00371914525186
factual,0,0,50,63.60912919813587
factual,0,0,51,64.5027879899548
factual,0,0,52,63.448853338918376
factual,0,0,53,63.96913743788196
factual,0,0,54,64.31163375608382
factual,0,0,55,64.8730814533849
factual,0,0,56,65.06298003658172
factual,0,0,57,64.17832749889743
factual,0,0,58,64.77218775595388
factual,0,0,59,64.4501207413212
factual,0,0,60,63.60421925206338
factual,0,0,61,63.65078907628213
factual,0,0,62,64.18905442760837
factual,0,0,63,63.83580140144594
factual,0,0,64,62.879470948250066
factual,0,0,65,62.44329698624149
factual,0,0,66,63.45289242652155
factual,0,0,67,63.66240052253969
factual,0,0,68,64.18137273480815
factual,0,0,69,65.18508234331685
factual,0,0,70,68.09941728653446
factual,0,0,71,69.03244523079165
factual,0,0,72,67.83867756012947
factual,0,0,73,67.47941404773343
factual,0,0,74,68.35668145456621
factual,0,0,75,67.63820931219286
factual,0,0,76,65.7448374840521
factual,0,0,77,65.23053409207252
factual,0,0,78,66.84169240151682
factual,0,0,79,67.40616595360541
factual,0,0,80,68.3071154932822
factual,0,0,81,67.93486404418945
factual,0,0,82,67.48791270102224
factual,0,0,83,67.52415306337419
factual,0,0,84,67.53966263801821
factual,0,0,85,67.09486893684634
factual,0,0,86,67.25204480078912
factual,0,0,87,67.75667129024383
factual,0,0,88,68.03629992085118
factual,0,0,89,68.25679508332283
factual,0,0,90,70.4845955141129
factual,0,0,91,72.37930519350114
factual,0,0,92,73.09514888640373
factual,0,0,93,73.22615002047631
factual,0,0,94,73.64794331212198
factual,0,0,95,73.66752329180318
factual,0,0,96,74.11387523528069
factual,0,0,97,72.69574356079102
factual,0,0,98,72.70808989001858
factual,0,0,99,72.63776631509104
factual,0,0,100,72.4442971752536
factual,0,0,101,71.52924039286953
factual,0,0,102,71.01513191961473
factual,0,0,103,70.7740602800923
factual,0,0,104,70.32455530474263
factual,0,0,105,69.9680779980075
factual,0,0,106,70.72085435928837
factual,0,0,107,71.46478209957
factual,0,0,108,71.8556385655557
factual,0,0,109,71.52192835653982
factual,0,0,110,71.05342692713583
factual,0,0,111,71.33729208669355
factual,0,0,112,71.5845450124433
factual,0,0,113,71.23026410994991
factual,0,0,114,71.62968370991368
factual,0,0,115,71.22507969025642
factual,0,0,116,72.65592193603516
factual,0,0,117,73.20137713032383
factual,0,0,118,72.79140989242062
factual,0,0,119,72.5022116630308
factual,0,0,120,70.67523562523627
factual,0,0,121,68.90408349806263
factual,0,0,122,69.71993969332787
factual,0,0,123,70.70229954873362
factual,0,0,124,69.9555417952999
factual,0,0,125,68.36319265057963
factual,0,0,126,69.13375214607485
factual,0,1,0,91.89002227783203
factual,0,1,1,96.75287246704102
factual,0,1,2,93.6409174601237
factual,0,1,3,90.24361419677734
factual,0,1,4,78.33989868164062
factual,0,1,5,78.04178873697917
factual,0,1,6,79.60569218226841
factual,0,1,7,82.33708763122559
factual,0,1,8,88.93242730034723
factual,0,1,9,89.60036087036133
factual,0,1,10,87.15169906616211
factual,0,1,11,84.90152263641357
factual,0,1,12,82.7479121868427
factual,0,1,13,79.34988539559501
factual,0,1,14,77.3224500020345
factual,0,1,15,77.69100689888
factual,0,1,16,79.24564204496495
factual,0,1,17,79.19550302293565
factual,0,1,18,78.73391221698962
factual,0,1,19,79.02471294403077
factual,0,1,20,77.98306819370815
factual,0,1,21,78.44281005859375
factual,0,1,22,79.42982549252717
factual,0,1,23,79.67579015096028
factual,0,1,24,77.83308227539062
factual,0,1,25,76.69633924044095
factual,0,1,26,77.61375398989077
factual,0,1,27,77.83274132864815
factual,0,1,28,78.24344924400593
factual,0,1,29,78.89148406982422
factual,0,1,30,78.23556186306861
factual,0,1,31,77.93844862907163
factual,0,1,32,77.52284129973381
factual,0,1,33,77.18905947285313
factual,0,1,34,76.14185431695753
factual,0,1,35,76.59892149894468
factual,0,1,36,76.23989745109311
factual,0,1,37,74.99462681431925
factual,0,1,38,73.54317745085686
factual,0,1,39,72.02944970900013
factual,0,1,40,71.45643221947455
factual,0,1,41,72.40962182321856
factual,0,1,42,72.97675901843655
factual,0,1,43,73.97430776780651
factual,0,1,44,76.02823257446289
factual,0,1,45,77.70578827396515
factual,0,1,46,77.8042835112541
factual,0,1,47,75.41029930114746
factual,0,1,48,75.4509573290425
factual,0,1,49,75.24552357581354
factual,0,1,50,75.52885320109706
factual,0,1,51,76.62746570956323
factual,0,1,52,75.77382936785298
factual,0,1,53,76.02399598398516
factual,0,1,54,76.62084007263184
factual,0,1,55,77.2665839041433
factual,0,1,56,77.36576455639255
factual,0,1,57,76.61421825039771
factual,0,1,58,78.08969860692179
factual,0,1,59,78.13267350965931
factual,0,1,60,76.76357681520524
factual,0,1,61,77.07378713546261
factual,0,1,62,78.30532252403998
factual,0,1,63,78.7714403829267
factual,0,1,64,77.89714585581133
factual,0,1,65,77.62427194656864
factual,0,1,66,78.90382206824518
factual,0,1,67,79.10451895190823
factual,0,1,68,79.81493654558736
factual,0,1,69,80.37190732648295
factual,0,1,70,80.83508270017562
factual,0,1,71,81.20904805583339
factual,0,1,72,79.88423778164771
factual,0,1,73,79.95641776054136
factual,0,1,74,81.08960828473491
factual,0,1,75,80.22005518021122
factual,0,1,76,79.3510063540551
factual,0,1,77,78.61237833576817
factual,0,1,78,80.63430896882087
factual,0,1,79,81.00818104897776
factual,0,1,80,81.93286440449376
factual,0,1,81,81.50256384572675
factual,0,1,82,81.15090610134986
factual,0,1,83,81.59944595829133
factual,0,1,84,81.75661837670111
factual,0,1,85,81.00400001771989
factual,0,1,86,81.86438775831654
factual,0,1,87,82.23153452719411
factual,0,1,88,82.01139056298041
factual,0,1,89,81.73766634541172
factual,0,1,90,83.84301327120873
factual,0,1,91,85.78657753236833
factual,0,1,92,86.53970238470262
factual,0,1,93,86.64051941902407
factual,0,1,94,87.32977639475176
factual,0,1,95,87.2177363980201
factual,0,1,96,87.69592703542402
factual,0,1,97,86.05757916358209
factual,0,1,98,85.96857218588552
factual,0,1,99,85.84640982843214
factual,0,1,100,85.14032437724453
factual,0,1,101,85.29395060385427
factual,0,1,102,85.32331835839057
factual,0,1,103,84.98912097561744
factual,0,1,104,84.11763037404707
factual,0,1,105,83.10844704412645
factual,0,1,106,84.09880053612494
factual,0,1,107,83.89542425832441
factual,0,1,108,84.07012459539598
factual,0,1,109,83.81127769716325
factual,0,1,110,83.50978322182932
factual,0,1,111,83.98137652489447
factual,0,1,112,84.11273722494802
factual,0,1,113,84.17470119845483
factual,0,1,114,84.35991828672347
factual,0,1,115,83.60614961193454
factual,0,1,116,84.15087681431925
factual,0,1,117,82.73099665487966
factual,0,1,118,81.97427257414788
factual,0,1,119,81.41149274764523
factual,0,1,120,79.06374420658234
factual,0,1,121,77.07736144527313
factual,0,1,122,78.06667512462985
factual,0,1,123,78.44656728929088
factual,0,1,124,76.90134836012318
factual,0,1,125,75.13318720171529
factual,0,1,126,76.64470315748646
factual,0,2,0,103.661376953125
factual,0,2,1,106.88937759399414
factual,0,2,2,102.24220021565755
factual,0,2,3,101.46186828613281
factual,0,2,4,92.24918136596679
factual,0,2,5,91.40145556131999
