layer,regime_a,regime_b,cohens_d,cohens_d_std
0,creative,philosophical,0.5432,0.0897
0,factual,creative,0.6225,0.0853
0,factual,mathematical,0.7941,0.4027
0,factual,philosophical,0.1249,0.0511
0,mathematical,creative,0.629,0.0873
0,mathematical,philosophical,0.7089,0.3787
1,creative,philosophical,0.7891,0.1502
1,factual,creative,0.9238,0.0953
1,factual,mathematical,0.6797,0.2414
1,factual,philosophical,0.1538,0.0739
1,mathematical,creative,0.4937,0.2731
1,mathematical,philosophical,0.5891,0.2034
2,creative,philosophical,1.0068,0.1583
2,factual,creative,1.0264,0.096
2,factual,mathematical,0.904,0.3638
2,factual,philosophical,0.112,0.0206
2,mathematical,creative,1.7563,0.2754
2,mathematical,philosophical,0.9675,0.2594
3,creative,philosophical,0.9455,0.0812
3,factual,creative,0.86,0.0699
3,factual,mathematical,1.385,0.4925
3,factual,philosophical,0.0922,0.0305
3,mathematical,creative,2.2519,0.4031
3,mathematical,philosophical,1.4927,0.4244
4,creative,philosophical,1.1724,0.1227
4,factual,creative,0.1101,0.0584
4,factual,mathematical,2.4722,0.05
4,factual,philosophical,0.9314,0.0474
4,mathematical,creative,2.9075,0.0854
4,mathematical,philosophical,2.1992,0.0998
5,creative,philosophical,0.3146,0.0732
5,factual,creative,0.6778,0.0749
5,factual,mathematical,1.8617,0.2248
5,factual,philosophical,0.2908,0.1014
5,mathematical,creative,2.4337,0.2243
5,mathematical,philosophical,1.9029,0.0368
6,creative,philosophical,0.8972,0.0621
6,factual,creative,1.0699,0.0764
6,factual,mathematical,0.6163,0.5494
6,factual,philosophical,0.1745,0.1175
6,mathematical,creative,1.3823,0.668
6,mathematical,philosophical,0.6295,0.5811
7,creative,philosophical,0.1925,0.1421
7,factual,creative,0.6084,0.0243
7,factual,mathematical,2.498,0.1871
7,factual,philosophical,0.3837,0.1457
7,mathematical,creative,2.833,0.1915
7,mathematical,philosophical,2.5291,0.1933
8,creative,philosophical,0.8329,0.035
8,factual,creative,0.6868,0.0832
8,factual,mathematical,1.6743,0.0771
8,factual,philosophical,0.1288,0.1164
8,mathematical,creative,2.1928,0.0688
8,mathematical,philosophical,1.6388,0.0823
9,creative,philosophical,0.6876,0.1778
9,factual,creative,0.3021,0.0644
9,factual,mathematical,0.9539,0.0919
9,factual,philosophical,0.3629,0.1866
9,mathematical,creative,1.2926,0.1758
9,mathematical,philosophical,0.6454,0.203
10,creative,philosophical,0.4728,0.1247
10,factual,creative,0.3233,0.0374
10,factual,mathematical,0.8964,0.4637
10,factual,philosophical,0.1228,0.0891
10,mathematical,creative,1.3055,0.4828
10,mathematical,philosophical,0.8101,0.4186
11,creative,philosophical,0.2909,0.1253
11,factual,creative,0.8103,0.0511
11,factual,mathematical,1.4402,0.0948
11,factual,philosophical,0.5177,0.2003
11,mathematical,creative,1.924,0.0642
11,mathematical,philosophical,1.7219,0.1878
12,creative,philosophical,0.3008,0.0712
12,factual,creative,0.8382,0.0514
12,factual,mathematical,1.2276,0.0508
12,factual,philosophical,0.4919,0.0781
12,mathematical,creative,1.7018,0.0153
12,mathematical,philosophical,1.4529,0.0972
13,creative,philosophical,0.069,0.0132
13,factual,creative,0.0415,0.0061
13,factual,mathematical,1.3436,0.0524
13,factual,philosophical,0.0911,0.0465
13,mathematical,creative,1.309,0.0748
13,mathematical,philosophical,1.284,0.094
14,creative,philosophical,0.33,0.0289
14,factual,creative,0.3933,0.0455
14,factual,mathematical,1.253,0.0458
14,factual,philosophical,0.0668,0.0337
14,mathematical,creative,0.817,0.0737
14,mathematical,philosophical,1.0455,0.0751
15,creative,philosophical,0.5691,0.0235
15,factual,creative,0.5065,0.074
15,factual,mathematical,1.4317,0.0478
15,factual,philosophical,0.1551,0.0627
15,mathematical,creative,0.9211,0.1133
15,mathematical,philosophical,1.3569,0.0763
16,creative,philosophical,0.862,0.086
16,factual,creative,0.8755,0.0469
16,factual,mathematical,1.7576,0.1627
16,factual,philosophical,0.1079,0.1003
16,mathematical,creative,0.8092,0.2489
16,mathematical,philosophical,1.6083,0.2317
17,creative,philosophical,0.7271,0.1118
17,factual,creative,0.7981,0.0569
17,factual,mathematical,0.5786,0.2595
17,factual,philosophical,0.1242,0.072
17,mathematical,creative,0.365,0.1741
