layer,regime_a,regime_b,cohens_d,cohens_d_std
0,factual,mathematical,1.0987,
0,factual,creative,0.5376,
0,factual,philosophical,0.1155,
0,mathematical,creative,0.7306,
0,mathematical,philosophical,1.0235,
0,creative,philosophical,0.4273,
1,factual,mathematical,0.7358,
1,factual,creative,0.8114,
1,factual,philosophical,0.2075,
1,mathematical,creative,0.2982,
1,mathematical,philosophical,0.6145,
1,creative,philosophical,0.5822,
2,factual,mathematical,0.74,
2,factual,creative,0.8962,
2,factual,philosophical,0.091,
2,mathematical,creative,1.5101,
2,mathematical,philosophical,0.8296,
2,creative,philosophical,0.8249,
3,factual,mathematical,1.0446,
3,factual,creative,0.7613,
3,factual,philosophical,0.0491,
3,mathematical,creative,1.8247,
3,mathematical,philosophical,1.0506,
3,creative,philosophical,0.8635,
4,factual,mathematical,2.5427,
4,factual,creative,0.0838,
4,factual,philosophical,0.9917,
4,mathematical,creative,2.9962,
4,mathematical,philosophical,2.3322,
4,creative,philosophical,1.1219,
5,factual,mathematical,2.1201,
5,factual,creative,0.7827,
5,factual,philosophical,0.348,
5,mathematical,creative,2.7372,
5,mathematical,philosophical,1.9216,
5,creative,philosophical,0.2667,
6,factual,mathematical,0.282,
6,factual,creative,1.1718,
6,factual,philosophical,0.2776,
6,mathematical,creative,1.1052,
6,mathematical,philosophical,0.4606,
6,creative,philosophical,0.8525,
7,factual,mathematical,2.722,
7,factual,creative,0.6006,
7,factual,philosophical,0.5631,
7,mathematical,creative,2.8968,
7,mathematical,philosophical,2.8008,
7,creative,philosophical,0.0186,
8,factual,mathematical,1.7482,
8,factual,creative,0.7642,
8,factual,philosophical,0.0299,
8,mathematical,creative,2.2781,
8,mathematical,philosophical,1.7451,
8,creative,philosophical,0.7983,
9,factual,mathematical,1.0771,
9,factual,creative,0.3241,
9,factual,philosophical,0.1177,
9,mathematical,creative,1.4857,
9,mathematical,philosophical,0.9143,
9,creative,philosophical,0.4362,
10,factual,mathematical,0.6582,
10,factual,creative,0.2715,
10,factual,philosophical,0.0004,
10,mathematical,creative,1.0427,
10,mathematical,philosophical,0.7115,
10,creative,philosophical,0.2966,
11,factual,mathematical,1.5408,
11,factual,creative,0.8618,
11,factual,philosophical,0.7878,
11,mathematical,creative,2.0031,
11,mathematical,philosophical,1.987,
11,creative,philosophical,0.1173,
12,factual,mathematical,1.2962,
12,factual,creative,0.7823,
12,factual,philosophical,0.5727,
12,mathematical,creative,1.7209,
12,mathematical,philosophical,1.588,
12,creative,philosophical,0.2038,
13,factual,mathematical,1.4165,
13,factual,creative,0.0478,
13,factual,philosophical,0.1338,
13,mathematical,creative,1.4138,
13,mathematical,philosophical,1.4076,
13,creative,philosophical,0.0869,
14,factual,mathematical,1.2614,
14,factual,creative,0.3311,
14,factual,philosophical,0.1034,
14,mathematical,creative,0.9041,
14,mathematical,philosophical,1.1408,
14,creative,philosophical,0.3695,
15,factual,mathematical,1.3791,
15,factual,creative,0.4131,
15,factual,philosophical,0.2134,
15,mathematical,creative,1.022,
15,mathematical,philosophical,1.3732,
15,creative,philosophical,0.5456,
16,factual,mathematical,1.6466,
16,factual,creative,0.818,
16,factual,philosophical,0.0403,
16,mathematical,creative,0.8092,
16,mathematical,philosophical,1.5131,
16,creative,philosophical,0.7725,
17,factual,mathematical,0.3241,
17,factual,creative,0.7206,
17,factual,philosophical,0.1854,
17,mathematical,creative,0.4574,
17,mathematical,philosophical,0.1512,
17,creative,philosophical,0.5931,
18,factual,mathematical,0.8366,
18,factual,creative,0.5367,
18,factual,philosophical,0.1201,
18,mathematical,creative,0.3278,
18,mathematical,philosophical,0.7673,
18,creative,philosophical,0.4469,
19,factual,mathematical,1.1633,
19,factual,creative,0.2343,
19,factual,philosophical,0.0281,
19,mathematical,creative,0.9887,
19,mathematical,philosophical,1.2101,
19,creative,philosophical,0.2231,
20,factual,mathematical,0.8146,
20,factual,creative,0.0056,
20,factual,philosophical,0.0004,
20,mathematical,creative,0.8421,
20,mathematical,philosophical,0.8741,
20,creative,philosophical,0.0058,
21,factual,mathematical,0.5386,
21,factual,creative,0.062,
21,factual,philosophical,0.145,
21,mathematical,creative,0.4917,
21,mathematical,philosophical,0.4602,
21,creative,philosophical,0.0768,
22,factual,mathematical,0.5211,
22,factual,creative,0.0027,
22,factual,philosophical,0.2111,
22,mathematical,creative,0.5134,
22,mathematical,philosophical,0.405,
22,creative,philosophical,0.2024,
23,factual,mathematical,0.4723,
23,factual,creative,0.1124,
23,factual,philosophical,0.3744,
23,mathematical,creative,0.3774,
23,mathematical,philosophical,0.2577,
23,creative,philosophical,0.2192,
24,factual,mathematical,0.0169,
24,factual,creative,0.5355,
24,factual,philosophical,0.7212,
24,mathematical,creative,0.346,
24,mathematical,philosophical,0.4091,
24,creative,philosophical,0.0459,
25,factual,mathematical,0.3021,
25,factual,creative,0.9988,
25,factual,philosophical,1.0664,
25,mathematical,creative,0.8511,
25,mathematical,philosophical,0.839,
25,creative,philosophical,0.0977,
