layer,regime_a,regime_b,cohens_d,cohens_d_std
0,creative,philosophical,0.2784,0.0564
0,factual,creative,0.4765,0.2708
0,factual,mathematical,0.2242,0.1379
0,factual,philosophical,0.2922,0.2623
0,mathematical,creative,0.3638,0.2495
0,mathematical,philosophical,0.2772,0.1189
1,creative,philosophical,0.2658,0.0595
1,factual,creative,0.5908,0.307
1,factual,mathematical,0.416,0.1862
1,factual,philosophical,0.3359,0.3158
1,mathematical,creative,0.3295,0.3065
1,mathematical,philosophical,0.2506,0.1766
2,creative,philosophical,0.1504,0.112
2,factual,creative,0.4237,0.1093
2,factual,mathematical,0.2073,0.0702
2,factual,philosophical,0.3414,0.2305
2,mathematical,creative,0.5409,0.1485
2,mathematical,philosophical,0.4611,0.0952
3,creative,philosophical,0.2625,0.1613
3,factual,creative,0.6225,0.3818
3,factual,mathematical,0.5479,0.1184
3,factual,philosophical,0.4812,0.3512
3,mathematical,creative,0.8451,0.4973
3,mathematical,philosophical,0.7518,0.2232
4,creative,philosophical,0.6149,0.0987
4,factual,creative,0.703,0.3779
4,factual,mathematical,0.1821,0.0645
4,factual,philosophical,0.4052,0.2941
4,mathematical,creative,0.7106,0.3893
4,mathematical,philosophical,0.4772,0.2089
5,creative,philosophical,0.4147,0.0203
5,factual,creative,0.6228,0.3184
5,factual,mathematical,0.3119,0.1926
5,factual,philosophical,0.3394,0.2368
5,mathematical,creative,0.4821,0.27
5,mathematical,philosophical,0.2975,0.193
6,creative,philosophical,0.3556,0.1141
6,factual,creative,0.5358,0.2883
6,factual,mathematical,0.5446,0.1614
6,factual,philosophical,0.4683,0.1204
6,mathematical,creative,0.245,0.2098
6,mathematical,philosophical,0.3004,0.3449
7,creative,philosophical,0.4886,0.0637
7,factual,creative,0.8157,0.2533
7,factual,mathematical,0.1865,0.0481
7,factual,philosophical,0.3454,0.283
7,mathematical,creative,0.7779,0.2205
7,mathematical,philosophical,0.3737,0.1779
8,creative,philosophical,0.5281,0.077
8,factual,creative,0.6306,0.1561
8,factual,mathematical,0.249,0.1129
8,factual,philosophical,0.1631,0.1419
8,mathematical,creative,0.536,0.1272
8,mathematical,philosophical,0.2216,0.1196
9,creative,philosophical,0.1045,0.0524
9,factual,creative,0.324,0.3296
9,factual,mathematical,0.2681,0.1264
9,factual,philosophical,0.3868,0.2462
9,mathematical,creative,0.1997,0.136
9,mathematical,philosophical,0.1947,0.1327
10,creative,philosophical,0.7182,0.2629
10,factual,creative,0.7248,0.2139
10,factual,mathematical,0.1547,0.084
10,factual,philosophical,0.1891,0.0798
10,mathematical,creative,0.859,0.326
10,mathematical,philosophical,0.3581,0.2331
11,creative,philosophical,0.56,0.1414
11,factual,creative,0.7804,0.2235
11,factual,mathematical,0.3286,0.1402
11,factual,philosophical,0.245,0.1863
11,mathematical,creative,0.5744,0.0994
11,mathematical,philosophical,0.2352,0.15
12,creative,philosophical,0.7406,0.0941
12,factual,creative,0.7009,0.3051
12,factual,mathematical,0.261,0.0465
12,factual,philosophical,0.2603,0.0813
12,mathematical,creative,0.5892,0.1819
12,mathematical,philosophical,0.186,0.2211
13,creative,philosophical,0.3699,0.1712
13,factual,creative,0.2447,0.0175
13,factual,mathematical,0.474,0.1961
13,factual,philosophical,0.4359,0.102
13,mathematical,creative,0.3977,0.2223
13,mathematical,philosophical,0.2078,0.1337
14,creative,philosophical,0.2143,0.1708
14,factual,creative,0.2349,0.1484
14,factual,mathematical,0.4382,0.1109
14,factual,philosophical,0.4321,0.0567
14,mathematical,creative,0.2896,0.1361
14,mathematical,philosophical,0.1806,0.0838
15,creative,philosophical,0.3096,0.1681
15,factual,creative,0.2047,0.1702
15,factual,mathematical,0.1739,0.0983
15,factual,philosophical,0.0992,0.1191
15,mathematical,creative,0.378,0.2153
15,mathematical,philosophical,0.2491,0.07
16,creative,philosophical,0.1029,0.0653
16,factual,creative,0.1323,0.0753
16,factual,mathematical,0.2399,0.1466
16,factual,philosophical,0.245,0.0951
16,mathematical,creative,0.307,0.1591
16,mathematical,philosophical,0.3507,0.1919
17,creative,philosophical,0.242,0.0415
17,factual,creative,0.3146,0.268
17,factual,mathematical,0.5032,0.1549
17,factual,philosophical,0.4642,0.1131
17,mathematical,creative,0.5028,0.0665
17,mathematical,philosophical,0.6795,0.3259
18,creative,philosophical,0.1298,0.1258
18,factual,creative,0.4137,0.2188
18,factual,mathematical,0.1834,0.0286
18,factual,philosophical,0.362,0.0528
18,mathematical,creative,0.4993,0.3258
18,mathematical,philosophical,0.4433,0.1903
19,creative,philosophical,0.2416,0.1294
19,factual,creative,0.4818,0.285
19,factual,mathematical,0.1875,0.0564
19,factual,philosophical,0.349,0.1229
19,mathematical,creative,0.6302,0.3422
19,mathematical,philosophical,0.4625,0.2597
20,creative,philosophical,0.3587,0.1369
20,factual,creative,0.5215,0.2711
20,factual,mathematical,0.1674,0.0326
20,factual,philosophical,0.2747,0.0903
20,mathematical,creative,0.6604,0.2826
20,mathematical,philosophical,0.3509,0.2285
21,creative,philosophical,0.3508,0.1559
