layer,regime_a,regime_b,cohens_d,cohens_d_std
0,factual,mathematical,0.1912,
0,factual,creative,0.2521,
0,factual,philosophical,0.1536,
0,mathematical,creative,0.0488,
0,mathematical,philosophical,0.2954,
0,creative,philosophical,0.348,
1,factual,mathematical,0.3446,
1,factual,creative,0.3076,
1,factual,philosophical,0.0439,
1,mathematical,creative,0.0074,
1,mathematical,philosophical,0.3053,
1,creative,philosophical,0.2862,
2,factual,mathematical,0.1299,
2,factual,creative,0.5683,
2,factual,philosophical,0.4307,
2,mathematical,creative,0.6934,
2,mathematical,philosophical,0.5615,
2,creative,philosophical,0.1556,
3,factual,mathematical,0.4409,
3,factual,creative,1.1454,
3,factual,philosophical,0.8417,
3,mathematical,creative,1.3251,
3,mathematical,philosophical,1.0135,
3,creative,philosophical,0.1676,
4,factual,mathematical,0.124,
4,factual,creative,1.1941,
4,factual,philosophical,0.7208,
4,mathematical,creative,1.1427,
4,mathematical,philosophical,0.6403,
4,creative,philosophical,0.6727,
5,factual,mathematical,0.4574,
5,factual,creative,1.0368,
5,factual,philosophical,0.6484,
5,mathematical,creative,0.765,
5,mathematical,philosophical,0.3275,
5,creative,philosophical,0.4208,
6,factual,mathematical,0.5117,
6,factual,creative,0.921,
6,factual,philosophical,0.6386,
6,mathematical,creative,0.5296,
6,mathematical,philosophical,0.0949,
6,creative,philosophical,0.4721,
7,factual,mathematical,0.1975,
7,factual,creative,1.173,
7,factual,philosophical,0.7159,
7,mathematical,creative,1.0471,
7,mathematical,philosophical,0.5613,
7,creative,philosophical,0.5261,
8,factual,mathematical,0.2811,
8,factual,creative,0.8471,
8,factual,philosophical,0.356,
8,mathematical,creative,0.6424,
8,mathematical,philosophical,0.0644,
8,creative,philosophical,0.6067,
9,factual,mathematical,0.4468,
9,factual,creative,0.7893,
9,factual,philosophical,0.7345,
9,mathematical,creative,0.3829,
9,mathematical,philosophical,0.2478,
9,creative,philosophical,0.1776,
10,factual,mathematical,0.0362,
10,factual,creative,0.9965,
10,factual,philosophical,0.0866,
10,mathematical,creative,1.122,
10,mathematical,philosophical,0.062,
10,creative,philosophical,1.089,
11,factual,mathematical,0.4153,
11,factual,creative,1.0697,
11,factual,philosophical,0.4962,
11,mathematical,creative,0.6199,
11,mathematical,philosophical,0.0232,
11,creative,philosophical,0.6403,
12,factual,mathematical,0.2686,
12,factual,creative,1.1158,
12,factual,philosophical,0.3749,
12,mathematical,creative,0.8083,
12,mathematical,philosophical,0.0461,
12,creative,philosophical,0.8636,
13,factual,mathematical,0.2883,
13,factual,creative,0.2666,
13,factual,philosophical,0.2926,
13,mathematical,creative,0.5561,
13,mathematical,philosophical,0.0523,
13,creative,philosophical,0.6113,
14,factual,mathematical,0.374,
14,factual,creative,0.033,
14,factual,philosophical,0.3779,
14,mathematical,creative,0.4331,
14,mathematical,philosophical,0.065,
14,creative,philosophical,0.4554,
15,factual,mathematical,0.1705,
15,factual,creative,0.4401,
15,factual,philosophical,0.0152,
15,mathematical,creative,0.6061,
15,mathematical,philosophical,0.1836,
15,creative,philosophical,0.5338,
16,factual,mathematical,0.4457,
16,factual,creative,0.029,
16,factual,philosophical,0.1477,
16,mathematical,creative,0.4419,
16,mathematical,philosophical,0.3405,
16,creative,philosophical,0.125,
17,factual,mathematical,0.5107,
17,factual,creative,0.0235,
17,factual,philosophical,0.3044,
17,mathematical,creative,0.5597,
17,mathematical,philosophical,0.964,
17,creative,philosophical,0.2918,
18,factual,mathematical,0.1484,
18,factual,creative,0.7008,
18,factual,philosophical,0.4253,
18,mathematical,creative,0.8687,
18,mathematical,philosophical,0.5958,
18,creative,philosophical,0.3072,
19,factual,mathematical,0.1807,
19,factual,creative,0.8266,
19,factual,philosophical,0.4378,
19,mathematical,creative,1.0144,
19,mathematical,philosophical,0.6307,
19,creative,philosophical,0.4092,
20,factual,mathematical,0.131,
20,factual,creative,0.8813,
20,factual,philosophical,0.3775,
20,mathematical,creative,1.0194,
20,mathematical,philosophical,0.5229,
20,creative,philosophical,0.5424,
21,factual,mathematical,0.1915,
21,factual,creative,0.812,
21,factual,philosophical,0.294,
21,mathematical,creative,1.0237,
21,mathematical,philosophical,0.515,
21,creative,philosophical,0.5707,
22,factual,mathematical,0.0814,
22,factual,creative,0.9268,
22,factual,philosophical,0.3844,
22,mathematical,creative,1.0162,
22,mathematical,philosophical,0.4824,
22,creative,philosophical,0.6182,
23,factual,mathematical,0.0365,
23,factual,creative,0.9563,
23,factual,philosophical,0.3945,
23,mathematical,creative,0.9914,
23,mathematical,philosophical,0.4359,
23,creative,philosophical,0.6536,
24,factual,mathematical,0.002,
24,factual,creative,0.9756,
24,factual,philosophical,0.4351,
24,mathematical,creative,0.9502,
24,mathematical,philosophical,0.418,
24,creative,philosophical,0.6543,
25,factual,mathematical,0.1135,
25,factual,creative,1.1512,
25,factual,philosophical,0.7557,
25,mathematical,creative,1.0323,
25,mathematical,philosophical,0.6353,
25,creative,philosophical,0.4116,
