regime,prompt,layer,t,F
factual,0,0,0,93.81573486328125
factual,0,0,1,93.4593391418457
factual,0,0,2,92.94587961832683
factual,0,0,3,92.86829566955566
factual,0,0,4,92.45542602539062
factual,0,0,5,92.24126561482747
factual,0,0,6,91.92977360316685
factual,0,0,7,91.77980327606201
factual,0,0,8,91.55947875976562
factual,0,0,9,91.37590103149414
factual,0,0,10,91.14790691028942
factual,0,0,11,91.00173441569011
factual,0,0,12,90.76996788611778
factual,0,0,13,90.60086059570312
factual,0,0,14,90.39288330078125
factual,0,0,15,90.24010515213013
factual,0,0,16,90.00298847871669
factual,0,0,17,89.8231078253852
factual,0,0,18,89.65213936253598
factual,0,0,19,89.49602546691895
factual,0,0,20,89.31562042236328
factual,0,0,21,89.17574726451527
factual,0,0,22,88.9877113673998
factual,0,0,23,88.81484349568684
factual,0,0,24,88.62969970703125
factual,0,0,25,88.46754749004657
factual,0,0,26,88.30294969346788
factual,0,0,27,88.1402702331543
factual,0,0,28,87.97458254057786
factual,0,0,29,87.84079945882162
factual,0,0,30,87.6766625681231
factual,0,0,31,87.31597088229272
factual,0,0,32,86.95377546741116
factual,0,0,33,86.62686206448463
factual,0,0,34,86.2765630906628
factual,0,0,35,85.9954363915228
factual,0,0,36,85.68463848483178
factual,0,0,37,85.40831805813697
factual,0,0,38,85.11893783077117
factual,0,0,39,84.86991365494266
factual,0,0,40,84.59253003520351
factual,0,0,41,84.34037731539819
factual,0,0,42,84.07049363659274
factual,0,0,43,83.83726476853893
factual,0,0,44,83.56497709212765
factual,0,0,45,83.33214052261845
factual,0,0,46,83.07235914661038
factual,0,0,47,82.86321603098223
factual,0,0,48,82.6266600085843
factual,0,0,49,82.39754141530683
factual,0,0,50,82.16058989494077
factual,0,0,51,81.96476179553616
factual,0,0,52,81.73987751622354
factual,0,0,53,81.56158988706527
factual,0,0,54,81.37603193713772
factual,0,0,55,81.20255919425718
factual,0,0,56,81.02243484989289
factual,0,0,57,80.85914144208354
factual,0,0,58,80.69061968403477
factual,0,0,59,80.53199718844506
factual,0,0,60,80.35236334031627
factual,0,0,61,80.20355421496976
factual,0,0,62,80.04958565004411
factual,0,0,63,79.94115841773248
factual,0,0,64,79.84260928246283
factual,0,0,65,79.74339368266445
factual,0,0,66,79.62107701455393
factual,0,0,67,79.51705784951487
factual,0,0,68,79.40746701148248
factual,0,0,69,79.29251910794166
factual,0,0,70,79.15269125661543
factual,0,0,71,79.0347403249433
factual,0,0,72,78.9235576506584
factual,0,0,73,78.81280665243825
factual,0,0,74,78.70631088749055
factual,0,0,75,78.6350341304656
factual,0,0,76,78.55415614958733
factual,0,0,77,78.47474965741557
factual,0,0,78,78.39807350404801
factual,0,0,79,78.34129358107045
factual,0,0,80,78.27906971593058
factual,0,0,81,78.21736809515184
factual,0,0,82,78.15161428143901
factual,0,0,83,78.10487685665008
factual,0,0,84,78.04726902131111
factual,0,0,85,77.99727753669985
factual,0,0,86,77.96208880024571
factual,0,0,87,77.93483463410408
factual,0,0,88,77.90413788826235
factual,0,0,89,77.89005451817667
factual,0,0,90,77.8771724085654
factual,0,0,91,77.85386165495842
factual,0,0,92,77.84388757521107
factual,0,0,93,77.84358535274383
factual,0,0,94,77.80310526201802
factual,0,0,95,77.7538818851594
factual,0,0,96,77.72423110469695
factual,0,0,97,77.71559143066406
factual,0,0,98,77.69741919732863
factual,0,0,99,77.67921546197707
factual,0,0,100,77.64891642908896
factual,0,0,101,77.64254120857485
factual,0,0,102,77.64076503630608
factual,0,0,103,77.63355648902154
factual,0,0,104,77.6387183896957
factual,0,0,105,77.64846407982611
factual,0,0,106,77.66123544016192
factual,0,0,107,77.67517311342301
factual,0,0,108,77.68231521114227
factual,0,0,109,77.69050081314579
factual,0,0,110,77.68777982650265
factual,0,0,111,77.68624361099735
factual,0,0,112,77.69370368219191
factual,0,0,113,77.69322179978893
factual,0,0,114,77.6824242376512
factual,0,0,115,77.67817761821132
factual,0,0,116,77.67290693713772
factual,0,0,117,77.67039342080393
factual,0,0,118,77.65997732839277
factual,0,0,119,77.64912808325982
factual,0,0,120,77.6106700281943
factual,0,0,121,77.5782957999937
factual,0,0,122,77.56700946438697
factual,0,0,123,77.54383923930507
factual,0,0,124,77.53420208346459
factual,0,0,125,77.54532081850114
factual,0,0,126,77.54918719876197
factual,0,1,0,104.26473999023438
factual,0,1,1,109.64155197143555
factual,0,1,2,110.47110239664714
factual,0,1,3,111.71025085449219
factual,0,1,4,111.49474334716797
factual,0,1,5,111.59968694051106
factual,0,1,6,111.11173902239118
factual,0,1,7,110.90048789978027
factual,0,1,8,110.48468780517578
factual,0,1,9,110.26732559204102
factual,0,1,10,109.94391840154475
factual,0,1,11,109.87769317626953
factual,0,1,12,109.58338634784405
factual,0,1,13,109.40871374947685
factual,0,1,14,109.16487884521484
factual,0,1,15,109.01710891723633
factual,0,1,16,108.74668031580308
factual,0,1,17,108.53051545884874
factual,0,1,18,108.30721523887233
factual,0,1,19,108.14563102722168
factual,0,1,20,107.95342908586774
factual,0,1,21,107.83887308294123
factual,0,1,22,107.66130364459494
factual,0,1,23,107.50870672861735
factual,0,1,24,107.3330291748047
factual,0,1,25,107.19603875967172
factual,0,1,26,107.03557134557653
factual,0,1,27,106.888582774571
factual,0,1,28,106.74136668238147
factual,0,1,29,106.6399932861328
factual,0,1,30,106.4905277375252
factual,0,1,31,106.41024017333984
factual,0,1,32,105.942139164094
factual,0,1,33,105.56465764199534
factual,0,1,34,105.0843496014995
factual,0,1,35,104.78215715962071
factual,0,1,36,104.42051795221144
factual,0,1,37,104.18507385253906
factual,0,1,38,103.92005206692603
factual,0,1,39,103.75655684932586
factual,0,1,40,103.51369033321258
factual,0,1,41,103.30135345458984
factual,0,1,42,103.01600154753655
factual,0,1,43,102.8294202743038
factual,0,1,44,102.57578523697391
factual,0,1,45,102.389404789094
factual,0,1,46,102.15370891940209
factual,0,1,47,101.98756802466607
factual,0,1,48,101.80337130638861
factual,0,1,49,101.63989602365801
factual,0,1,50,101.43338357248614
factual,0,1,51,101.28451734973538
factual,0,1,52,101.07329559326172
factual,0,1,53,100.89938477546939
factual,0,1,54,100.70723109091482
factual,0,1,55,100.5612281060988
factual,0,1,56,100.4001942296182
factual,0,1,57,100.27051322690902
factual,0,1,58,100.12174249464466
factual,0,1,59,99.97724988383632
factual,0,1,60,99.79771374117944
