layer,regime_a,regime_b,cohens_d,cohens_d_std
0,creative,philosophical,0.0346,0.016
0,factual,creative,0.1252,0.0742
0,factual,mathematical,0.4706,0.537
0,factual,philosophical,0.0835,0.0534
0,mathematical,creative,0.5518,0.5023
0,mathematical,philosophical,0.5042,0.531
1,creative,philosophical,0.0465,0.0291
1,factual,creative,0.1621,0.1971
1,factual,mathematical,0.5485,0.5194
1,factual,philosophical,0.1524,0.1277
1,mathematical,creative,0.6961,0.4221
1,mathematical,philosophical,0.6366,0.4672
2,creative,philosophical,0.1295,0.0171
2,factual,creative,0.1395,0.0429
2,factual,mathematical,0.3941,0.5166
2,factual,philosophical,0.0243,0.0225
2,mathematical,creative,0.4566,0.4574
2,mathematical,philosophical,0.378,0.5301
3,creative,philosophical,0.226,0.1494
3,factual,creative,0.2022,0.1783
3,factual,mathematical,0.7139,0.5251
3,factual,philosophical,0.0266,0.0231
3,mathematical,creative,0.8734,0.414
3,mathematical,philosophical,0.7011,0.5363
4,creative,philosophical,0.4245,0.132
4,factual,creative,0.4056,0.2094
4,factual,mathematical,0.5627,0.5391
4,factual,philosophical,0.094,0.0665
4,mathematical,creative,0.7723,0.5139
4,mathematical,philosophical,0.6738,0.4745
5,creative,philosophical,0.2547,0.0943
5,factual,creative,0.2466,0.2279
5,factual,mathematical,0.472,0.4226
5,factual,philosophical,0.259,0.0953
5,mathematical,creative,0.6439,0.2849
5,mathematical,philosophical,0.5557,0.3429
6,creative,philosophical,0.0406,0.0295
6,factual,creative,0.237,0.1706
6,factual,mathematical,0.7754,0.209
6,factual,philosophical,0.3684,0.2454
6,mathematical,creative,0.5956,0.3187
6,mathematical,philosophical,0.626,0.2723
7,creative,philosophical,0.1512,0.0822
7,factual,creative,0.5475,0.1095
7,factual,mathematical,0.3198,0.1913
7,factual,philosophical,0.3798,0.0503
7,mathematical,creative,0.5057,0.266
7,mathematical,philosophical,0.3705,0.2513
8,creative,philosophical,0.3045,0.1397
8,factual,creative,0.3464,0.1054
8,factual,mathematical,0.6272,0.4589
8,factual,philosophical,0.1941,0.1131
8,mathematical,creative,0.7364,0.3086
8,mathematical,philosophical,0.7219,0.4339
9,creative,philosophical,0.4985,0.1199
9,factual,creative,0.4079,0.2904
9,factual,mathematical,0.5446,0.3991
9,factual,philosophical,0.1933,0.1822
9,mathematical,creative,0.6139,0.375
9,mathematical,philosophical,0.687,0.2566
10,creative,philosophical,1.0134,0.2782
10,factual,creative,0.9879,0.3813
10,factual,mathematical,0.5596,0.3381
10,factual,philosophical,0.1695,0.0797
10,mathematical,creative,0.7883,0.5534
10,mathematical,philosophical,0.593,0.3694
11,creative,philosophical,0.3847,0.1511
11,factual,creative,0.4146,0.0615
11,factual,mathematical,0.5887,0.4
11,factual,philosophical,0.1208,0.0479
11,mathematical,creative,0.8346,0.37
11,mathematical,philosophical,0.5796,0.365
12,creative,philosophical,0.2498,0.0959
12,factual,creative,0.2158,0.1744
12,factual,mathematical,0.275,0.2641
12,factual,philosophical,0.104,0.0126
12,mathematical,creative,0.4255,0.2984
12,mathematical,philosophical,0.3209,0.1848
13,creative,philosophical,0.0711,0.0465
13,factual,creative,0.3173,0.116
13,factual,mathematical,0.4207,0.1582
13,factual,philosophical,0.2533,0.1722
13,mathematical,creative,0.1861,0.14
13,mathematical,philosophical,0.216,0.1841
14,creative,philosophical,0.085,0.0345
14,factual,creative,0.3126,0.1628
14,factual,mathematical,0.276,0.1449
14,factual,philosophical,0.2461,0.1627
14,mathematical,creative,0.2412,0.1001
14,mathematical,philosophical,0.2145,0.1445
15,creative,philosophical,0.0399,0.0191
15,factual,creative,0.0827,0.0324
15,factual,mathematical,0.1653,0.1935
15,factual,philosophical,0.0857,0.0366
15,mathematical,creative,0.1819,0.1576
15,mathematical,philosophical,0.1659,0.1564
16,creative,philosophical,0.1191,0.1013
16,factual,creative,0.0916,0.0258
16,factual,mathematical,0.2299,0.294
16,factual,philosophical,0.0868,0.0317
16,mathematical,creative,0.3138,0.2727
16,mathematical,philosophical,0.2934,0.2269
17,creative,philosophical,0.242,0.2631
17,factual,creative,0.1379,0.1782
17,factual,mathematical,0.5256,0.4208
17,factual,philosophical,0.1203,0.0723
17,mathematical,creative,0.5114,0.4086
17,mathematical,philosophical,0.5733,0.3687
18,creative,philosophical,0.1081,0.0697
18,factual,creative,0.051,0.0397
18,factual,mathematical,0.3691,0.3221
18,factual,philosophical,0.0905,0.023
18,mathematical,creative,0.313,0.341
18,mathematical,philosophical,0.3479,0.3135
19,creative,philosophical,0.0943,0.0226
19,factual,creative,0.0546,0.0458
19,factual,mathematical,0.3787,0.3179
19,factual,philosophical,0.1462,0.0493
19,mathematical,creative,0.3961,0.3054
19,mathematical,philosophical,0.3751,0.3117
20,creative,philosophical,0.1362,0.0272
20,factual,creative,0.0694,0.0319
20,factual,mathematical,0.2577,0.2163
20,factual,philosophical,0.0809,0.0578
20,mathematical,creative,0.3046,0.1974
20,mathematical,philosophical,0.227,0.199
21,creative,philosophical,0.1658,0.0204
21,factual,creative,0.0572,0.0257
21,factual,mathematical,0.3001,0.1753
21,factual,philosophical,0.1187,0.0376
21,mathematical,creative,0.3309,0.1866
21,mathematical,philosophical,0.2059,0.202
22,creative,philosophical,0.2094,0.011
22,factual,creative,0.1204,0.0248
22,factual,mathematical,0.289,0.1775
22,factual,philosophical,0.0936,0.032
22,mathematical,creative,0.3781,0.167
22,mathematical,philosophical,0.2117,0.2004
23,creative,philosophical,0.2164,0.0171
23,factual,creative,0.1445,0.0348
23,factual,mathematical,0.2423,0.1528
23,factual,philosophical,0.073,0.0341
23,mathematical,creative,0.3554,0.1363
23,mathematical,philosophical,0.1807,0.167
24,creative,philosophical,0.1837,0.0051
24,factual,creative,0.0789,0.0178
24,factual,mathematical,0.2439,0.1704
24,factual,philosophical,0.1098,0.0181
24,mathematical,creative,0.2998,0.1718
24,mathematical,philosophical,0.1545,0.1894
25,creative,philosophical,0.0966,0.0308
25,factual,creative,0.0553,0.0238
25,factual,mathematical,0.256,0.2406
25,factual,philosophical,0.0414,0.0095
25,mathematical,creative,0.2981,0.2051
25,mathematical,philosophical,0.2276,0.2375
