layer,regime_a,regime_b,cohens_d,cohens_d_std
0,factual,mathematical,0.0225,
0,factual,creative,0.08,
0,factual,philosophical,0.0197,
0,mathematical,creative,0.0464,
0,mathematical,philosophical,0.004,
0,creative,philosophical,0.0543,
1,factual,mathematical,0.2746,
1,factual,creative,0.0231,
1,factual,philosophical,0.023,
1,mathematical,creative,0.2911,
1,mathematical,philosophical,0.2346,
1,creative,philosophical,0.0434,
2,factual,mathematical,0.0074,
2,factual,creative,0.1331,
2,factual,philosophical,0.0013,
2,mathematical,creative,0.1305,
2,mathematical,philosophical,0.0062,
2,creative,philosophical,0.1342,
3,factual,mathematical,0.4839,
3,factual,creative,0.0118,
3,factual,philosophical,0.0588,
3,mathematical,creative,0.5475,
3,mathematical,philosophical,0.4629,
3,creative,philosophical,0.0814,
4,factual,mathematical,0.1212,
4,factual,creative,0.2386,
4,factual,philosophical,0.0662,
4,mathematical,creative,0.1106,
4,mathematical,philosophical,0.1952,
4,creative,philosophical,0.3263,
5,factual,mathematical,0.2866,
5,factual,creative,0.1234,
5,factual,philosophical,0.3924,
5,mathematical,creative,0.3545,
5,mathematical,philosophical,0.5484,
5,creative,philosophical,0.2423,
6,factual,mathematical,0.8556,
6,factual,creative,0.0913,
6,factual,philosophical,0.2075,
6,mathematical,creative,0.6911,
6,mathematical,philosophical,0.665,
6,creative,philosophical,0.0805,
7,factual,mathematical,0.2746,
7,factual,creative,0.4646,
7,factual,philosophical,0.3804,
7,mathematical,creative,0.1467,
7,mathematical,philosophical,0.0861,
7,creative,philosophical,0.0589,
8,factual,mathematical,0.3207,
8,factual,creative,0.2062,
8,factual,philosophical,0.2199,
8,mathematical,creative,0.4079,
8,mathematical,philosophical,0.2005,
8,creative,philosophical,0.3903,
9,factual,mathematical,0.4373,
9,factual,creative,0.7391,
9,factual,philosophical,0.031,
9,mathematical,creative,0.8457,
9,mathematical,philosophical,0.4436,
9,creative,philosophical,0.6546,
10,factual,mathematical,0.3088,
10,factual,creative,1.0825,
10,factual,philosophical,0.2065,
10,mathematical,creative,0.6783,
10,mathematical,philosophical,0.1536,
10,creative,philosophical,0.9655,
11,factual,mathematical,0.1084,
11,factual,creative,0.3435,
11,factual,philosophical,0.0592,
11,mathematical,creative,0.3398,
11,mathematical,philosophical,0.1443,
11,creative,philosophical,0.2505,
12,factual,mathematical,0.0733,
12,factual,creative,0.1005,
12,factual,philosophical,0.0872,
12,mathematical,creative,0.008,
12,mathematical,philosophical,0.1391,
12,creative,philosophical,0.1795,
13,factual,mathematical,0.1969,
13,factual,creative,0.2884,
13,factual,philosophical,0.2556,
13,mathematical,creative,0.0929,
13,mathematical,philosophical,0.0546,
13,creative,philosophical,0.0406,
14,factual,mathematical,0.1346,
14,factual,creative,0.255,
14,factual,philosophical,0.2198,
14,mathematical,creative,0.1178,
14,mathematical,philosophical,0.0777,
14,creative,philosophical,0.0449,
15,factual,mathematical,0.015,
15,factual,creative,0.1077,
15,factual,philosophical,0.1362,
15,mathematical,creative,0.0916,
15,mathematical,philosophical,0.1186,
15,creative,philosophical,0.0211,
16,factual,mathematical,0.0333,
16,factual,creative,0.1018,
16,factual,philosophical,0.1086,
16,mathematical,creative,0.1402,
16,mathematical,philosophical,0.1476,
16,creative,philosophical,0.006,
17,factual,mathematical,0.2549,
17,factual,creative,0.0038,
17,factual,philosophical,0.0756,
17,mathematical,creative,0.2392,
17,mathematical,philosophical,0.2023,
17,creative,philosophical,0.073,
18,factual,mathematical,0.1395,
18,factual,creative,0.0294,
18,factual,philosophical,0.1176,
18,mathematical,creative,0.1017,
18,mathematical,philosophical,0.0332,
18,creative,philosophical,0.0779,
19,factual,mathematical,0.146,
19,factual,creative,0.0161,
19,factual,philosophical,0.1504,
19,mathematical,creative,0.1141,
19,mathematical,philosophical,0.0106,
19,creative,philosophical,0.1138,
20,factual,mathematical,0.1003,
20,factual,creative,0.0395,
20,factual,philosophical,0.1537,
20,mathematical,creative,0.1274,
20,mathematical,philosophical,0.0495,
20,creative,philosophical,0.1734,
21,factual,mathematical,0.1557,
21,factual,creative,0.0366,
21,factual,philosophical,0.1707,
21,mathematical,creative,0.175,
21,mathematical,philosophical,0.0113,
21,creative,philosophical,0.188,
22,factual,mathematical,0.1367,
22,factual,creative,0.0883,
22,factual,philosophical,0.1384,
22,mathematical,creative,0.2097,
22,mathematical,philosophical,0.0033,
22,creative,philosophical,0.2125,
23,factual,mathematical,0.1274,
23,factual,creative,0.1035,
23,factual,philosophical,0.1192,
23,mathematical,creative,0.2183,
23,mathematical,philosophical,0.0132,
23,creative,philosophical,0.2129,
24,factual,mathematical,0.1353,
24,factual,creative,0.0738,
24,factual,philosophical,0.1264,
24,mathematical,creative,0.1965,
24,mathematical,philosophical,0.0175,
24,creative,philosophical,0.1906,
25,factual,mathematical,0.0447,
25,factual,creative,0.0864,
25,factual,philosophical,0.0546,
25,mathematical,creative,0.1278,
25,mathematical,philosophical,0.0097,
25,creative,philosophical,0.137,
