layer,regime_a,regime_b,cohens_d,cohens_d_std
0,creative,philosophical,0.4873,0.0193
0,factual,creative,0.5133,0.0608
0,factual,mathematical,0.6493,0.2607
0,factual,philosophical,0.063,0.0515
0,mathematical,creative,0.292,0.2953
0,mathematical,philosophical,0.6241,0.2868
1,creative,philosophical,0.7073,0.0741
1,factual,creative,0.7865,0.033
1,factual,mathematical,0.4529,0.3203
1,factual,philosophical,0.1223,0.0242
1,mathematical,creative,0.3489,0.0998
1,mathematical,philosophical,0.3845,0.3092
2,creative,philosophical,0.8865,0.068
2,factual,creative,0.8686,0.046
2,factual,mathematical,0.8393,0.0907
2,factual,philosophical,0.0583,0.0551
2,mathematical,creative,1.6366,0.0704
2,mathematical,philosophical,0.95,0.0486
3,creative,philosophical,0.8451,0.0607
3,factual,creative,0.685,0.0597
3,factual,mathematical,1.392,0.151
3,factual,philosophical,0.0531,0.0154
3,mathematical,creative,2.2261,0.1608
3,mathematical,philosophical,1.6219,0.1171
4,creative,philosophical,1.2839,0.092
4,factual,creative,0.0792,0.0577
4,factual,mathematical,2.3028,0.1539
4,factual,philosophical,0.9798,0.1056
4,mathematical,creative,2.842,0.0804
4,mathematical,philosophical,1.9139,0.0991
5,creative,philosophical,0.3786,0.041
5,factual,creative,0.6185,0.0716
5,factual,mathematical,1.575,0.1619
5,factual,philosophical,0.2373,0.0612
5,mathematical,creative,2.5041,0.2132
5,mathematical,philosophical,1.8832,0.0316
6,creative,philosophical,0.9432,0.0752
6,factual,creative,0.9746,0.0631
6,factual,mathematical,0.7017,0.0158
6,factual,philosophical,0.1032,0.0979
6,mathematical,creative,1.625,0.0325
6,mathematical,philosophical,0.8391,0.0747
7,creative,philosophical,0.2603,0.1063
7,factual,creative,0.6185,0.0519
7,factual,mathematical,2.1734,0.0322
7,factual,philosophical,0.3827,0.1553
7,mathematical,creative,2.6129,0.0525
7,mathematical,philosophical,2.5245,0.0484
8,creative,philosophical,1.0256,0.1011
8,factual,creative,0.769,0.0449
8,factual,mathematical,1.4685,0.1092
8,factual,philosophical,0.1649,0.0992
8,mathematical,creative,2.2065,0.0946
8,mathematical,philosophical,1.5266,0.1371
9,creative,philosophical,0.724,0.1638
9,factual,creative,0.2229,0.0527
9,factual,mathematical,0.8631,0.1968
9,factual,philosophical,0.4426,0.1961
9,mathematical,creative,1.1347,0.2176
9,mathematical,philosophical,0.5212,0.344
10,creative,philosophical,0.5658,0.2056
10,factual,creative,0.3644,0.007
10,factual,mathematical,1.1057,0.1723
10,factual,philosophical,0.2094,0.0956
10,mathematical,creative,1.6209,0.2427
10,mathematical,philosophical,0.9995,0.1249
11,creative,philosophical,0.2773,0.1267
11,factual,creative,0.661,0.0197
11,factual,mathematical,1.3609,0.1657
11,factual,philosophical,0.3635,0.1151
11,mathematical,creative,1.8384,0.1596
11,mathematical,philosophical,1.5954,0.2198
12,creative,philosophical,0.3299,0.1745
12,factual,creative,0.8808,0.0333
12,factual,mathematical,1.1758,0.0572
12,factual,philosophical,0.4685,0.1311
12,mathematical,creative,1.7214,0.0663
12,mathematical,philosophical,1.4032,0.124
13,creative,philosophical,0.1415,0.1201
13,factual,creative,0.1402,0.0886
13,factual,mathematical,1.1902,0.1404
13,factual,philosophical,0.1917,0.1095
13,mathematical,creative,1.2339,0.1073
13,mathematical,philosophical,1.2375,0.2392
14,creative,philosophical,0.3567,0.1277
14,factual,creative,0.3054,0.0671
14,factual,mathematical,1.0349,0.2457
14,factual,philosophical,0.1055,0.0778
14,mathematical,creative,0.6941,0.194
14,mathematical,philosophical,0.9781,0.2693
15,creative,philosophical,0.6198,0.1035
15,factual,creative,0.5268,0.0203
15,factual,mathematical,1.2802,0.2132
15,factual,philosophical,0.1823,0.0894
15,mathematical,creative,0.7973,0.2326
15,mathematical,philosophical,1.2726,0.2371
16,creative,philosophical,0.8606,0.12
16,factual,creative,0.8288,0.0527
16,factual,mathematical,1.6733,0.1397
16,factual,philosophical,0.1556,0.083
16,mathematical,creative,0.8948,0.1429
16,mathematical,philosophical,1.587,0.0905
17,creative,philosophical,0.6463,0.1106
17,factual,creative,0.7365,0.0856
17,factual,mathematical,0.5555,0.0241
17,factual,philosophical,0.1116,0.0644
17,mathematical,creative,0.2294,0.0834
17,mathematical,philosophical,0.4468,0.098
18,creative,philosophical,0.4071,0.0902
18,factual,creative,0.4722,0.0575
18,factual,mathematical,0.8022,0.0999
18,factual,philosophical,0.0718,0.0662
18,mathematical,creative,0.3793,0.1454
18,mathematical,philosophical,0.7376,0.1387
19,creative,philosophical,0.1561,0.0722
19,factual,creative,0.1205,0.0442
19,factual,mathematical,1.1953,0.0987
19,factual,philosophical,0.0565,0.0143
19,mathematical,creative,1.1318,0.117
19,mathematical,philosophical,1.25,0.1002
20,creative,philosophical,0.0764,0.0512
20,factual,creative,0.1255,0.0215
20,factual,mathematical,0.9485,0.0877
20,factual,philosophical,0.0671,0.0369
20,mathematical,creative,1.0978,0.076
20,mathematical,philosophical,1.0452,0.0737
21,creative,philosophical,0.1734,0.0664
21,factual,creative,0.0963,0.0196
21,factual,mathematical,0.6246,0.0919
21,factual,philosophical,0.0741,0.0565
21,mathematical,creative,0.697,0.0876
21,mathematical,philosophical,0.5803,0.0873
22,creative,philosophical,0.3461,0.0729
22,factual,creative,0.2058,0.0231
22,factual,mathematical,0.5978,0.1173
22,factual,philosophical,0.1329,0.0609
22,mathematical,creative,0.7474,0.1148
22,mathematical,philosophical,0.5134,0.1159
23,creative,philosophical,0.3698,0.0976
23,factual,creative,0.1267,0.043
23,factual,mathematical,0.5481,0.1155
23,factual,philosophical,0.2495,0.0667
23,mathematical,creative,0.6272,0.1212
23,mathematical,philosophical,0.383,0.1342
24,creative,philosophical,0.1706,0.1016
24,factual,creative,0.3185,0.0887
24,factual,mathematical,0.0834,0.089
24,factual,philosophical,0.5249,0.0747
24,mathematical,creative,0.1906,0.1166
24,mathematical,philosophical,0.2909,0.1545
25,creative,philosophical,0.1952,0.1198
25,factual,creative,0.7539,0.1225
25,factual,mathematical,0.0845,0.0497
25,factual,philosophical,0.8313,0.0891
25,mathematical,creative,0.5348,0.0815
25,mathematical,philosophical,0.5595,0.1487
