layer,regime_a,regime_b,cohens_d,cohens_d_std
0,factual,mathematical,0.3528,
0,factual,creative,0.5117,
0,factual,philosophical,0.0563,
0,mathematical,creative,0.0168,
0,mathematical,philosophical,0.3318,
0,creative,philosophical,0.51,
1,factual,mathematical,0.1664,
1,factual,creative,0.7856,
1,factual,philosophical,0.0893,
1,mathematical,creative,0.2839,
1,mathematical,philosophical,0.1214,
1,creative,philosophical,0.7723,
2,factual,mathematical,0.9418,
2,factual,creative,0.8069,
2,factual,philosophical,0.0006,
2,mathematical,creative,1.5675,
2,mathematical,philosophical,1.0077,
2,creative,philosophical,0.9138,
3,factual,mathematical,1.4741,
3,factual,creative,0.6014,
3,factual,philosophical,0.0721,
3,mathematical,creative,2.1154,
3,mathematical,philosophical,1.6006,
3,creative,philosophical,0.8096,
4,factual,mathematical,2.2979,
4,factual,creative,0.0178,
4,factual,philosophical,1.0687,
4,mathematical,creative,2.7337,
4,mathematical,philosophical,1.7829,
4,creative,philosophical,1.3472,
5,factual,mathematical,1.5448,
5,factual,creative,0.5586,
5,factual,philosophical,0.2332,
5,mathematical,creative,2.3323,
5,mathematical,philosophical,1.8636,
5,creative,philosophical,0.3263,
6,factual,mathematical,0.6938,
6,factual,creative,1.046,
6,factual,philosophical,0.2401,
6,mathematical,creative,1.6015,
6,mathematical,philosophical,0.9444,
6,creative,philosophical,0.8957,
7,factual,mathematical,2.1773,
7,factual,creative,0.6836,
7,factual,philosophical,0.561,
7,mathematical,creative,2.566,
7,mathematical,philosophical,2.5812,
7,creative,philosophical,0.1563,
8,factual,mathematical,1.5653,
8,factual,creative,0.7824,
8,factual,philosophical,0.0375,
8,mathematical,creative,2.1988,
8,mathematical,philosophical,1.6969,
8,creative,philosophical,0.8849,
9,factual,mathematical,1.0153,
9,factual,creative,0.2726,
9,factual,philosophical,0.1688,
9,mathematical,creative,1.3481,
9,mathematical,philosophical,0.9589,
9,creative,philosophical,0.4928,
10,factual,mathematical,0.9301,
10,factual,creative,0.3553,
10,factual,philosophical,0.0807,
10,mathematical,creative,1.304,
10,mathematical,philosophical,1.036,
10,creative,philosophical,0.2844,
11,factual,mathematical,1.4463,
11,factual,creative,0.6613,
11,factual,philosophical,0.5198,
11,mathematical,creative,1.9464,
11,mathematical,philosophical,1.7895,
11,creative,philosophical,0.1078,
12,factual,mathematical,1.2153,
12,factual,creative,0.8766,
12,factual,philosophical,0.654,
12,mathematical,creative,1.7758,
12,mathematical,philosophical,1.5597,
12,creative,philosophical,0.0903,
13,factual,mathematical,1.3158,
13,factual,creative,0.015,
13,factual,philosophical,0.3262,
13,mathematical,creative,1.2752,
13,mathematical,philosophical,1.4827,
13,creative,philosophical,0.2961,
14,factual,mathematical,1.1512,
14,factual,creative,0.3987,
14,factual,philosophical,0.1949,
14,mathematical,creative,0.7413,
14,mathematical,philosophical,1.1635,
14,creative,philosophical,0.5221,
15,factual,mathematical,1.3095,
15,factual,creative,0.5552,
15,factual,philosophical,0.3051,
15,mathematical,creative,0.8351,
15,mathematical,philosophical,1.416,
15,creative,philosophical,0.7634,
16,factual,mathematical,1.5827,
16,factual,creative,0.8645,
16,factual,philosophical,0.2729,
16,mathematical,creative,0.799,
16,mathematical,philosophical,1.658,
16,creative,philosophical,1.0203,
17,factual,mathematical,0.5881,
17,factual,creative,0.7852,
17,factual,philosophical,0.0395,
17,mathematical,creative,0.1457,
17,mathematical,philosophical,0.5792,
17,creative,philosophical,0.7894,
18,factual,mathematical,0.7651,
18,factual,creative,0.5113,
18,factual,philosophical,0.0025,
18,mathematical,creative,0.3647,
18,mathematical,philosophical,0.789,
18,creative,philosophical,0.5342,
19,factual,mathematical,1.101,
19,factual,creative,0.1659,
19,factual,philosophical,0.0755,
19,mathematical,creative,1.0266,
19,mathematical,philosophical,1.214,
19,creative,philosophical,0.2577,
20,factual,mathematical,0.8457,
20,factual,creative,0.1181,
20,factual,philosophical,0.1091,
20,mathematical,creative,1.0073,
20,mathematical,philosophical,0.9957,
20,creative,philosophical,0.0091,
21,factual,mathematical,0.5236,
21,factual,creative,0.0722,
21,factual,philosophical,0.0117,
21,mathematical,creative,0.5935,
21,mathematical,philosophical,0.5342,
21,creative,philosophical,0.0894,
22,factual,mathematical,0.4837,
22,factual,creative,0.1781,
22,factual,philosophical,0.0578,
22,mathematical,creative,0.6212,
22,mathematical,philosophical,0.4588,
22,creative,philosophical,0.2499,
23,factual,mathematical,0.4502,
23,factual,creative,0.0683,
23,factual,philosophical,0.1741,
23,mathematical,creative,0.4972,
23,mathematical,philosophical,0.3444,
23,creative,philosophical,0.2445,
24,factual,mathematical,0.0154,
24,factual,creative,0.4366,
24,factual,philosophical,0.4511,
24,mathematical,creative,0.2899,
24,mathematical,philosophical,0.2779,
24,creative,philosophical,0.0435,
25,factual,mathematical,0.1003,
25,factual,creative,0.9165,
25,factual,philosophical,0.732,
25,mathematical,creative,0.6128,
25,mathematical,philosophical,0.4815,
25,creative,philosophical,0.2801,
