regime,prompt,layer,t,F
factual,0,0,0,89.6033935546875
factual,0,0,1,91.8812370300293
factual,0,0,2,85.82559712727864
factual,0,0,3,81.8252182006836
factual,0,0,4,70.21253509521485
factual,0,0,5,70.5937614440918
factual,0,0,6,70.80220467703683
factual,0,0,7,70.51512718200684
factual,0,0,8,76.92655944824219
factual,0,0,9,78.56206436157227
factual,0,0,10,76.10681082985617
factual,0,0,11,74.71034399668376
factual,0,0,12,72.21642860999474
factual,0,0,13,68.68326732090541
factual,0,0,14,65.85566736857096
factual,0,0,15,65.56407046318054
factual,0,0,16,65.8212807599236
factual,0,0,17,66.38546477423773
factual,0,0,18,66.29390254773591
factual,0,0,19,66.04944286346435
factual,0,0,20,65.46225320725213
factual,0,0,21,66.38913432034579
factual,0,0,22,66.49054004835045
factual,0,0,23,65.69007762273152
factual,0,0,24,64.98489608764649
factual,0,0,25,64.8634760929988
factual,0,0,26,66.17296459056713
factual,0,0,27,66.74931907653809
factual,0,0,28,66.92297231739965
factual,0,0,29,68.2538241068522
factual,0,0,30,68.30940911077684
factual,0,0,31,66.20937156677246
factual,0,0,32,64.0203651305168
factual,0,0,33,64.14276129199612
factual,0,0,34,63.9689511329897
factual,0,0,35,63.98353736631332
factual,0,0,36,64.06292909191501
factual,0,0,37,64.08340220297536
factual,0,0,38,64.56477220596805
factual,0,0,39,62.61003075876543
factual,0,0,40,61.031208653603834
factual,0,0,41,61.835113279281124
factual,0,0,42,62.64681600755261
factual,0,0,43,63.457264192642704
factual,0,0,44,64.03003532655778
factual,0,0,45,64.3546025676112
factual,0,0,46,64.25009401382938
factual,0,0,47,63.62990631595735
factual,0,0,48,62.87017403879473
factual,0,0,49,63.0579341765373
factual,0,0,50,63.26623116770098
factual,0,0,51,64.09153501449093
factual,0,0,52,63.60676968482233
factual,0,0,53,63.606756394909276
factual,0,0,54,64.7464619298135
factual,0,0,55,66.1041028422694
factual,0,0,56,66.05788630823935
factual,0,0,57,63.90555264872889
factual,0,0,58,62.23964112804782
factual,0,0,59,61.01134564799647
factual,0,0,60,58.848248512514175
factual,0,0,61,58.920654419929754
