source,substrate_detail,topology,q_label,regime,control,llm_seed,backend,n_star_trace_max,n_curv_abs_d2_peak,max_abs_d2_tr_dn2,n_star_over_n_curv,reliable_curvature,file
sycamore,12q_readout_raw_data.txt,2D_Block,12q,,,,,10000.0,9000.0,3452.9801130088927,1.1111111111111112,True,
sycamore,14q_readout_raw_data.txt,1D_Snake,14q,,,,,9000.0,9000.0,-6332.763782318327,1.0,True,
sycamore,16q_readout_raw_data.txt,2D_Block,16q,,,,,6000.0,6000.0,-2306.614700460332,1.0,True,
sycamore,18q_readout_raw_data.txt,1D_Snake,18q,,,,,10000.0,9000.0,704.3191481740055,1.1111111111111112,True,
sycamore,20q_readout_raw_data.txt,2D_Block,20q,,,,,10000.0,9000.0,7726.973831597348,1.1111111111111112,True,
sycamore,22q_readout_raw_data.txt,1D_Snake,22q,,,,,6000.0,6000.0,-106.8850833485887,1.0,True,
sycamore,24q_readout_raw_data.txt,2D_Block,24q,,,,,1000.0,1000.0,-358.4902358867351,1.0,True,
sycamore,26q_readout_raw_data.txt,Bulk_Full,26q,,,,,6000.0,6000.0,-81.61651486318996,1.0,True,
sycamore,28q_readout_raw_data.txt,1D_Snake,28q,,,,,5000.0,5000.0,-4.620409847083602,1.0,True,
sycamore,30q_readout_raw_data.txt,2D_Block,30q,,,,,15000.0,15000.0,-5.61907451600503,1.0,True,
sycamore,32q_readout_raw_data.txt,1D_Snake,32q,,,,,15000.0,15000.0,-71.98514224665324,1.0,True,
sycamore,34q_readout_raw_data.txt,2D_Block,34q,,,,,5000.0,5000.0,-1.458737953688778,1.0,True,
sycamore,36q_readout_raw_data.txt,Bulk_Full,36q,,,,,4000.0,4000.0,-0.329452487658013,1.0,False,
sycamore,38q_readout_raw_data.txt,Bulk_Full,38q,,,,,5000.0,5000.0,-6.655170169612535,1.0,True,
sycamore,39q_readout_raw_data.txt,2D_Block,39q,,,,,3000.0,3000.0,-0.3591059323686471,1.0,False,
sycamore,40q_readout_raw_data.txt,2D_Block,40q,,,,,7000.0,7000.0,-1.0195138439417115,1.0,True,
sycamore,41q_readout_raw_data.txt,2D_Block,41q,,,,,3000.0,3000.0,-0.3239625869947827,1.0,False,
sycamore,42q_readout_raw_data.txt,2D_Block,42q,,,,,10000.0,9000.0,-0.0325020757530587,1.1111111111111112,False,
sycamore,43q_readout_raw_data.txt,2D_Block,43q,,,,,15000.0,15000.0,-703.9513445017296,1.0,True,
sycamore,44q_readout_raw_data.txt,2D_Block,44q,,,,,3000.0,3000.0,-0.2744699300560416,1.0,False,
sycamore,45q_readout_raw_data.txt,2D_Block,45q,,,,,15000.0,15000.0,-8.10294757196211,1.0,True,
sycamore,46q_readout_raw_data.txt,Bulk_Full,46q,,,,,40000.0,8000.0,0.0606982941288284,5.0,False,
sycamore,47q_readout_raw_data.txt,1D_Snake,47q,,,,,3000.0,4000.0,0.4460938028080331,0.75,False,
sycamore,48q_readout_raw_data.txt,Bulk_Full,48q,,,,,10000.0,9000.0,1.490959282142327,1.1111111111111112,True,
sycamore,49q_readout_raw_data.txt,1D_Snake,49q,,,,,15000.0,6000.0,-0.0493659782616429,2.5,False,
sycamore,50q_readout_raw_data.txt,2D_Block,50q,,,,,15000.0,15000.0,-639.180492272819,1.0,True,
sycamore,51q_readout_raw_data.txt,Bulk_Full,51q,,,,,9000.0,7000.0,0.0984052446635433,1.2857142857142858,False,
sycamore,53q_readout_raw_data.txt,Bulk_Full,53q,,,,,4000.0,4000.0,-0.1701090131370681,1.0,False,
llm,results\llm_entropy\fisher_runs\fisher_metric_creative_p0_seed42_none.csv,,,creative,none,42,,192.0,192.0,1107.1548227455037,1.0,True,
llm,results\llm_entropy\fisher_runs\fisher_metric_creative_p0_seed42_random_uniform.csv,,,creative,random_uniform,42,,80.0,80.0,28311.38909748364,1.0,True,
llm,results\llm_entropy\fisher_runs\fisher_metric_creative_p0_seed42_shuffled.csv,,,creative,shuffled,42,,64.0,64.0,9110.731768516642,1.0,True,
llm,results\llm_entropy\fisher_runs\fisher_metric_factual_p0_seed42_none.csv,,,factual,none,42,,384.0,384.0,15719.972725316025,1.0,True,
llm,results\llm_entropy\fisher_runs\fisher_metric_factual_p0_seed42_random_uniform.csv,,,factual,random_uniform,42,,32.0,48.0,5046.46777576333,0.6666666666666666,True,
llm,results\llm_entropy\fisher_runs\fisher_metric_factual_p0_seed42_shuffled.csv,,,factual,shuffled,42,,224.0,224.0,407.0300484608276,1.0,True,
llm,results\llm_entropy\fisher_runs\fisher_metric_mathematical_p0_seed42_none.csv,,,mathematical,none,42,,1536.0,112.0,476.2074269090564,13.714285714285714,True,
llm,results\llm_entropy\fisher_runs\fisher_metric_mathematical_p0_seed42_random_uniform.csv,,,mathematical,random_uniform,42,,64.0,64.0,29105.70504373205,1.0,True,
llm,results\llm_entropy\fisher_runs\fisher_metric_mathematical_p0_seed42_shuffled.csv,,,mathematical,shuffled,42,,48.0,48.0,2706.4703017678466,1.0,True,
llm,results\llm_entropy\fisher_runs\fisher_metric_philosophical_p0_seed42_none.csv,,,philosophical,none,42,,80.0,80.0,3372.9878294353266,1.0,True,
llm,results\llm_entropy\fisher_runs\fisher_metric_philosophical_p0_seed42_random_uniform.csv,,,philosophical,random_uniform,42,,64.0,64.0,29105.70504373205,1.0,True,
llm,results\llm_entropy\fisher_runs\fisher_metric_philosophical_p0_seed42_shuffled.csv,,,philosophical,shuffled,42,,128.0,128.0,2563.8258192676108,1.0,True,
ibm,ibm_marrakesh_ghz_5q_40960shots.txt,,,,,,marrakesh,40000.0,32000.0,0.010064232138564208,1.25,False,ibm_marrakesh_ghz_5q_40960shots.txt
ibm,ibm_marrakesh_ghz_10q_40960shots.txt,,,,,,marrakesh,40000.0,32000.0,0.006266373867472455,1.25,False,ibm_marrakesh_ghz_10q_40960shots.txt
ibm,ibm_marrakesh_ghz_20q_40960shots.txt,,,,,,marrakesh,40000.0,32000.0,0.003662972921694053,1.25,False,ibm_marrakesh_ghz_20q_40960shots.txt
ibm,ibm_marrakesh_hadamard_1q_40960shots.txt,,,,,,marrakesh,32000.0,32000.0,0.011448868771951674,1.0,False,ibm_marrakesh_hadamard_1q_40960shots.txt
ibm,ibm_marrakesh_hadamard_5q_40960shots.txt,,,,,,marrakesh,1000.0,2000.0,1.237988016751905e-06,0.5,False,ibm_marrakesh_hadamard_5q_40960shots.txt
ibm,ibm_marrakesh_hadamard_10q_40960shots.txt,,,,,,marrakesh,1000.0,2000.0,1.777155354747181e-06,0.5,False,ibm_marrakesh_hadamard_10q_40960shots.txt
ibm,ibm_marrakesh_hadamard_20q_40960shots.txt,,,,,,marrakesh,1000.0,2000.0,1.1004581082300749e-06,0.5,False,ibm_marrakesh_hadamard_20q_40960shots.txt
ibm,ibm_marrakesh_identity_10q_40960shots.txt,,,,,,marrakesh,40000.0,32000.0,1.4694973265516897,1.25,True,ibm_marrakesh_identity_10q_40960shots.txt
ibm,ibm_marrakesh_identity_20q_40960shots.txt,,,,,,marrakesh,40000.0,8000.0,0.027987422203396298,5.0,False,ibm_marrakesh_identity_20q_40960shots.txt
