n_star_trace_max,n_peak_abs_d2,max_abs_d2_tr_dn2,n_peak_max_d2,max_d2_tr_dn2,n_peak_min_d2,min_d2_tr_dn2,abs_delta_peak_abs_to_nstar,method,smooth_sg,file,q_label,topology,estimated_N_threshold,delta_peak_abs_to_est,delta_nstar_to_est
10000.0,9000.0,3452.9801130088927,9000.0,3452.9801130088927,10000.0,-1606.2533236605059,1000.0,spline,,12q_readout_raw_data.txt,12q,2D_Block,9500.0,-500.0,500.0
9000.0,9000.0,-6332.763782318327,8000.0,5281.584258856411,9000.0,-6332.763782318327,0.0,spline,,14q_readout_raw_data.txt,14q,1D_Snake,8500.0,500.0,500.0
6000.0,6000.0,-2306.614700460332,7000.0,1699.170417493096,6000.0,-2306.614700460332,0.0,spline,,16q_readout_raw_data.txt,16q,2D_Block,5500.0,500.0,500.0
10000.0,9000.0,704.3191481740055,9000.0,704.3191481740055,6000.0,-481.2342865875483,1000.0,spline,,18q_readout_raw_data.txt,18q,1D_Snake,9500.0,-500.0,500.0
10000.0,9000.0,7726.973831597348,9000.0,7726.973831597348,10000.0,-3670.698749977656,1000.0,spline,,20q_readout_raw_data.txt,20q,2D_Block,9500.0,-500.0,500.0
6000.0,6000.0,-106.8850833485887,7000.0,68.84301586105552,6000.0,-106.8850833485887,0.0,spline,,22q_readout_raw_data.txt,22q,1D_Snake,6500.0,-500.0,-500.0
1000.0,1000.0,-358.4902358867351,2000.0,176.55770908450518,1000.0,-358.4902358867351,0.0,spline,,24q_readout_raw_data.txt,24q,2D_Block,750.0,250.0,250.0
6000.0,6000.0,-81.61651486318996,7000.0,52.69510468575019,6000.0,-81.61651486318996,0.0,spline,,26q_readout_raw_data.txt,26q,Bulk_Full,6500.0,-500.0,-500.0
5000.0,5000.0,-4.620409847083602,4000.0,3.4611049878620115,5000.0,-4.620409847083602,0.0,spline,,28q_readout_raw_data.txt,28q,1D_Snake,4500.0,500.0,500.0
15000.0,15000.0,-5.61907451600503,10000.0,5.5060109403076165,15000.0,-5.61907451600503,0.0,spline,,30q_readout_raw_data.txt,30q,2D_Block,12500.0,2500.0,2500.0
15000.0,15000.0,-71.98514224665324,10000.0,69.79865715963459,15000.0,-71.98514224665324,0.0,spline,,32q_readout_raw_data.txt,32q,1D_Snake,17500.0,-2500.0,-2500.0
5000.0,5000.0,-1.458737953688778,4000.0,1.122809715667066,5000.0,-1.458737953688778,0.0,spline,,34q_readout_raw_data.txt,34q,2D_Block,5500.0,-500.0,-500.0
4000.0,4000.0,-0.329452487658013,3000.0,0.2839761108198291,4000.0,-0.329452487658013,0.0,spline,,36q_readout_raw_data.txt,36q,Bulk_Full,3500.0,500.0,500.0
5000.0,5000.0,-6.655170169612535,4000.0,4.572445802888506,5000.0,-6.655170169612535,0.0,spline,,38q_readout_raw_data.txt,38q,Bulk_Full,4500.0,500.0,500.0
3000.0,3000.0,-0.3591059323686471,4000.0,0.23591541167965435,3000.0,-0.3591059323686471,0.0,spline,,39q_readout_raw_data.txt,39q,2D_Block,3500.0,-500.0,-500.0
7000.0,7000.0,-1.0195138439417115,8000.0,0.6795569461241068,7000.0,-1.0195138439417115,0.0,spline,,40q_readout_raw_data.txt,40q,2D_Block,7500.0,-500.0,-500.0
3000.0,3000.0,-0.32396258699478275,4000.0,0.2350004885968507,3000.0,-0.32396258699478275,0.0,spline,,41q_readout_raw_data.txt,41q,2D_Block,3500.0,-500.0,-500.0
10000.0,9000.0,-0.0325020757530587,8000.0,0.026736018873887945,9000.0,-0.0325020757530587,1000.0,spline,,42q_readout_raw_data.txt,42q,2D_Block,8500.0,500.0,1500.0
15000.0,15000.0,-703.9513445017296,10000.0,690.2108236230164,15000.0,-703.9513445017296,0.0,spline,,43q_readout_raw_data.txt,43q,2D_Block,12500.0,2500.0,2500.0
3000.0,3000.0,-0.2744699300560416,4000.0,0.15091927307620967,3000.0,-0.2744699300560416,0.0,spline,,44q_readout_raw_data.txt,44q,2D_Block,3500.0,-500.0,-500.0
15000.0,15000.0,-8.10294757196211,10000.0,7.929822735800213,15000.0,-8.10294757196211,0.0,spline,,45q_readout_raw_data.txt,45q,2D_Block,17500.0,-2500.0,-2500.0
40000.0,8000.0,0.06069829412882846,8000.0,0.06069829412882846,7000.0,-0.05620689664578093,32000.0,spline,,46q_readout_raw_data.txt,46q,Bulk_Full,3500.0,4500.0,36500.0
3000.0,4000.0,0.4460938028080331,4000.0,0.4460938028080331,5000.0,-0.4274196335025543,1000.0,spline,,47q_readout_raw_data.txt,47q,1D_Snake,5500.0,-1500.0,-2500.0
10000.0,9000.0,1.490959282142327,9000.0,1.490959282142327,10000.0,-0.6152490292287716,1000.0,spline,,48q_readout_raw_data.txt,48q,Bulk_Full,9500.0,-500.0,500.0
15000.0,6000.0,-0.04936597826164293,5000.0,0.038006966987040904,6000.0,-0.04936597826164293,9000.0,spline,,49q_readout_raw_data.txt,49q,1D_Snake,750.0,5250.0,14250.0
15000.0,15000.0,-639.180492272819,10000.0,610.8297524708112,15000.0,-639.180492272819,0.0,spline,,50q_readout_raw_data.txt,50q,2D_Block,17500.0,-2500.0,-2500.0
9000.0,7000.0,0.09840524466354332,7000.0,0.09840524466354332,8000.0,-0.07827361087026154,2000.0,spline,,51q_readout_raw_data.txt,51q,Bulk_Full,7500.0,-500.0,1500.0
4000.0,4000.0,-0.1701090131370681,3000.0,0.12227805023704445,4000.0,-0.1701090131370681,0.0,spline,,53q_readout_raw_data.txt,53q,Bulk_Full,3500.0,500.0,500.0
