file,q_label,topology,estimated_N_threshold
14q_readout_raw_data.txt,14q,1D_Snake,6500.0
18q_readout_raw_data.txt,18q,1D_Snake,6500.0
22q_readout_raw_data.txt,22q,1D_Snake,4500.0
28q_readout_raw_data.txt,28q,1D_Snake,4500.0
32q_readout_raw_data.txt,32q,1D_Snake,9500.0
47q_readout_raw_data.txt,47q,1D_Snake,2500.0
49q_readout_raw_data.txt,49q,1D_Snake,5500.0
12q_readout_raw_data.txt,12q,2D_Block,7500.0
16q_readout_raw_data.txt,16q,2D_Block,7500.0
20q_readout_raw_data.txt,20q,2D_Block,7500.0
24q_readout_raw_data.txt,24q,2D_Block,7500.0
30q_readout_raw_data.txt,30q,2D_Block,3500.0
34q_readout_raw_data.txt,34q,2D_Block,6500.0
39q_readout_raw_data.txt,39q,2D_Block,9500.0
40q_readout_raw_data.txt,40q,2D_Block,17500.0
41q_readout_raw_data.txt,41q,2D_Block,1500.0
42q_readout_raw_data.txt,42q,2D_Block,4500.0
43q_readout_raw_data.txt,43q,2D_Block,7500.0
44q_readout_raw_data.txt,44q,2D_Block,9500.0
45q_readout_raw_data.txt,45q,2D_Block,12500.0
50q_readout_raw_data.txt,50q,2D_Block,9500.0
26q_readout_raw_data.txt,26q,Bulk_Full,3500.0
36q_readout_raw_data.txt,36q,Bulk_Full,3500.0
38q_readout_raw_data.txt,38q,Bulk_Full,3500.0
46q_readout_raw_data.txt,46q,Bulk_Full,4500.0
48q_readout_raw_data.txt,48q,Bulk_Full,9500.0
51q_readout_raw_data.txt,51q,Bulk_Full,7500.0
53q_readout_raw_data.txt,53q,Bulk_Full,7500.0
