mode,regime,mean_fisher,mean_gate,n_prompts
baseline,factual,,,7
baseline,mathematical,,,7
baseline,creative,,,7
monitor,factual,639.350718839725,1.0,7
monitor,mathematical,309.86488369295574,1.0,7
monitor,creative,694.0164204710566,1.0,7
active,factual,625.2681430285975,0.5284219456620382,7
active,mathematical,337.3254123252477,0.5110761451900804,7
active,creative,680.306118447226,0.5336984977350637,7
random,factual,609.8895778683166,0.4978865627053892,7
random,mathematical,324.37048615523,0.4978865627053892,7
random,creative,664.785588139165,0.4978865627053892,7
constant,factual,636.7063675168657,0.9203124999999999,7
constant,mathematical,311.8395799061344,0.9203124999999999,7
constant,creative,696.1293072221044,0.9203124999999999,7
inverted,factual,617.1378549602063,0.47380830732955864,7
inverted,mathematical,323.07054146265824,0.5022481894744227,7
inverted,creative,663.4540342208056,0.4701310296056493,7
