step,fisher_value,fisher_ema,z_score,gate_value,action
0,,0.0,,1.0,warmup
1,94.1826400756836,94.1826400756836,0.0,0.92,const
2,121.6114616394043,96.92552223205567,2.9999999963541875,0.92,const
3,139.54104868570963,101.18707487742107,2.5604216054631057,0.92,const
4,465.27739906311035,137.59610729599,2.9749273865546697,0.92,const
5,416.3313491821289,165.4696314846039,1.8744182970023857,0.92,const
6,538.0685844421387,202.7295267803574,1.9823750798824307,0.92,const
7,510.85572705950057,233.54214680827172,1.4973868992518862,0.92,const
8,490.34833240509033,259.22276536795357,1.204759292455973,0.92,const
9,515.2959162394205,284.8300804551003,1.1666316616468908,0.92,const
10,478.7869361877441,304.2257660283647,0.8895484832641314,0.92,const
11,452.83621701327235,319.08681112685554,0.698687462908737,0.92,const
12,455.7603346506755,332.75416347923755,0.6606945037876565,0.92,const
13,435.02227489764874,342.9809746210787,0.5134286066790983,0.92,const
14,465.9528694152832,355.27816410049917,0.6359744612631312,0.92,const
15,442.832590230306,364.03360671347986,0.4713705980431897,0.92,const
16,428.4182696342468,370.4720730055566,0.3627004728110193,0.92,const
17,442.55893797032974,377.6807595020339,0.4237639982050032,0.92,const
18,439.17589441935223,383.83027299376573,0.37801758948292374,0.92,const
19,431.6533857646741,388.6125842708566,0.30823596673882087,0.92,const
20,478.47694206237793,397.59902005000873,0.5982728807903807,0.92,const
21,536.6231293451218,411.50143097952,0.9277915056489069,0.92,const
22,519.7642069729892,422.327708578867,0.7381700526230123,0.92,const
23,506.09863712476647,430.70480143345696,0.5903028200055148,0.92,const
24,493.84199301401776,437.0185205915131,0.4633433113622165,0.92,const
25,482.17385467529294,441.5340539998911,0.3469615285544846,0.92,const
26,475.51739942110504,444.9323885420125,0.27409235028486445,0.92,const
27,504.4134880348488,450.8804984912962,0.49865996043945066,0.92,const
28,546.7557326725552,460.4680219094221,0.81535606788715,0.92,const
29,579.8769696992019,472.4089166884001,1.0081713651725215,0.92,const
30,573.7904070536296,482.5470657249231,0.8640348271970021,0.92,const
31,574.3163745018744,491.72399660261823,0.7949499391840629,0.92,const
32,622.5967495825982,504.81127190061625,1.1101718163724414,0.92,const
33,632.8383090111518,517.6139756116698,1.069553280931164,0.92,const
34,633.9577385687058,529.2483519073735,0.9695458086343084,0.92,const
35,612.6816864013672,537.5916853567729,0.7119602694804141,0.92,const
36,612.6566649406187,545.0981833151575,0.658722070740178,0.92,const
37,612.6332786313949,551.8516928467812,0.6115834369336093,0.92,const
38,608.9695621613533,557.5634797782385,0.5364391059805389,0.92,const
39,614.3518627535913,563.2423180757738,0.5525756341811034,0.92,const
40,626.2749742077243,569.5455836889689,0.6320028059776175,0.92,const
41,635.7959781769783,576.1706231377699,0.6818713295081377,0.92,const
42,642.4383156068864,582.7973923846815,0.6991470504714252,0.92,const
43,668.5787486414755,591.375528010361,0.9091198555737201,0.92,const
44,694.4793843915386,601.6859136484787,1.0752833936197237,0.92,const
45,675.2803123228011,609.045353515911,0.7811361989372362,0.92,const
46,683.440927320911,616.484910896411,0.8020550833856164,0.92,const
47,689.1786533478768,623.7542851415576,0.7964557903139294,0.92,const
48,691.2755397673576,630.5064106041376,0.7547213234067216,0.92,const
49,731.7835777036605,640.6341273140898,1.108773913615623,0.92,const
50,740.7784704392956,650.6485616266103,1.078425714704818,0.92,const
51,746.1507337016444,660.1987788341137,1.0195431108620936,0.92,const
52,700.4315407045426,664.2220550211566,0.4476729715090545,0.92,const
53,699.5915222167969,667.7590017407207,0.4109369517228258,0.92,const
54,705.1672299292779,671.4998245595765,0.4528836790954729,0.92,const
55,722.768066898469,676.6266487934657,0.6392298486734419,0.92,const
56,719.5677236741589,680.920756281535,0.5546363563881918,0.92,const
57,741.4332021897839,686.9720008723599,0.7944566723204995,0.92,const
58,713.0360434747512,689.5784051325991,0.3581206910738101,0.92,const
59,681.7978488552955,688.8003495048688,-0.112608419431919,0.92,const
60,643.0659723589497,684.2269117902769,-0.6795834284890585,0.92,const
61,640.1079044957315,679.8150110608224,-0.6734075013591098,0.92,const
62,630.7458124468403,674.9080911994242,-0.7634836304933109,0.92,const
63,596.0459104968655,667.0218731291684,-1.1877302269642498,0.92,const
64,591.4145589028635,659.4611417065379,-1.1144160711877136,0.92,const
65,616.4092823151619,655.1559557674003,-0.6528584386848236,0.92,const
66,593.8714016329858,649.0275003539589,-0.9312280686503474,0.92,const
67,601.982800637522,644.3230303823152,-0.7308190757021675,0.92,const
68,585.4045929447298,638.4311866385567,-0.9184556441336198,0.92,const
69,588.884399660172,633.4765079407183,-0.7857244812580337,0.92,const
70,608.3852364324754,630.967380789894,-0.4153867850565628,0.92,const
71,577.4752581196446,625.6181685228692,-0.8913153023365004,0.92,const
72,567.5694712977255,619.8132988003548,-0.9653346912073482,0.92,const
73,559.9526544386341,613.8272343641828,-0.9904745935153555,0.92,const
74,523.6541816957536,604.8099290973399,-1.3929336778473038,0.92,const
75,496.7853216355847,594.0074683511643,-1.517374118313496,0.92,const
76,501.45471683625254,584.7521931996732,-1.2464832984313052,0.92,const
77,499.3274654265373,576.2097204223596,-1.1243285405867356,0.92,const
78,521.391828967679,570.7279312768916,-0.7372006019501164,0.92,const
79,502.9207118864982,563.9472093378523,-0.9153719148392268,0.92,const
80,456.1688503142326,553.1693734354903,-1.3655709448943298,0.92,const
81,450.07327418173514,542.8597635101148,-1.2513940389825509,0.92,const
82,407.2591390302104,529.2997010621244,-1.5018956852711483,0.92,const
83,416.9502263222971,518.0647535881417,-1.2018257925208362,0.92,const
84,431.0956204322077,509.3678402725483,-0.9321148174101688,0.92,const
85,477.1115309192288,506.14220933721634,-0.36175704042756246,0.92,const
86,585.0643979964718,514.0344282031419,0.8909067132025247,0.92,const
87,620.3394014912267,524.6649255319504,1.1655554480312666,0.92,const
88,594.954450791882,531.6938780579436,0.7841208314110594,0.92,const
89,593.0531534994802,537.8298056020973,0.7015206909318168,0.92,const
90,601.6550270818894,544.2123277500765,0.7450853063523599,0.92,const
91,594.6578826904297,549.2568832441118,0.607871585975563,0.92,const
92,619.9394112863848,556.3251360483391,0.8601101311947852,0.92,const
93,620.8891537574029,562.7815378192455,0.7982959030111565,0.92,const
94,613.2178753268335,567.8251715700044,0.6421145867260523,0.92,const
95,620.4202501850743,573.0846794315114,0.6870588210804224,0.92,const
96,663.5063688216671,582.126848370527,1.149979649767977,0.92,const
97,677.731194280809,591.6872829615552,1.1786098514048946,0.92,const
98,701.5881751275832,602.6773721781581,1.2894870974459007,0.92,const
99,689.552495156565,611.3648844759988,1.0115392525161837,0.92,const
100,694.5787176316784,619.6862677915668,0.9668277043314046,0.92,const
101,683.1290302891886,626.030544041329,0.7521701814411144,0.92,const
102,711.0615108859155,634.5336407257877,1.0016663277959181,0.92,const
103,735.3356350314233,644.6138401563512,1.1551682902876066,0.92,const
104,742.4980756698117,654.4022637076973,1.1000491567758124,0.92,const
105,778.0631499751921,666.768352334447,1.3163549941866803,0.92,const
106,833.171269816737,683.408644082676,1.5852044763212305,0.92,const
107,859.2729977023217,700.9950794446405,1.521863390760053,0.92,const
108,868.7318649291992,717.7687579930964,1.3630118220263387,0.92,const
109,890.8361090383222,735.075493097619,1.3290024120722166,0.92,const
110,890.5808260517736,750.6260263930344,1.1607065975563424,0.92,const
111,888.4849058581937,764.4119143395503,1.0200308461815824,0.92,const
112,902.5179012667749,778.2225130322728,1.0137702730193037,0.92,const
113,912.8681534797914,791.6870770770247,0.9841752446404494,0.92,const
114,931.1303703554215,805.6314064048645,1.0114702144853776,0.92,const
115,956.2419465587985,820.6924604202579,1.0750842140553423,0.92,const
116,900.4609510360226,828.6693094818345,0.5885386004199298,0.92,const
117,771.366341621645,822.9390126958156,-0.44081829910881776,0.92,const
118,734.99807148595,814.144918574829,-0.6937727460702375,0.92,const
119,731.6600391018775,805.896430627534,-0.6686733972255156,0.92,const
120,725.6440877606792,797.8711963408485,-0.6685226331353341,0.92,const
121,719.2357546898627,790.00765217575,-0.6728937653059013,0.92,const
122,745.457136338757,785.5526005920507,-0.39828879354281116,0.92,const
123,717.2958145141602,778.7269219842617,-0.6289408660556932,0.92,const
124,713.231081316548,772.1773379174904,-0.6223084006818795,0.92,const
125,735.1363035632718,768.4732344820686,-0.3681783996889281,0.92,const
126,745.9918806014523,766.2250990940071,-0.23482367148160183,0.92,const
127,675.2286583685105,757.1254550214574,-0.9503015133633305,0.92,const
128,662.493383592175,747.6622478785291,-0.9840863070858222,0.92,const
129,649.3941266459804,737.8354357552743,-1.013804243163205,0.92,const
130,656.0435702416205,729.6562492039088,-0.8527753554345766,0.92,const
131,656.5274343182964,722.3433677153477,-0.7763205300090977,0.92,const
132,644.5362696493826,714.5626579087511,-0.83616139415917,0.92,const
133,655.2424601893271,708.6306381368087,-0.6557253886502721,0.92,const
134,631.8312427151587,700.9506985946438,-0.8575253028267412,0.92,const
135,641.1966424757435,694.9752929827537,-0.6847274965560154,0.92,const
136,615.722896452873,687.0500533297657,-0.9119811390743123,0.92,const
137,574.0202361076109,675.7470716075502,-1.2469753068349132,0.92,const
138,550.7175627677672,663.2441207235719,-1.3084028183314063,0.92,const
139,597.5007383285031,656.669782484065,-0.7049000330325619,0.92,const
140,543.9865259970388,645.4014568353623,-1.1722858692362845,0.92,const
141,558.8231634324596,636.743627495072,-0.9051792166616537,0.92,const
142,618.5865040440714,634.927915149972,-0.19965831614276255,0.92,const
143,710.4549516247165,642.4806187974465,0.8403806318395897,0.92,const
144,700.1707886726625,648.2496357849681,0.6600541382847578,0.92,const
145,707.0660208425214,654.1312742907235,0.6903064879922467,0.92,const
146,683.0263322399509,657.0207800856463,0.3549640831043461,0.92,const
147,704.3787743353074,661.7565795106124,0.6008191685797926,0.92,const
148,728.9001612509451,668.4709376846456,0.8602082373894444,0.92,const
149,739.6356139644499,675.5874053126261,0.9152271867369537,0.92,const
150,763.3701701010427,684.3656817914678,1.1061661766886666,0.92,const
151,789.1094431723318,694.8400579295542,1.2621651000694667,0.92,const
152,788.1289035427955,704.1689424908784,1.1020868148439045,0.92,const
153,796.5637140581684,713.4084196476074,1.0742702749845183,0.92,const
154,862.346814801616,728.3022591630083,1.5593956661203439,0.92,const
155,859.3522912302325,741.4072623697307,1.3028209738894079,0.92,const
156,832.9320400607202,750.5597401388297,0.9135517091227332,0.92,const
157,810.3662658199187,756.5403927069386,0.6158466874699983,0.92,const
158,846.335924702306,765.5199459064754,0.9269741711212172,0.92,const
159,855.7921939972908,774.5471707155571,0.9335341950277851,0.92,const
160,885.1624037219632,785.6086940161977,1.1187972965069437,0.92,const
161,875.0516131001134,794.5529859245893,0.9087831163751545,0.92,const
162,866.7561921150453,801.7733065436349,0.7488252199615725,0.92,const
163,870.7224938177293,808.6682252710444,0.7310366013189864,0.92,const
164,840.9422735398815,811.8956300979281,0.35811754388036543,0.92,const
165,857.3694389097152,816.4430109791069,0.5237110988801127,0.92,const
166,856.41018086095,820.4397279672912,0.4789671730543947,0.92,const
167,850.6592761624244,823.4616827868045,0.37868771644400584,0.92,const
168,844.7987346033896,825.595387968463,0.28060683607463477,0.92,const
169,843.9063366305444,827.4264828346712,0.2529323411274167,0.92,const
170,788.0719427293346,823.4910288241375,-0.5628413469101009,0.92,const
171,821.6579166535408,823.3077176070778,-0.02763379382385701,0.92,const
172,839.3441762616558,824.9113634725356,0.25390871007424864,0.92,const
173,788.5856234642768,821.2787894717097,-0.5942516940449964,0.92,const
174,712.1570739746094,810.3666179219997,-1.5940644636478083,0.92,const
175,747.1859012726815,804.0485462570679,-0.9254315903310226,0.92,const
176,728.2409136372228,796.4677829950833,-1.0903966172708297,0.92,const
177,744.7759753811744,791.2986022336925,-0.7582904920815872,0.92,const
178,778.2079900926159,789.9895410195849,-0.20196041002761375,0.92,const
179,763.1473103184854,787.3053179494749,-0.4319705698102251,0.92,const
180,758.5415413148942,784.4289402860168,-0.4816046095272357,0.92,const
181,750.2865206810736,781.0146983255224,-0.5907843903210862,0.92,const
182,727.0986052482359,775.6230890177939,-0.9344780254020996,0.92,const
183,761.0294110698085,774.1637212229954,-0.2655741364115413,0.92,const
184,773.7417267830141,774.1215217789972,-0.008094777448514407,0.92,const
185,722.6864328692036,768.9780128880179,-0.9826358777557385,0.92,const
186,791.802493679908,771.2604609672069,0.4543331372870712,0.92,const
187,807.1007493542087,774.8444898059071,0.7294419303528255,0.92,const
188,808.9689065256426,778.2569314778806,0.7112174808123322,0.92,const
189,819.4471504457536,782.3759533746679,0.8663638419208917,0.92,const
190,818.8428265971522,786.0226406969164,0.7806533636318359,0.92,const
191,854.5659278131301,792.8769694085378,1.3747377601334865,0.92,const
192,853.71352189587,798.9606246572711,1.1821115047747488,0.92,const
193,847.488350775934,803.8133972691373,0.9435091151299152,0.92,const
194,832.4536722244754,806.6774247646713,0.5760426808752054,0.92,const
195,821.6421620768886,808.1738984958931,0.31550784885952393,0.92,const
196,803.5704856380339,807.7135572101072,-0.1022462430703526,0.92,const
197,801.7173716637396,807.1139386554705,-0.1402317187844942,0.92,const
198,826.8845627077164,809.0910010606951,0.4810756284294847,0.92,const
199,862.7241081730012,814.4543117719259,1.2504446004572518,0.92,const
200,857.0440603686917,818.7132866316025,0.9882610233661535,0.92,const
201,850.9151093267625,821.9334689011184,0.7618178283828393,0.92,const
202,820.8189572980327,821.8220177408099,-0.027791717125186088,0.92,const
203,790.6059239295221,818.7004083596811,-0.7914493815276115,0.92,const
204,795.1426040895524,816.3446279326682,-0.6161678214426435,0.92,const
205,763.2657356262207,811.0367387020235,-1.315264554173,0.92,const
206,731.4459448783629,803.0776593196574,-1.7087262055820887,0.92,const
207,716.8166172888971,794.4515551165814,-1.6362049504635527,0.92,const
208,701.9699553212812,785.2033951370514,-1.5741022842439094,0.92,const
209,664.8818874974405,773.1712443730903,-1.7522386524662932,0.92,const
210,662.7232659862888,762.1264465344102,-1.476042291065355,0.92,const
211,661.7190324106524,752.0857051220345,-1.2793743489204634,0.92,const
212,649.8794229568973,741.8650769055208,-1.2482653511049981,0.92,const
213,653.7556712242865,733.0541363373974,-1.0609980820397014,0.92,const
214,607.1748163777013,720.4662043414278,-1.4102604180120066,0.92,const
215,570.2923376021847,705.4488176675036,-1.5266466715292382,0.92,const
216,570.9333445641303,691.9972703571663,-1.2992445802952912,0.92,const
217,510.95431900024414,673.8929752214741,-1.5704836651281826,0.92,const
218,534.9046678850727,659.994144487834,-1.1702176343036568,0.92,const
219,533.7331935513404,647.3680493941847,-1.0497251524420863,0.92,const
220,488.8391264638593,631.5151571011522,-1.260672562222999,0.92,const
221,479.535341693509,616.3171755603879,-1.1726171389254152,0.92,const
222,398.17575208602415,594.5030332129516,-1.5270873806719514,0.92,const
223,414.0852120922458,576.461251100881,-1.2168819270410927,0.92,const
224,429.8954416090442,561.8046701516973,-0.9843417593097284,0.92,const
225,546.1152929490612,560.2357324314337,-0.11099418878575404,0.92,const
226,598.458992250504,564.0580584133407,0.28375893095894555,0.92,const
227,603.9568279635522,568.0479353683619,0.31054228187630595,0.92,const
228,598.1388879591419,571.0570306274399,0.2460426411863052,0.92,const
229,576.5680113761656,571.6081287023125,0.04749278693391123,0.92,const
230,597.5436248779297,574.2016783198742,0.23487508380441066,0.92,const
231,629.8009067658455,579.7616011644714,0.5226338026982517,0.92,const
232,647.643297749181,586.5497708229424,0.6563121243715972,0.92,const
233,656.4996820265247,593.5447619433007,0.6935781684586529,0.92,const
234,659.240974672379,600.1143832162086,0.6693293548288828,0.92,const
235,704.897445186492,610.5926894132369,1.053618813143649,0.92,const
236,701.8878956456339,619.7222100364767,0.9209307215832908,0.92,const
237,754.4714291480279,633.1971319476319,1.292906463356476,0.92,const
238,792.1320953369141,649.0906282865601,1.4168785655092846,0.92,const
239,797.3523141184161,663.9167968697457,1.263607435815209,0.92,const
240,792.5307897752331,676.7781961602944,1.0782388683433666,0.92,const
241,790.5883606941469,688.1592126136798,0.9535816208142113,0.92,const
242,792.9390997117565,698.6372013234875,0.8842926334443372,0.92,const
243,798.8191301899571,708.6553942101345,0.8543213522692255,0.92,const
244,812.8613783313382,719.075992622255,0.8941344212112091,0.92,const
245,869.9050923009073,734.1589025901202,1.2418245477543206,0.92,const
246,888.2930327384703,749.5723156049552,1.2217305824178843,0.92,const
247,876.4339107390373,762.2584751183633,0.9994051066027786,0.92,const
248,882.1705164755545,774.2496792540825,0.9450574140652916,0.92,const
249,846.6623978153352,781.4909511102078,0.5898321694826187,0.92,const
250,872.9100666661417,790.6328626658012,0.7593655522283975,0.92,const
251,930.1213157407699,804.5817079732981,1.1311771018706274,0.92,const
252,931.4915166055002,817.2726888365183,1.020187945576109,0.92,const
253,924.3913465930569,827.9845546121721,0.8687780850636637,0.92,const
254,906.1756818217616,835.8036673331312,0.6524657862145711,0.92,const
255,890.1890455676663,841.2422051565848,0.4723990147854671,0.92,const
