step,fisher_value,fisher_ema,z_score,gate_value,action
0,,0.0,,1.0,warmup
1,154.38156127929688,154.38156127929688,0.0,0.92,const
2,152.22692108154297,154.16609725952148,-2.999999953593232,0.92,const
3,389.3788197835286,177.68736951192218,2.999886723792954,0.92,const
4,358.3979606628418,195.75842862701415,1.8880030104587655,0.92,const
5,372.0841583251953,213.39100159683227,1.6301466281157853,0.92,const
6,372.4143244425456,229.2933338814036,1.376857070614378,0.92,const
7,344.1605704171317,240.78005753497644,0.9896567135255402,0.92,const
8,446.3250389099121,261.33455567247,1.584924740638108,0.92,const
9,413.8921881781684,276.59031892303983,1.145950632132792,0.92,const
10,462.42043151855466,295.1733301825913,1.3210495599585779,0.92,const
11,458.54363736239344,311.5103609005715,1.1334666197635748,0.92,const
12,435.47973759969074,323.9072985704835,0.8678619726272481,0.92,const
13,485.82630450908954,340.0991991643441,1.110044991957228,0.92,const
14,466.9786180768694,352.78714105559663,0.8768425328334855,0.92,const
15,458.07103271484374,363.3155302215214,0.7430589802787686,0.92,const
16,441.8614673614502,371.17012393551425,0.5735587725315318,0.92,const
17,426.86167369169345,376.7392789111322,0.4243588915462829,0.92,const
18,425.7083324856228,381.63618426858125,0.38998119588660957,0.92,const
19,433.42589609246505,386.8151554509696,0.4302600778743578,0.92,const
20,481.45383224487307,396.27902313036,0.7988489059932323,0.92,const
21,465.8246554420108,403.2335863615251,0.6060343262522633,0.92,const
22,450.40011284568095,407.95023900994073,0.42880288060588245,0.92,const
23,468.32581329345703,413.9877964382924,0.5681115285333225,0.92,const
24,463.06123065948486,418.89513986041163,0.48045782801121656,0.92,const
25,491.32500213623047,426.13812608799356,0.7253141279986575,0.92,const
26,516.9396758446327,435.2182810636575,0.913008774669621,0.92,const
27,513.5887651796694,443.05532947525876,0.8005217868477884,0.92,const
28,505.453099659511,449.295106493684,0.6556049350762387,0.92,const
29,497.41731498981346,454.1073273432969,0.5247469917889387,0.92,const
30,507.71819330851235,459.4684139398185,0.6036179149357616,0.92,const
31,504.31680273240613,463.95325281907725,0.5240884600933062,0.92,const
32,511.13734460646106,468.67166199781565,0.5705989728901242,0.92,const
33,543.1571352558751,476.1202093236216,0.9052243170807085,0.92,const
34,548.3801222770445,483.3462006189639,0.8845293737323203,0.92,const
35,555.8319694765153,490.59477750471905,0.8929026992465006,0.92,const
36,587.9583368609028,500.33113344033745,1.165011231709086,0.92,const
37,587.3834752728862,509.03636762359235,1.0310883757622489,0.92,const
38,595.1835649551883,517.651087356752,1.0124589631783354,0.92,const
39,567.4914695985856,522.6351255809353,0.6047663706145431,0.92,const
40,587.9218540806925,529.163798430911,0.8044624060981806,0.92,const
41,587.1889616443265,534.9663147522526,0.7309480766005781,0.92,const
42,589.1249712051883,540.3821803975462,0.6993331556973361,0.92,const
43,594.3045518936649,545.7744175471581,0.7129205995171188,0.92,const
44,586.5013568016791,549.8471114726102,0.5576937578107416,0.92,const
45,617.9208548761184,556.6544858129611,0.9337797692549659,0.92,const
46,638.0090162215695,564.7899388538219,1.095140713313195,0.92,const
47,641.8840772567257,572.4993526941123,1.0277328346578651,0.92,const
48,641.5596286404517,579.4053802887462,0.92332786400508,0.92,const
49,641.3127020559003,585.5961124654616,0.837757106417544,0.92,const
50,639.5935011832945,590.9958513372449,0.7460457167278696,0.92,const
51,602.3010640298166,592.1263726065021,0.16439821477122038,0.92,const
52,600.3878853090348,592.9525238767553,0.12652318054744893,0.92,const
53,607.6551845919702,594.4227899482768,0.23660844762134997,0.92,const
54,613.2639039562595,596.306901349075,0.317810973874946,0.92,const
55,613.9473323206747,598.070944446235,0.3119532403941062,0.92,const
56,629.3619933589812,601.2000493375097,0.5725611885217285,0.92,const
57,607.9992417366274,601.8799685774214,0.13101569171032051,0.92,const
58,604.9252454696164,602.1844962666408,0.06184138735289014,0.92,const
59,624.206433450022,604.386689984979,0.4656829470011773,0.92,const
60,632.1677017211914,607.1647911586002,0.6064588036004468,0.92,const
61,649.7835326656218,611.4266653093024,0.9321502116642851,0.92,const
62,658.3424945954354,616.1182482379157,1.0175254860566192,0.92,const
63,656.0486605244298,620.1112894665671,0.8733320366819923,0.92,const
64,645.5322656939106,622.6533870893015,0.5751930696367006,0.92,const
65,623.7108870475523,622.7591370851267,0.025221166905547186,0.92,const
66,629.0789526662519,623.3911186432392,0.15865719711678614,0.92,const
67,586.7328353389616,619.7252903128116,-0.9230205639723595,0.92,const
68,578.5490939232611,615.6076706738565,-1.0268473707194226,0.92,const
69,572.3123749763735,611.2781411041083,-1.0640980272140594,0.92,const
70,566.6847785211379,606.8188048458113,-1.0781084810006722,0.92,const
71,557.5263972128591,601.8895640825161,-1.1586996103660865,0.92,const
72,537.5670279225996,595.4573104665245,-1.4074973648418772,0.92,const
73,546.3676398492629,590.5483434047983,-1.0593380983826453,0.92,const
74,548.0444508214151,586.2979541464599,-0.9202256056076863,0.92,const
75,550.4198997251449,582.7101487043284,-0.789899503832746,0.92,const
76,523.9244753929877,576.8315813731944,-1.2418699474446213,0.92,const
77,522.133548367408,571.3617780726157,-1.1285520158948101,0.92,const
78,558.4109895767704,570.0666992230312,-0.2804265497951829,0.92,const
79,642.8230772941344,577.3423370301415,1.4528908321460063,0.92,const
80,716.0650196690714,591.2146052940344,2.092475878662972,0.92,const
81,701.6275866108556,602.2559034257166,1.5151821265218843,0.92,const
82,696.2130784065492,611.6516209237999,1.2379880001947332,0.92,const
83,697.0045887116463,620.1869177025845,1.102498223172315,0.92,const
84,688.9574267479682,627.0639686071229,0.8938286478122517,0.92,const
85,662.1940905663275,630.5769808030434,0.47521721694795366,0.92,const
86,695.9903709657731,637.1183198193163,0.8906780335666471,0.92,const
87,652.7222071001606,638.6787085474008,0.2233360508145108,0.92,const
88,664.2622934156849,641.2370670342292,0.38282567118809413,0.92,const
