step,fisher_value,fisher_ema,z_score,gate_value,action
0,,0.0,,1.0,warmup
1,92.61106872558594,92.61106872558594,0.0,0.92,const
2,127.98601531982422,96.14856338500978,2.9999999971731874,0.92,const
3,494.6154327392578,135.9952503204346,2.989416289206282,0.92,const
4,537.6343955993652,176.15916484832766,2.180954504403865,0.92,const
5,502.20171813964845,208.76342017745975,1.5846342442382861,0.92,const
6,489.7719243367513,236.8642705933889,1.2979271137791544,0.92,const
7,432.95033155168807,256.4728766892188,0.9097245129012644,0.92,const
8,404.0361089706421,271.22919991736114,0.7016256476105955,0.92,const
9,372.6261435614692,281.368894281772,0.5010573179791112,0.92,const
10,345.53693237304685,287.7856980908995,0.3321858963729794,0.92,const
11,327.7273212779652,291.77986040960604,0.21738207871798645,0.92,const
12,339.74230829874676,296.5761051985201,0.27400535468582965,0.92,const
13,360.6843578632061,302.9869304649887,0.38289870991523506,0.92,const
14,395.4894223894392,312.2371796574338,0.571701713489003,0.92,const
15,416.3730865478516,322.65077034647555,0.6617064007366854,0.92,const
16,426.55657863616943,333.04135117544496,0.6779547056697957,0.92,const
17,430.15124242446,342.7523403003465,0.651926550744256,0.92,const
18,414.23526085747613,349.9006323560594,0.4988025727183636,0.92,const
19,411.2589440596731,356.0364635264208,0.4462918403645564,0.92,const
20,403.89424057006835,360.8222412307856,0.36421053189818836,0.92,const
21,398.6727040608724,364.6072875137943,0.3020903413220678,0.92,const
22,388.89241166548294,367.0357999289632,0.20383554884572724,0.92,const
23,408.3694192637568,371.16916186244254,0.36301021163653974,0.92,const
24,415.4655024210612,375.5987959183044,0.40629563090974435,0.92,const
25,429.4741796875,380.98633429522397,0.5132084757379566,0.92,const
26,456.2157639723558,388.50927726293713,0.7325232055078285,0.92,const
27,451.07249959309894,394.7655994959533,0.6279191955648327,0.92,const
28,453.79788099016463,400.6688276453745,0.6114213007308702,0.92,const
29,443.65538708917023,404.96748358975407,0.46367344874077926,0.92,const
30,438.5138203938802,408.3221172701667,0.3783740680411199,0.92,const
31,432.88220510175154,410.7781260533252,0.2906279521003116,0.92,const
32,440.7269488919166,413.77300833718436,0.3707018900495061,0.92,const
33,442.2860319076046,416.6243106942264,0.3691928227764473,0.92,const
34,409.49369073683215,415.911248698487,-0.09727194547295435,0.92,const
35,393.9712849278604,413.7172523214243,-0.31375218536049415,0.92,const
36,386.78371109501006,411.02389819878294,-0.4023296285199305,0.92,const
37,377.847900390625,407.70629841796716,-0.5146418168668102,0.92,const
38,379.86099169331214,404.92176774550165,-0.4501597520293877,0.92,const
39,376.93924368581463,402.12351533953296,-0.47093637570613717,0.92,const
40,394.4239932644752,401.3535631320272,-0.13644831944159197,0.92,const
41,400.6229681199597,401.2805036308205,-0.013647571454104026,0.92,const
42,404.232661585654,401.57571942630386,0.058118647262083475,0.92,const
43,393.2152557373047,400.73967305740393,-0.1732048249380687,0.92,const
44,381.5980928482548,398.82551503648904,-0.41400989043837577,0.92,const
45,364.9835022957094,395.4413137624111,-0.7472395317928776,0.92,const
46,353.000968194777,391.19727920564765,-0.9382327046986876,0.92,const
47,343.03958769767513,386.3815100548504,-1.051083079572564,0.92,const
48,335.2414112706338,381.26750017642877,-1.0953295124582847,0.92,const
49,336.20272236485636,376.76102239527154,-0.9635156610711781,0.92,const
50,328.4864984327747,371.93356999902187,-1.022791334677618,0.92,const
51,324.6771860430318,367.2079316034229,-0.9955700707034464,0.92,const
52,326.6792907714844,363.155067520229,-0.8620611770326807,0.92,const
53,331.739742648217,360.01353503302784,-0.6857161056659286,0.92,const
54,318.50777558357487,355.86295908808256,-0.9099786526598588,0.92,const
55,302.4175306750882,350.5184162467831,-1.1421184802133733,0.92,const
56,288.315675797001,344.2981422018049,-1.269522103335493,0.92,const
57,259.3420651343561,335.80253449506006,-1.5608433045397503,0.92,const
58,251.02776853499873,327.32505789905395,-1.4402047548299188,0.92,const
59,239.23351706227947,318.51590381537653,-1.3962391125438873,0.92,const
60,260.70158287786666,312.7344717216256,-0.9194347279921088,0.92,const
61,270.5158174576298,308.512606295226,-0.6888233350901695,0.92,const
62,271.8206545922064,304.84341112492405,-0.6175211483177282,0.92,const
63,269.38609313964844,301.29767932639646,-0.6156346642948731,0.92,const
64,273.9383795953566,298.5617493532925,-0.4938945327766677,0.92,const
65,287.6259076518397,297.4681651831472,-0.2075954877558523,0.92,const
66,300.04310657132055,297.7256593219646,0.051516665481707455,0.92,const
67,304.60074246314264,298.4131676360824,0.14482064590536642,0.92,const
68,308.00388459236393,299.37223933171055,0.212417817981708,0.92,const
69,310.1968482232863,300.4547002208682,0.2518229881708033,0.92,const
70,314.0405736123362,301.813287560015,0.3311218543630529,0.92,const
71,305.3568420410156,302.1676430081151,0.09099515556806446,0.92,const
72,300.87107849121094,302.03798655642464,-0.03509314728967599,0.92,const
73,297.2229766845703,301.5564855692392,-0.13723006449929595,0.92,const
74,299.2436321627709,301.3252002285924,-0.06946443126867943,0.92,const
75,296.8321114816973,300.8758913539029,-0.1420857349869435,0.92,const
76,290.51392782888104,299.83969500140074,-0.3431363360946669,0.92,const
77,284.864019578503,298.342127459111,-0.5149852596253582,0.92,const
78,291.3289775233115,297.64081246553104,-0.25330664492102434,0.92,const
79,299.9749529438634,297.8742265133643,0.08882776521346115,0.92,const
80,298.47176730248236,297.9339805922761,0.023969235650107657,0.92,const
81,300.28392176474296,298.1689747095228,0.09930801176404686,0.92,const
82,304.3169900217364,298.78377624074415,0.2727337190417642,0.92,const
83,301.91306821761594,299.09670543843134,0.14615467850784383,0.92,const
84,298.6210026894846,299.0491351635367,-0.023418970989421587,0.92,const
85,290.33033211000503,298.1772548581835,-0.4473876581742683,0.92,const
86,290.4288763230847,297.4024170046736,-0.41506841103105446,0.92,const
