step,fisher_value,fisher_ema,z_score,gate_value,action
0,,0.0,,1.0,warmup
1,140.33261108398438,140.33261108398438,0.0,0.5,inv
2,144.73956298828125,140.77330627441407,2.9999999773053285,0.04742587357759476,inv
3,639.8332112630209,190.67929677327476,2.9998947352413032,0.04743063449859619,inv
4,628.5212249755859,234.46348959350587,2.03683887753952,0.11538901925086975,inv
5,975.5444213867188,308.5715827728272,2.3135077012995473,0.09001041203737259,inv
6,840.6853103637695,361.7829555319214,1.512263577036845,0.18060357868671417,inv
7,767.1482827322824,402.3194882519575,1.1256394861749035,0.24496671557426453,inv
8,738.800127029419,435.9675521297037,0.9357604133373933,0.28175750374794006,inv
9,702.9664866129557,462.6674455780289,0.7573443738577321,0.3192231059074402,inv
10,799.5686416625977,496.3575651864858,0.9549218407866252,0.27789607644081116,inv
11,769.0064489191228,523.6224535597495,0.7861400084189916,0.31299808621406555,inv
12,734.3395347595215,544.6941616797267,0.6263217591668676,0.348345011472702,inv
13,763.7099855863131,566.5957440703853,0.6689262519558142,0.3387373089790344,inv
14,753.2654517037528,585.262714833722,0.5892662214036843,0.3568032383918762,inv
15,722.334809366862,598.9699242870361,0.45092397733840667,0.3891410827636719,inv
16,688.7656812667847,607.9494999850109,0.30971485265147397,0.423184335231781,inv
17,695.8850986256319,616.743059849073,0.31790509058484995,0.4211863577365875,inv
18,746.5906600952148,629.7278198736872,0.4882214693688275,0.38031265139579773,inv
19,784.1802295885587,645.1730608451744,0.5997888166678768,0.35439202189445496,inv
20,812.7750877380371,661.9332635344607,0.6687940789273962,0.3387669026851654,inv
21,778.5647423153832,673.5964114125529,0.48414705058843643,0.3812733292579651,inv
22,747.9891360889782,681.0356838801955,0.3236153457178395,0.4197949171066284,inv
23,774.5989834329356,690.3920138354695,0.42470439061429305,0.395391583442688,inv
24,797.4764254887899,701.1004550008015,0.5050597447471669,0.37635236978530884,inv
25,827.2595852661133,713.7163680273327,0.6139371504382249,0.3511615991592407,inv
26,813.7837938161997,723.7231106062194,0.5059537157734945,0.37614256143569946,inv
27,796.4157039501049,730.992369940608,0.38423361775714454,0.40510621666908264,inv
28,776.3279715946743,735.5259301060146,0.25170354512643967,0.43740421533584595,inv
29,766.3875587726461,738.6120929726778,0.18028595723347507,0.45505017042160034,inv
30,759.5802106221516,740.7089047376252,0.12899693483277225,0.46779540181159973,inv
31,739.5630436558878,740.5943186294514,-0.007430693166460602,0.5018576383590698,inv
32,752.8518078711725,741.8200675536236,0.08375453067967724,0.4790736436843872,inv
33,800.975727942682,747.7356335925296,0.42183772472169395,0.39607706665992737,inv
34,759.1497125933247,748.877041492609,0.08576126893527963,0.478572815656662,inv
35,743.8032836914062,748.3696657124888,-0.04018091701536195,0.5100438594818115,inv
36,674.3705695367629,740.9697560949162,-0.6050321234886675,0.6468067169189453,inv
37,685.4076725129158,735.4135477367163,-0.4728745923339907,0.6160638928413391,inv
38,685.3699252220893,730.4091854852536,-0.4440027124059381,0.609212338924408,inv
39,676.5997058499244,725.0282375217207,-0.4963048695752373,0.6215905547142029,inv
40,680.4697403446321,720.5723878040119,-0.42876324835359436,0.6055783033370972,inv
41,631.3584343694871,711.6509924605595,-0.8663428442098756,0.7039841413497925,inv
42,620.8779685728011,702.5736900717836,-0.8875680622126007,0.7083880305290222,inv
43,613.248034077306,693.6411244723358,-0.8801475884565331,0.7068527936935425,inv
44,583.6014975270917,682.6371617778115,-1.0680186178428124,0.7442198991775513,inv
45,569.793946789157,671.352840278946,-1.0774471344990846,0.7460106015205383,inv
46,582.7435898319368,662.4919152342451,-0.8548495141740157,0.7015834450721741,inv
47,584.4866042598601,654.6913841368065,-0.7668994438709881,0.6828498244285583,inv
48,567.8197036250945,646.0042160856353,-0.8622780665902872,0.7031363844871521,inv
49,547.6222155171056,636.1660160287825,-0.9736327996869025,0.7258430123329163,inv
50,513.3186620896862,623.8812806348728,-1.1784955195468498,0.7646771669387817,inv
51,499.1997281966671,611.4131253910523,-1.1623172420973467,0.761753499507904,inv
52,513.1729106287802,601.589103914825,-0.9189567292200487,0.7148294448852539,inv
53,520.5783383769374,593.4880273610363,-0.7718873355673188,0.6839290261268616,inv
54,485.42933187177107,582.6821578121098,-1.0205689197500263,0.7350834012031555,inv
55,473.5576159569525,571.7697036265942,-1.021471376949192,0.7352591156959534,inv
56,430.83881082842424,557.6766143467771,-1.261616691134836,0.7793042659759521,inv
57,421.54395589520857,544.0633485016203,-1.1808795346430367,0.7651059627532959,inv
58,418.4825943977602,531.5052730912344,-1.0724015410048757,0.7450533509254456,inv
59,419.70389507662867,520.3251352897738,-0.9541219575349545,0.7219433784484863,inv
60,412.77185772311304,509.5698075331078,-0.9208154436794298,0.7152082324028015,inv
61,402.69497213056013,498.88232399285306,-0.9182141956042434,0.7146781086921692,inv
62,439.70812619117,492.96490421268476,-0.5275442719896924,0.6289101839065552,inv
63,435.94688390916394,487.2631021823327,-0.527470992091317,0.6288930177688599,inv
64,405.87796143562565,479.124588107662,-0.7672242905773607,0.6829201579093933,inv
65,414.89189221782067,472.7013185186779,-0.6243074256122368,0.6511975526809692,inv
66,415.32943430254534,466.96413009706464,-0.5768200315650941,0.6403353214263916,inv
67,427.6059102704448,463.02830811440265,-0.4131403986059899,0.6018406748771667,inv
68,420.0749319753339,458.7329705004958,-0.46941356622685965,0.61524498462677,inv
69,421.70523908061364,455.0301973585076,-0.4222972074671552,0.6040328145027161,inv
70,461.4001135057019,455.6671889732271,0.07655298393444526,0.4808711111545563,inv
71,452.4976142144972,455.3502314973541,-0.04014849393974172,0.5100357532501221,inv
72,456.92010301159274,455.50721864877795,0.020960445685488042,0.49476009607315063,inv
73,488.92041507844004,458.84853829174415,0.46458173465196995,0.38589948415756226,inv
74,543.0545334354524,467.269137806115,1.1413399830660944,0.2420744001865387,inv
75,565.2661905596333,477.06884308146687,1.268742137562963,0.21947264671325684,inv
76,570.306637671686,486.3926225404888,1.171411175669094,0.23660001158714294,inv
77,568.891870314075,494.64254731784746,1.0266008275745786,0.26374363899230957,inv
78,585.9716373566658,503.7754563217293,1.1125323860403364,0.24739907681941986,inv
79,587.3374948809223,512.1316601776485,1.0103039738247572,0.26692038774490356,inv
80,571.2127094884073,518.0397651087244,0.7303055900749931,0.32512766122817993,inv
81,598.74462890625,526.1102514884769,0.9923643584251018,0.2704453468322754,inv
82,572.2354556668189,530.7227719063112,0.5863159713743762,0.35748058557510376,inv
83,601.2932500531597,537.7798197209961,0.9018371845350889,0.2886731028556824,inv
84,604.0337118333385,544.4052089322304,0.8554227842209305,0.2982965409755707,inv
85,598.9285061743951,549.8575386564469,0.7203366288510956,0.32731884717941284,inv
86,592.0370109311996,554.0754858839222,0.5764531284805121,0.3597491383552551,inv
87,659.2667945123488,564.5946167467648,1.352611746330766,0.20544369518756866,inv
88,657.7901173253214,573.9141668046205,1.1641922817559496,0.2379063367843628,inv
89,655.3482818603516,582.0575783101937,1.0097340113338886,0.2670319080352783,inv
90,651.5055015317855,589.0023706323528,0.8687959469881736,0.2955048978328705,inv
91,647.2492168795678,594.8270552570743,0.7440851535440121,0.32211148738861084,inv
92,648.9580762309413,600.2401573544611,0.7083046259625356,0.3299735486507416,inv
93,627.4859712662235,602.9647387456373,0.3728820684019045,0.40784478187561035,inv
94,650.7917849633002,607.7474433674035,0.6724062086063889,0.3379582464694977,inv
95,631.5267269995904,610.1253717306222,0.3499934090369178,0.41338399052619934,inv
96,645.21411871141,613.634246428701,0.5356394539500929,0.36920252442359924,inv
97,663.5214489352319,618.622966679354,0.7754549776430383,0.31530025601387024,inv
98,655.5088776619203,622.3115577776107,0.592471974078075,0.35606786608695984,inv
99,649.5949945757466,625.0399014574243,0.45655877098285363,0.38780248165130615,inv
100,643.8027356055475,626.9161848722367,0.32896369393045816,0.41849279403686523,inv
101,627.4191552439044,626.9664819094035,0.009295410924488953,0.49767613410949707,inv
102,645.58752564461,628.8285862829241,0.36012812891528295,0.41092854738235474,inv
103,643.678586652202,630.3135863198519,0.30120225250890625,0.4252636134624481,inv
104,615.9624060353925,628.878468291406,-0.30523788750749065,0.5757224559783936,inv
105,574.606827028336,623.451304165099,-1.1275427362827426,0.755385160446167,inv
106,584.1258916547222,619.5187629140614,-0.8277822764150229,0.6958857774734497,inv
107,578.3286632414787,615.3997529468031,-0.8742637121031562,0.7056320905685425,inv
108,563.3334003571541,610.1931176878383,-1.0859013047168815,0.7476091384887695,inv
109,543.8984254406345,603.5636484631178,-1.310928184869273,0.7876684069633484,inv
110,546.5200419272146,597.8592878095276,-1.1053596432863333,0.7512630224227905,inv
111,543.9301036711662,592.4663693956915,-1.0340359491468398,0.7376976013183594,inv
112,512.8228363529329,584.5020160914156,-1.4184048590018103,0.805088222026825,inv
113,520.7188415527344,578.1236986375475,-1.11207967981576,0.7525165677070618,inv
114,482.4779879662298,568.5591275704157,-1.5166433217731388,0.820043683052063,inv
115,496.4025140577747,561.3434662191517,-1.1190261716823637,0.7538080215454102,inv
116,541.4868909774289,559.3578086949794,-0.32271546563630654,0.5799859166145325,inv
117,522.5034620223507,555.6723740277166,-0.6178342246204557,0.6497257947921753,inv
118,457.4697735694147,545.8521139818864,-1.5021359124988831,0.8178927898406982,inv
119,471.6366746963993,538.4305700533378,-1.1114716686824635,0.7524033188819885,inv
120,468.9276374078566,531.4802767887896,-1.0304460355419902,0.7370023727416992,inv
121,468.24719976609754,525.1569690865205,-0.9385911358753418,0.7188149690628052,inv
122,474.32816191642513,520.074088369511,-0.7687288203561702,0.683245837688446,inv
