mode,regime,prompt_idx,fisher_mean,fisher_std,mean_gate,n_steps,elapsed_s,model
baseline,factual,0,,,,256,76.87,google/gemma-3-4b-it
baseline,factual,1,,,,256,77.75,google/gemma-3-4b-it
baseline,factual,2,,,,256,75.37,google/gemma-3-4b-it
baseline,factual,3,,,,256,80.32,google/gemma-3-4b-it
baseline,factual,4,,,,256,81.25,google/gemma-3-4b-it
baseline,factual,5,,,,256,79.02,google/gemma-3-4b-it
baseline,factual,6,,,,256,78.71,google/gemma-3-4b-it
baseline,mathematical,0,,,,256,75.95,google/gemma-3-4b-it
baseline,mathematical,1,,,,256,85.49,google/gemma-3-4b-it
baseline,mathematical,2,,,,256,84.3,google/gemma-3-4b-it
baseline,mathematical,3,,,,256,80.35,google/gemma-3-4b-it
baseline,mathematical,4,,,,256,75.69,google/gemma-3-4b-it
baseline,mathematical,5,,,,256,76.33,google/gemma-3-4b-it
baseline,mathematical,6,,,,256,81.97,google/gemma-3-4b-it
baseline,creative,0,,,,256,76.59,google/gemma-3-4b-it
baseline,creative,1,,,,256,74.19,google/gemma-3-4b-it
baseline,creative,2,,,,256,76.11,google/gemma-3-4b-it
baseline,creative,3,,,,256,70.62,google/gemma-3-4b-it
baseline,creative,4,,,,256,79.6,google/gemma-3-4b-it
baseline,creative,5,,,,256,74.31,google/gemma-3-4b-it
baseline,creative,6,,,,256,70.52,google/gemma-3-4b-it
monitor,factual,0,731.1502938350211,186.9052407684199,1.0,256,71.35,google/gemma-3-4b-it
monitor,factual,1,608.7377286460015,91.55515051334288,1.0,256,83.71,google/gemma-3-4b-it
monitor,factual,2,525.967053446737,80.271230314649,1.0,256,79.84,google/gemma-3-4b-it
monitor,factual,3,616.9245313366534,114.50077098747205,1.0,256,80.06,google/gemma-3-4b-it
monitor,factual,4,671.7883834617239,123.52962927958633,1.0,256,80.73,google/gemma-3-4b-it
monitor,factual,5,753.4885084988323,133.9798729366014,1.0,256,80.51,google/gemma-3-4b-it
monitor,factual,6,567.3985326531056,89.33630198017315,1.0,256,80.33,google/gemma-3-4b-it
monitor,mathematical,0,337.4137458199506,67.5642432657794,1.0,256,80.36,google/gemma-3-4b-it
monitor,mathematical,1,306.3468978689326,59.254804596498225,1.0,256,79.79,google/gemma-3-4b-it
monitor,mathematical,2,294.0805105705354,62.80791848892427,1.0,256,79.28,google/gemma-3-4b-it
monitor,mathematical,3,312.90284458535046,48.19979985866542,1.0,256,83.76,google/gemma-3-4b-it
monitor,mathematical,4,316.0175334838136,44.251581491934246,1.0,256,83.44,google/gemma-3-4b-it
monitor,mathematical,5,301.8177684114751,50.379629141892124,1.0,256,83.88,google/gemma-3-4b-it
monitor,mathematical,6,300.4748851106325,32.085438127057294,1.0,256,86.05,google/gemma-3-4b-it
monitor,creative,0,646.3943821504982,111.08273252374242,1.0,256,84.28,google/gemma-3-4b-it
monitor,creative,1,712.4290381946439,104.93543278362594,1.0,256,83.47,google/gemma-3-4b-it
