data_source,file,q_label,topology,n_points,ricci_ambient,log_det_fisher,fisher_speed_dn
measured,12q_readout_raw_data.txt,12q,2D_Block,500,,1144.491474296195,
measured,12q_readout_raw_data.txt,12q,2D_Block,1000,,1134.6798829018462,0.001926369437760006
measured,12q_readout_raw_data.txt,12q,2D_Block,2000,,1169.2491671479856,0.000801014932009205
measured,12q_readout_raw_data.txt,12q,2D_Block,3000,,1192.8420772671952,0.0007889296832844422
measured,12q_readout_raw_data.txt,12q,2D_Block,4000,,896.8118844867945,0.0022682375598103315
measured,12q_readout_raw_data.txt,12q,2D_Block,5000,,937.4920529513214,0.002392472536006475
measured,12q_readout_raw_data.txt,12q,2D_Block,6000,,1185.3423178542696,0.0012982506307504251
measured,12q_readout_raw_data.txt,12q,2D_Block,7000,,1000.8329711648496,0.004019308766309882
measured,12q_readout_raw_data.txt,12q,2D_Block,8000,,896.6229053996914,0.0034728208160820576
measured,12q_readout_raw_data.txt,12q,2D_Block,9000,,924.1717452109796,0.0020764331300691156
measured,12q_readout_raw_data.txt,12q,2D_Block,10000,,764.1151060231725,0.004615398780054243
measured,12q_readout_raw_data.txt,12q,2D_Block,15000,,1052.8207464216403,0.0010209409862384452
measured,12q_readout_raw_data.txt,12q,2D_Block,20000,,632.8015995078,0.0007173751446764631
measured,12q_readout_raw_data.txt,12q,2D_Block,30000,,291.4644604126378,0.0003706785041607027
measured,12q_readout_raw_data.txt,12q,2D_Block,40000,,418.18692943889596,0.000417858470039414
measured,14q_readout_raw_data.txt,14q,1D_Snake,500,,1126.5696231858242,
measured,14q_readout_raw_data.txt,14q,1D_Snake,1000,,986.7630974320523,0.003950471116411474
measured,14q_readout_raw_data.txt,14q,1D_Snake,2000,,1008.5892629786117,0.000909941109012093
measured,14q_readout_raw_data.txt,14q,1D_Snake,3000,,1019.290035601494,0.0008991193799269417
measured,14q_readout_raw_data.txt,14q,1D_Snake,4000,,1271.313976358119,0.0036918899987192395
measured,14q_readout_raw_data.txt,14q,1D_Snake,5000,,1340.9477834640788,0.004310700011037794
measured,14q_readout_raw_data.txt,14q,1D_Snake,6000,,1186.2738573976399,0.0022416366853307847
measured,14q_readout_raw_data.txt,14q,1D_Snake,7000,,1083.1584865092345,0.0029934571771442144
measured,14q_readout_raw_data.txt,14q,1D_Snake,8000,,1058.747009913568,0.0038176799777676143
measured,14q_readout_raw_data.txt,14q,1D_Snake,9000,,1005.076233441017,0.004763677527715373
measured,14q_readout_raw_data.txt,14q,1D_Snake,10000,,987.0089632256619,0.0022961265753739576
measured,14q_readout_raw_data.txt,14q,1D_Snake,15000,,1098.971905230653,0.0010459150195141344
measured,14q_readout_raw_data.txt,14q,1D_Snake,20000,,536.0040516406902,0.0009563327837545872
measured,14q_readout_raw_data.txt,14q,1D_Snake,30000,,273.5575961185198,0.00037507438583890405
measured,14q_readout_raw_data.txt,14q,1D_Snake,40000,,442.98184046607486,0.00044686843698433316
measured,16q_readout_raw_data.txt,16q,2D_Block,500,,1160.5332480608324,
measured,16q_readout_raw_data.txt,16q,2D_Block,1000,,1129.6223243497675,0.0022687356821425694
measured,16q_readout_raw_data.txt,16q,2D_Block,2000,,1137.166588431012,0.0005362044199796656
measured,16q_readout_raw_data.txt,16q,2D_Block,3000,,1204.6378314185022,0.0003899874805513703
measured,16q_readout_raw_data.txt,16q,2D_Block,4000,,1306.904638518993,0.0026305231838695277
measured,16q_readout_raw_data.txt,16q,2D_Block,5000,,1154.4249714752852,0.004054528871890595
measured,16q_readout_raw_data.txt,16q,2D_Block,6000,,1224.4043988106941,0.0039031400056222724
measured,16q_readout_raw_data.txt,16q,2D_Block,7000,,830.8340386547882,0.004002576364143941
measured,16q_readout_raw_data.txt,16q,2D_Block,8000,,1045.0670783992248,0.004290823876109536
measured,16q_readout_raw_data.txt,16q,2D_Block,9000,,987.080548905568,0.001429876179307553
measured,16q_readout_raw_data.txt,16q,2D_Block,10000,,821.4057912462216,0.003193052885427689
measured,16q_readout_raw_data.txt,16q,2D_Block,15000,,952.0088150232308,0.0008807814060887839
measured,16q_readout_raw_data.txt,16q,2D_Block,20000,,658.2567607471102,0.00089518636720305
measured,16q_readout_raw_data.txt,16q,2D_Block,30000,,277.84224114261633,0.000419589892943511
measured,16q_readout_raw_data.txt,16q,2D_Block,40000,,331.4149095903877,0.0004374636780261537
measured,18q_readout_raw_data.txt,18q,1D_Snake,500,,978.4791299502929,
measured,18q_readout_raw_data.txt,18q,1D_Snake,1000,,973.9194349085926,0.0028727404877006276
measured,18q_readout_raw_data.txt,18q,1D_Snake,2000,,1005.828438420946,0.0011932566274241601
measured,18q_readout_raw_data.txt,18q,1D_Snake,3000,,1020.7787708509765,0.0006448088459175638
measured,18q_readout_raw_data.txt,18q,1D_Snake,4000,,1118.6327476787426,0.0036098180169586444
measured,18q_readout_raw_data.txt,18q,1D_Snake,5000,,1162.8962026808338,0.001974114906503125
measured,18q_readout_raw_data.txt,18q,1D_Snake,6000,,1039.5483525153936,0.001546003865025168
measured,18q_readout_raw_data.txt,18q,1D_Snake,7000,,878.9140346871911,0.0019189061598562348
measured,18q_readout_raw_data.txt,18q,1D_Snake,8000,,882.5432837527949,0.003399386027828174
measured,18q_readout_raw_data.txt,18q,1D_Snake,9000,,776.4594387371943,0.0018726138555751363
measured,18q_readout_raw_data.txt,18q,1D_Snake,10000,,845.4348157345296,0.004242105385763381
measured,18q_readout_raw_data.txt,18q,1D_Snake,15000,,914.4666213417338,0.000892751983563368
measured,18q_readout_raw_data.txt,18q,1D_Snake,20000,,241.12128668105996,0.0009245287332811719
measured,18q_readout_raw_data.txt,18q,1D_Snake,30000,,242.18788824437712,0.00028878401399163244
measured,18q_readout_raw_data.txt,18q,1D_Snake,40000,,439.5374665387613,0.0003144312674519835
measured,20q_readout_raw_data.txt,20q,2D_Block,500,,983.760308667872,
measured,20q_readout_raw_data.txt,20q,2D_Block,1000,,996.3603885288754,0.0035935833397962437
measured,20q_readout_raw_data.txt,20q,2D_Block,2000,,1034.5861443152942,0.0009761016121683135
measured,20q_readout_raw_data.txt,20q,2D_Block,3000,,1025.0773336526822,0.0007193146278347929
measured,20q_readout_raw_data.txt,20q,2D_Block,4000,,997.2819878055466,0.003214236312514885
measured,20q_readout_raw_data.txt,20q,2D_Block,5000,,1023.2152601370061,0.004246588628586979
measured,20q_readout_raw_data.txt,20q,2D_Block,6000,,1026.2964093650335,0.004133017706995615
measured,20q_readout_raw_data.txt,20q,2D_Block,7000,,846.1698848637927,0.004665977924196023
measured,20q_readout_raw_data.txt,20q,2D_Block,8000,,1004.8817192930763,0.004529256970185396
measured,20q_readout_raw_data.txt,20q,2D_Block,9000,,1002.1555809914857,0.0020387417779684806
measured,20q_readout_raw_data.txt,20q,2D_Block,10000,,839.8781037490667,0.004040201322520831
measured,20q_readout_raw_data.txt,20q,2D_Block,15000,,420.41846702001925,0.0010496403696438983
measured,20q_readout_raw_data.txt,20q,2D_Block,20000,,290.59250399598005,0.0008479985225841589
measured,20q_readout_raw_data.txt,20q,2D_Block,30000,,576.868588837529,0.00040956524310723923
measured,20q_readout_raw_data.txt,20q,2D_Block,40000,,448.40306927935967,0.0005079062020606437
measured,22q_readout_raw_data.txt,22q,1D_Snake,500,,843.3365783782965,
measured,22q_readout_raw_data.txt,22q,1D_Snake,1000,,955.2369806729239,0.002437424413720186
measured,22q_readout_raw_data.txt,22q,1D_Snake,2000,,884.8723429326581,0.0013064030236710979
measured,22q_readout_raw_data.txt,22q,1D_Snake,3000,,1038.9770481465723,0.001381644788276964
measured,22q_readout_raw_data.txt,22q,1D_Snake,4000,,1409.616386722415,0.0027451202416513667
measured,22q_readout_raw_data.txt,22q,1D_Snake,5000,,1178.2092648690268,0.004317331096090232
measured,22q_readout_raw_data.txt,22q,1D_Snake,6000,,1324.635092496942,0.0033159167607607685
measured,22q_readout_raw_data.txt,22q,1D_Snake,7000,,1005.7325696278386,0.0035397605788552037
measured,22q_readout_raw_data.txt,22q,1D_Snake,8000,,980.8898731006749,0.004146567512293641
measured,22q_readout_raw_data.txt,22q,1D_Snake,9000,,926.9332441283168,0.0013699989075911024
measured,22q_readout_raw_data.txt,22q,1D_Snake,10000,,764.8839284601796,0.002683589717540093
measured,22q_readout_raw_data.txt,22q,1D_Snake,15000,,743.5330392850085,0.0008696844352974491
measured,22q_readout_raw_data.txt,22q,1D_Snake,20000,,645.7119078217996,0.0009918511086668828
measured,22q_readout_raw_data.txt,22q,1D_Snake,30000,,612.8116399079287,0.00044815486139301717
measured,22q_readout_raw_data.txt,22q,1D_Snake,40000,,294.6411403084378,0.0005055787285559993
measured,24q_readout_raw_data.txt,24q,2D_Block,500,,846.6340862389354,
measured,24q_readout_raw_data.txt,24q,2D_Block,1000,,816.9895516319292,0.0034864308833710703
measured,24q_readout_raw_data.txt,24q,2D_Block,2000,,810.904957587288,0.0015252031538088445
measured,24q_readout_raw_data.txt,24q,2D_Block,3000,,663.804837394502,0.0022628606122418004
measured,24q_readout_raw_data.txt,24q,2D_Block,4000,,1089.126567860085,0.004293690132675099
measured,24q_readout_raw_data.txt,24q,2D_Block,5000,,1137.0783489373582,0.0022265755464555537
measured,24q_readout_raw_data.txt,24q,2D_Block,6000,,792.7206043053365,0.0033383135060400825
measured,24q_readout_raw_data.txt,24q,2D_Block,7000,,765.3021150938063,0.003908285024389082
measured,24q_readout_raw_data.txt,24q,2D_Block,8000,,967.0757771087249,0.004719838709440102
measured,24q_readout_raw_data.txt,24q,2D_Block,9000,,822.2570609514252,0.0025973356657233424
measured,24q_readout_raw_data.txt,24q,2D_Block,10000,,644.6341601388112,0.003841293804420865
measured,24q_readout_raw_data.txt,24q,2D_Block,15000,,839.5347674785826,0.0009514359526409353
measured,24q_readout_raw_data.txt,24q,2D_Block,20000,,351.43512170534405,0.0009707226676203234
measured,24q_readout_raw_data.txt,24q,2D_Block,30000,,266.1254917459205,0.00040442524898402825
measured,24q_readout_raw_data.txt,24q,2D_Block,40000,,272.9451177843035,0.0003406882400698681
measured,26q_readout_raw_data.txt,26q,Bulk_Full,500,,621.7418827517287,
measured,26q_readout_raw_data.txt,26q,Bulk_Full,1000,,798.100849040858,0.00749672453335487
measured,26q_readout_raw_data.txt,26q,Bulk_Full,2000,,826.8664426653214,0.0014796824718042816
measured,26q_readout_raw_data.txt,26q,Bulk_Full,3000,,839.4985873573588,0.0009988793841623203
measured,26q_readout_raw_data.txt,26q,Bulk_Full,4000,,1127.231123399527,0.0032496635647832404
