topology,q_label,file,median_N_star,N_star_q25,N_star_q75,IQR_width,stable_3seeds
1D_Snake,14q,14q_readout_raw_data.txt,9500.0,9500.0,9500.0,0.0,True
1D_Snake,18q,18q_readout_raw_data.txt,9500.0,9500.0,9500.0,0.0,True
1D_Snake,22q,22q_readout_raw_data.txt,6500.0,6500.0,6500.0,0.0,True
1D_Snake,28q,28q_readout_raw_data.txt,5500.0,4000.0,11500.0,7500.0,False
1D_Snake,32q,32q_readout_raw_data.txt,4500.0,3500.0,11000.0,7500.0,False
1D_Snake,47q,47q_readout_raw_data.txt,3500.0,3500.0,3500.0,0.0,True
1D_Snake,49q,49q_readout_raw_data.txt,17500.0,13000.0,17500.0,4500.0,False
2D_Block,12q,12q_readout_raw_data.txt,9500.0,9500.0,9500.0,0.0,True
2D_Block,16q,16q_readout_raw_data.txt,9500.0,8500.0,9500.0,1000.0,False
2D_Block,20q,20q_readout_raw_data.txt,9500.0,9500.0,9500.0,0.0,True
2D_Block,24q,24q_readout_raw_data.txt,6500.0,3625.0,6500.0,2875.0,False
2D_Block,30q,30q_readout_raw_data.txt,12500.0,7500.0,15000.0,7500.0,False
2D_Block,34q,34q_readout_raw_data.txt,5500.0,5500.0,5500.0,0.0,True
2D_Block,39q,39q_readout_raw_data.txt,3500.0,3500.0,5500.0,2000.0,False
2D_Block,40q,40q_readout_raw_data.txt,7500.0,4125.0,8000.0,3875.0,False
2D_Block,41q,41q_readout_raw_data.txt,2500.0,1625.0,3000.0,1375.0,False
2D_Block,42q,42q_readout_raw_data.txt,7500.0,6000.0,8000.0,2000.0,False
2D_Block,43q,43q_readout_raw_data.txt,12500.0,12500.0,15000.0,2500.0,False
2D_Block,44q,44q_readout_raw_data.txt,3500.0,3000.0,3500.0,500.0,False
2D_Block,45q,45q_readout_raw_data.txt,3500.0,3500.0,3500.0,0.0,True
2D_Block,50q,50q_readout_raw_data.txt,17500.0,15000.0,17500.0,2500.0,False
Bulk_Full,26q,26q_readout_raw_data.txt,6500.0,6500.0,6500.0,0.0,True
Bulk_Full,36q,36q_readout_raw_data.txt,3500.0,3500.0,10500.0,7000.0,False
Bulk_Full,38q,38q_readout_raw_data.txt,5500.0,5000.0,5500.0,500.0,False
Bulk_Full,46q,46q_readout_raw_data.txt,750.0,750.0,750.0,0.0,True
Bulk_Full,48q,48q_readout_raw_data.txt,9500.0,9500.0,9500.0,0.0,True
Bulk_Full,51q,51q_readout_raw_data.txt,8500.0,8000.0,8500.0,500.0,False
Bulk_Full,53q,53q_readout_raw_data.txt,9500.0,5125.0,9500.0,4375.0,False
