file,backend,circuit,n_qubits,total_shots,n_points,fisher_trace,fisher_det,fisher_max_eigenvalue,kl_from_previous
ibm_marrakesh_ghz_5q_40960shots.txt,marrakesh,ghz,5,40960,1000,13016.07085605608,5.243233050729232e+17,2929.3895012923463,0.0
ibm_marrakesh_ghz_5q_40960shots.txt,marrakesh,ghz,5,40960,2000,30127.63522812688,3.1482651728081986e+19,6604.237376887551,0.016706270916603407
ibm_marrakesh_ghz_5q_40960shots.txt,marrakesh,ghz,5,40960,4000,73255.4515396874,2.6610144910340936e+21,17006.986320179123,0.001579180458454397
ibm_marrakesh_ghz_5q_40960shots.txt,marrakesh,ghz,5,40960,8000,195946.69204505684,3.503280234472155e+23,44703.95369782043,0.002247737001712928
ibm_marrakesh_ghz_5q_40960shots.txt,marrakesh,ghz,5,40960,16000,257999.20389133887,1.4477908032822265e+24,55619.39718486054,0.0007223394410292577
ibm_marrakesh_ghz_5q_40960shots.txt,marrakesh,ghz,5,40960,32000,638593.4255236561,1.4037362247600948e+26,139083.67349242693,0.009878904092744879
ibm_marrakesh_ghz_5q_40960shots.txt,marrakesh,ghz,5,40960,40000,1468075.6833223717,8.648666014882725e+27,318845.9241053226,0.002918415182258442
ibm_marrakesh_ghz_10q_40960shots.txt,marrakesh,ghz,10,40960,1000,3393.7121603261735,875535755229.1525,1376.804010684942,0.0
ibm_marrakesh_ghz_10q_40960shots.txt,marrakesh,ghz,10,40960,2000,9240.978717818594,12266365763403.703,3886.9715864870454,0.020376008480363084
ibm_marrakesh_ghz_10q_40960shots.txt,marrakesh,ghz,10,40960,4000,14629.49554926631,50844791380215.75,6089.295820543424,0.0061269931064871245
ibm_marrakesh_ghz_10q_40960shots.txt,marrakesh,ghz,10,40960,8000,20277.774088824244,111685355508576.61,8118.203489456894,0.008671442294209207
ibm_marrakesh_ghz_10q_40960shots.txt,marrakesh,ghz,10,40960,16000,72146.38554505499,7583153789423338.0,28351.731408470754,0.012456213168570531
ibm_marrakesh_ghz_10q_40960shots.txt,marrakesh,ghz,10,40960,32000,151297.12746679544,5.3885694229755624e+16,58394.02693632936,0.006243143730005905
ibm_marrakesh_ghz_10q_40960shots.txt,marrakesh,ghz,10,40960,40000,535037.2950256685,2.4007389807012163e+18,206002.26858500243,0.0003961646801216323
ibm_marrakesh_ghz_20q_40960shots.txt,marrakesh,ghz,20,40960,1000,344.65394332675714,20943314.92224584,305.2738709151897,0.0
ibm_marrakesh_ghz_20q_40960shots.txt,marrakesh,ghz,20,40960,2000,945.089781734282,57905862.530237556,905.7413377217922,0.017918259780501006
ibm_marrakesh_ghz_20q_40960shots.txt,marrakesh,ghz,20,40960,4000,7708.753304936915,76783232775.1837,3840.5765090450823,1.3191302606625686
ibm_marrakesh_ghz_20q_40960shots.txt,marrakesh,ghz,20,40960,8000,14524.779858685073,295885206546.98254,7293.722921828456,0.014746130299862695
ibm_marrakesh_ghz_20q_40960shots.txt,marrakesh,ghz,20,40960,16000,27000.646355710272,1037202243030.7363,13597.88692912635,0.008121231199466412
ibm_marrakesh_ghz_20q_40960shots.txt,marrakesh,ghz,20,40960,32000,113904.33947079607,17168061983175.932,57658.04207421795,0.005560807172952945
ibm_marrakesh_ghz_20q_40960shots.txt,marrakesh,ghz,20,40960,40000,374299.95857236825,178312184708917.66,189073.64290868517,0.006649676082491475
ibm_marrakesh_hadamard_1q_40960shots.txt,marrakesh,hadamard,1,40960,1000,12470.31763956826,4.094242948704562e+17,2881.9191024109336,0.0
ibm_marrakesh_hadamard_1q_40960shots.txt,marrakesh,hadamard,1,40960,2000,27824.525389296516,2.1600941995317703e+19,6467.143057343328,0.0008160829900801661
ibm_marrakesh_hadamard_1q_40960shots.txt,marrakesh,hadamard,1,40960,4000,73780.64040912014,2.794711279046561e+21,17551.51369249831,0.00964546600436925
ibm_marrakesh_hadamard_1q_40960shots.txt,marrakesh,hadamard,1,40960,8000,103153.10206571655,1.4662970685042075e+22,24693.60824288861,0.007816493425507531
ibm_marrakesh_hadamard_1q_40960shots.txt,marrakesh,hadamard,1,40960,16000,189681.8201848276,3.095329394676726e+23,43198.747335913766,0.00044831092970599014
ibm_marrakesh_hadamard_1q_40960shots.txt,marrakesh,hadamard,1,40960,32000,775073.658125423,3.520344376536126e+26,176705.00290421955,5.894845134028485e-05
ibm_marrakesh_hadamard_1q_40960shots.txt,marrakesh,hadamard,1,40960,40000,484672.11543159094,3.369273213242354e+25,109813.24753750852,0.0005061157243627131
ibm_marrakesh_hadamard_5q_40960shots.txt,marrakesh,hadamard,5,40960,1000,51.268409145573244,1001535.1555018608,9.353414222704435,0.0
ibm_marrakesh_hadamard_5q_40960shots.txt,marrakesh,hadamard,5,40960,2000,50.4575750786447,970492.2838543404,8.244195977400288,0.02477163398782966
ibm_marrakesh_hadamard_5q_40960shots.txt,marrakesh,hadamard,5,40960,4000,50.98239923453853,958235.9714857908,9.554960487721507,0.022309426074262128
ibm_marrakesh_hadamard_5q_40960shots.txt,marrakesh,hadamard,5,40960,8000,50.13801692629419,901161.3135474038,8.447675057653225,0.024070550355031747
ibm_marrakesh_hadamard_5q_40960shots.txt,marrakesh,hadamard,5,40960,16000,50.32623652620459,913142.9460488968,8.624473898105364,0.003987353408804024
ibm_marrakesh_hadamard_5q_40960shots.txt,marrakesh,hadamard,5,40960,32000,49.730954966104704,867807.3391385908,8.541957974532611,0.007848277433221725
ibm_marrakesh_hadamard_5q_40960shots.txt,marrakesh,hadamard,5,40960,40000,49.412317263420235,847586.6227920016,8.38687295693511,0.0014767704996520462
ibm_marrakesh_hadamard_10q_40960shots.txt,marrakesh,hadamard,10,40960,1000,52.50448386521088,1211459.8483924866,9.22864771296444,0.0
ibm_marrakesh_hadamard_10q_40960shots.txt,marrakesh,hadamard,10,40960,2000,50.437122287096855,1001473.7012520892,7.724524116507704,0.028988285200535334
ibm_marrakesh_hadamard_10q_40960shots.txt,marrakesh,hadamard,10,40960,4000,49.766003640199685,898158.9685197372,7.731798216195284,0.017334595228481103
ibm_marrakesh_hadamard_10q_40960shots.txt,marrakesh,hadamard,10,40960,8000,49.719674260888695,886286.7330111873,8.232079652855106,0.007256244174032652
