file,backend,circuit,n_qubits,total_shots,n_points,fisher_trace,fisher_det,fisher_max_eigenvalue,kl_from_previous
ibm_torino_ghz_5q_40960shots.txt,torino,ghz,5,40960,1000,9261.331354985557,2138881771116048.5,2588.605691790543,0.0
ibm_torino_ghz_5q_40960shots.txt,torino,ghz,5,40960,2000,22091.069404414593,1.1755629457198038e+17,6555.602547980467,0.0107971598344981
ibm_torino_ghz_5q_40960shots.txt,torino,ghz,5,40960,4000,38001.12631174487,6.004944737523222e+17,11619.722762190033,0.007363438653189214
ibm_torino_ghz_5q_40960shots.txt,torino,ghz,5,40960,8000,76964.95610463574,1.4956662568513806e+19,22308.74074880647,0.004003032799686882
ibm_torino_ghz_5q_40960shots.txt,torino,ghz,5,40960,16000,216738.57058854794,8.712646617205573e+20,64116.67499061269,0.004456415734903669
ibm_torino_ghz_5q_40960shots.txt,torino,ghz,5,40960,32000,1693453.3718425492,2.905406621344943e+24,521440.5927070907,0.0013560003224403453
ibm_torino_ghz_5q_40960shots.txt,torino,ghz,5,40960,40000,2751959.634922077,1.874746669649695e+25,847648.7161885689,0.000741954550320434
ibm_torino_ghz_10q_40960shots.txt,torino,ghz,10,40960,1000,2177.264754614182,43718560369.9055,1164.286573334813,0.0
ibm_torino_ghz_10q_40960shots.txt,torino,ghz,10,40960,2000,5328.278586261559,236026337781.9668,2991.639629260618,0.02223529505734257
ibm_torino_ghz_10q_40960shots.txt,torino,ghz,10,40960,4000,7890.482935166955,261168230710.62244,4311.842433433673,0.029472416060256464
ibm_torino_ghz_10q_40960shots.txt,torino,ghz,10,40960,8000,18041.196484595894,1472646562388.7527,10032.539544445794,0.004102997910490206
ibm_torino_ghz_10q_40960shots.txt,torino,ghz,10,40960,16000,41021.55170842969,5879664151952.748,22500.430850828157,0.007219506579581805
ibm_torino_ghz_10q_40960shots.txt,torino,ghz,10,40960,32000,289332.5504520193,744782058537487.0,165781.7602784596,0.01596730044188021
ibm_torino_ghz_10q_40960shots.txt,torino,ghz,10,40960,40000,598147.8077820665,1683394686183981.0,342710.5707301601,0.004363316314555805
ibm_torino_ghz_20q_40960shots.txt,torino,ghz,20,40960,1000,408.9977794234777,29409013.19679687,368.3666969731994,0.0
ibm_torino_ghz_20q_40960shots.txt,torino,ghz,20,40960,2000,444.29595667532743,27052282.895849466,405.33078719527873,0.019724501835086533
ibm_torino_ghz_20q_40960shots.txt,torino,ghz,20,40960,4000,2762.772433803196,213014032.10944977,2721.7725224835917,0.02987673755324042
ibm_torino_ghz_20q_40960shots.txt,torino,ghz,20,40960,8000,4347.903084734432,333108816.5688587,4306.8742558855165,0.015606214033306786
ibm_torino_ghz_20q_40960shots.txt,torino,ghz,20,40960,16000,18421.351461369133,1385987255.5356054,18380.870053282677,0.01128442463733722
ibm_torino_ghz_20q_40960shots.txt,torino,ghz,20,40960,32000,124446.38377136459,8602337304.789621,124406.7891039221,0.005001178128314125
ibm_torino_ghz_20q_40960shots.txt,torino,ghz,20,40960,40000,477307.3303749918,29417724105.062622,477268.9106150482,0.003883997673883899
ibm_torino_hadamard_1q_40960shots.txt,torino,hadamard,1,40960,1000,11783.285964171591,3.053657684453035e+17,2540.9933670989312,0.0
ibm_torino_hadamard_1q_40960shots.txt,torino,hadamard,1,40960,2000,35118.77551875174,6.8743698630653075e+19,7811.571582280398,0.0009762459147504696
ibm_torino_hadamard_1q_40960shots.txt,torino,hadamard,1,40960,4000,59606.54318081592,9.335230547825893e+20,15256.798054418126,0.0014465749860720317
ibm_torino_hadamard_1q_40960shots.txt,torino,hadamard,1,40960,8000,156545.86772803575,1.20319401959573e+23,35094.72592488384,5.3344308438470636e-05
ibm_torino_hadamard_1q_40960shots.txt,torino,hadamard,1,40960,16000,468022.88717637723,2.8301686762007072e+25,102949.55220228338,0.003422603247504075
ibm_torino_hadamard_1q_40960shots.txt,torino,hadamard,1,40960,32000,1064739.6562822904,1.726060407003268e+27,238589.40823254167,0.0001055901024382244
ibm_torino_hadamard_1q_40960shots.txt,torino,hadamard,1,40960,40000,1700532.9446548484,1.8105033319363428e+28,375647.8991265377,0.0005806811700327781
ibm_torino_hadamard_5q_40960shots.txt,torino,hadamard,5,40960,1000,52.24183475439513,1136760.4210468845,10.520324480688663,0.0
ibm_torino_hadamard_5q_40960shots.txt,torino,hadamard,5,40960,2000,51.09272972956309,1030197.6366677687,8.690137350609955,0.029452122701249583
ibm_torino_hadamard_5q_40960shots.txt,torino,hadamard,5,40960,4000,51.78740228680812,1070854.80516816,10.320717451382041,0.02398374547363562
ibm_torino_hadamard_5q_40960shots.txt,torino,hadamard,5,40960,8000,49.796943192080114,886564.4682807385,8.660170562043726,0.013269689052437203
ibm_torino_hadamard_5q_40960shots.txt,torino,hadamard,5,40960,16000,49.46933406718586,860111.0236858524,7.781910538980778,0.010117060166709269
ibm_torino_hadamard_5q_40960shots.txt,torino,hadamard,5,40960,32000,49.76786244867407,876859.2841047613,8.17675167341681,0.008535723691090027
ibm_torino_hadamard_5q_40960shots.txt,torino,hadamard,5,40960,40000,49.63007613508922,861949.0004615736,8.032869924476508,0.003975369853920772
ibm_torino_hadamard_10q_40960shots.txt,torino,hadamard,10,40960,1000,51.98901244474336,1198271.7454618374,8.197360264289717,0.0
ibm_torino_hadamard_10q_40960shots.txt,torino,hadamard,10,40960,2000,50.0855837210448,937289.2779272152,7.81625410986973,0.02614313031152336
ibm_torino_hadamard_10q_40960shots.txt,torino,hadamard,10,40960,4000,49.845003316577476,912625.3332215566,8.068177322554245,0.012364245746066736
ibm_torino_hadamard_10q_40960shots.txt,torino,hadamard,10,40960,8000,50.8694039364963,970187.6486072151,8.724017976862841,0.023800231272196024
ibm_torino_hadamard_10q_40960shots.txt,torino,hadamard,10,40960,16000,49.25042062666687,843817.3804978846,7.551134558977596,0.025492590188100052
ibm_torino_hadamard_10q_40960shots.txt,torino,hadamard,10,40960,32000,49.06096305286981,828425.6762322052,7.306650768348253,0.003958965778612176
ibm_torino_hadamard_10q_40960shots.txt,torino,hadamard,10,40960,40000,49.05506177313881,827105.557329409,7.4288977407656,0.0012116066587772357
ibm_torino_hadamard_20q_40960shots.txt,torino,hadamard,20,40960,1000,50.81561932294689,1000940.8521377464,8.825588214783165,0.0
