label,ibm_marrakesh_ghz_10q_40960shots,ibm_marrakesh_ghz_20q_40960shots,ibm_marrakesh_ghz_5q_40960shots,ibm_marrakesh_hadamard_10q_40960shots,ibm_marrakesh_hadamard_1q_40960shots,ibm_marrakesh_hadamard_20q_40960shots,ibm_marrakesh_hadamard_5q_40960shots,ibm_marrakesh_identity_10q_40960shots,ibm_marrakesh_identity_20q_40960shots,ibm_marrakesh_layers_10q_40960shots,ibm_marrakesh_layers_20q_40960shots
ibm_marrakesh_ghz_10q_40960shots,0.0000000000,0.6526565035,1.1529028501,1.0146781807,1.1277307334,1.0189316733,0.9884439860,1.2619600423,1.6027602333,0.9975396106,1.0261154893
ibm_marrakesh_ghz_20q_40960shots,0.6526565035,0.0000000000,1.3256003357,0.9474506452,1.3197201047,0.9535139211,0.9267827683,1.4275926214,1.5054510632,0.9356700445,0.9772448453
ibm_marrakesh_ghz_5q_40960shots,1.1529028501,1.3256003357,0.0000000000,1.2131053777,0.1563799810,1.2031174889,1.2139779048,1.0765102625,1.5375842650,1.2004060608,1.2135559311
ibm_marrakesh_hadamard_10q_40960shots,1.0146781807,0.9474506452,1.2131053777,0.0000000000,1.2029299455,0.0945261057,0.1196772867,1.3059983090,1.3748933569,0.1161219517,0.1033683715
ibm_marrakesh_hadamard_1q_40960shots,1.1277307334,1.3197201047,0.1563799810,1.2029299455,0.0000000000,1.1964363099,1.2005795943,0.9906501746,1.5238796938,1.1925236907,1.2057789857
ibm_marrakesh_hadamard_20q_40960shots,1.0189316733,0.9535139211,1.2031174889,0.0945261057,1.1964363099,0.0000000000,0.1370554575,1.3103040326,1.3909537023,0.1101450793,0.0902385552
ibm_marrakesh_hadamard_5q_40960shots,0.9884439860,0.9267827683,1.2139779048,0.1196772867,1.2005795943,0.1370554575,0.0000000000,1.2980149526,1.3865032106,0.1207119954,0.1532847217
ibm_marrakesh_identity_10q_40960shots,1.2619600423,1.4275926214,1.0765102625,1.3059983090,0.9906501746,1.3103040326,1.2980149526,0.0000000000,1.4738039645,1.3158481453,1.3159217916
ibm_marrakesh_identity_20q_40960shots,1.6027602333,1.5054510632,1.5375842650,1.3748933569,1.5238796938,1.3909537023,1.3865032106,1.4738039645,0.0000000000,1.3755114789,1.3844050073
ibm_marrakesh_layers_10q_40960shots,0.9975396106,0.9356700445,1.2004060608,0.1161219517,1.1925236907,0.1101450793,0.1207119954,1.3158481453,1.3755114789,0.0000000000,0.1207722773
ibm_marrakesh_layers_20q_40960shots,1.0261154893,0.9772448453,1.2135559311,0.1033683715,1.2057789857,0.0902385552,0.1532847217,1.3159217916,1.3844050073,0.1207722773,0.0000000000
