label,ibm_torino_ghz_10q_40960shots,ibm_torino_ghz_20q_40960shots,ibm_torino_ghz_5q_40960shots,ibm_torino_hadamard_10q_40960shots,ibm_torino_hadamard_1q_40960shots,ibm_torino_hadamard_20q_40960shots,ibm_torino_hadamard_5q_40960shots,ibm_torino_identity_10q_40960shots,ibm_torino_identity_20q_40960shots,ibm_torino_layers_10q_40960shots,ibm_torino_layers_20q_40960shots
ibm_torino_ghz_10q_40960shots,0.0000000000,0.9672717519,1.2481366449,0.9970989763,1.2498517181,0.9846586837,0.9385982523,1.5125383599,1.3909576488,1.0145773142,1.0076174296
ibm_torino_ghz_20q_40960shots,0.9672717519,0.0000000000,1.2115890262,0.6149850541,1.2049080861,0.5962946845,0.6150435829,1.3011266982,1.2344122260,0.6006173776,0.6375564454
ibm_torino_ghz_5q_40960shots,1.2481366449,1.2115890262,0.0000000000,1.2305124676,0.7052251116,1.2368644806,1.2383645125,1.5393006851,1.5440004333,1.2299462825,1.2389076371
ibm_torino_hadamard_10q_40960shots,0.9970989763,0.6149850541,1.2305124676,0.0000000000,1.1938657049,0.1181834294,0.1490960873,1.2632014144,1.2442311180,0.1033901250,0.1146024316
ibm_torino_hadamard_1q_40960shots,1.2498517181,1.2049080861,0.7052251116,1.1938657049,0.0000000000,1.1964078610,1.2004800938,1.3868844384,1.5013426187,1.2013638071,1.2075857001
ibm_torino_hadamard_20q_40960shots,0.9846586837,0.5962946845,1.2368644806,0.1181834294,1.1964078610,0.0000000000,0.1388433754,1.2722712359,1.2669983732,0.1363159844,0.1471106703
ibm_torino_hadamard_5q_40960shots,0.9385982523,0.6150435829,1.2383645125,0.1490960873,1.2004800938,0.1388433754,0.0000000000,1.2764169014,1.2317885278,0.1503026252,0.1413553500
ibm_torino_identity_10q_40960shots,1.5125383599,1.3011266982,1.5393006851,1.2632014144,1.3868844384,1.2722712359,1.2764169014,0.0000000000,1.3557201353,1.2787228389,1.2679583283
ibm_torino_identity_20q_40960shots,1.3909576488,1.2344122260,1.5440004333,1.2442311180,1.5013426187,1.2669983732,1.2317885278,1.3557201353,0.0000000000,1.2399898140,1.2358457053
ibm_torino_layers_10q_40960shots,1.0145773142,0.6006173776,1.2299462825,0.1033901250,1.2013638071,0.1363159844,0.1503026252,1.2787228389,1.2399898140,0.0000000000,0.1075516517
ibm_torino_layers_20q_40960shots,1.0076174296,0.6375564454,1.2389076371,0.1146024316,1.2075857001,0.1471106703,0.1413553500,1.2679583283,1.2358457053,0.1075516517,0.0000000000
