file,n_shots_ref,n_shots_cur,n_unique_ref,n_unique_cur,tv,js_distance,sym_kl,kl_pq,kl_qp
ibm_torino_ghz_10q_40960shots.txt,40960,40960,621,574,0.14455566406249726,0.21083234336607246,0.4560658224378725,0.562952890387634,0.3491787544881111
ibm_torino_ghz_20q_40960shots.txt,40960,40960,4809,6427,0.35656738281241845,0.3820298770619162,3.873776824708452,3.0864459241608913,4.661107725256013
ibm_torino_ghz_5q_40960shots.txt,40960,40960,32,32,0.05759277343749999,0.11671896191693708,0.0616713609104895,0.0615458706186361,0.061796851202342885
ibm_torino_hadamard_10q_40960shots.txt,40960,40960,1024,1024,0.09033203124999772,0.08098442079626919,0.02640601801559489,0.026324154687812955,0.02648788134337683
ibm_torino_hadamard_1q_40960shots.txt,40960,40960,2,2,0.03696289062499997,0.02613980016398433,0.0027337795412513063,0.002733581945420241,0.0027339771370823718
ibm_torino_hadamard_20q_40960shots.txt,40960,40960,40134,40159,0.9602050781231556,0.8155351004710055,26.53355364563034,26.527483114700033,26.53962417656065
ibm_torino_hadamard_5q_40960shots.txt,40960,40960,32,32,0.03674316406249997,0.028912640886009273,0.0033453741678683147,0.0033537061471139076,0.0033370421886227217
ibm_torino_identity_10q_40960shots.txt,40960,40960,73,96,0.06237792968749982,0.09011918370791307,0.05107734553668629,0.03685481967400174,0.06529987139937084
ibm_torino_identity_20q_40960shots.txt,40960,40960,320,405,0.08447265624999903,0.11547359685549624,0.1589080938218049,0.12240503515746493,0.19541115248614488
ibm_torino_layers_10q_40960shots.txt,40960,40960,1024,1024,0.09509277343749761,0.08440597597061521,0.028697620658625987,0.028583867585393122,0.02881137373185885
ibm_torino_layers_20q_40960shots.txt,40960,40960,40131,40118,0.9614501953106531,0.8160795108065196,26.570409465365316,26.568568624864028,26.572250305866604
