step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,108,0.0,,,0.9,hold,0.0,0.0,0.0
1,21576,14279.796875,,,0.9,hold,237.5862274169922,14279.796875,475963.15625
2,527,10624.86181640625,,,0.9,hold,279.0502700805664,10624.86181640625,432515.171875
3,5561,9840.185546875,,,0.9,hold,544.4580739339193,9840.185546875,387118.5208333333
4,5168,12210.12158203125,8686.211059570312,5287.449496702817,0.9,hold,511.98596572875977,12210.12158203125,328882.37890625
5,236764,15761.278515625,9390.9931640625,4934.832216338275,0.765,down,470.2335601806641,15761.278515625,297014.53125
6,496,13484.356689453125,10452.707389322917,5092.150133633435,0.9,hold,535.2736333211263,13484.356689453125,265226.5013020833
7,880,11793.669886997768,10885.800146484375,4832.300103406593,0.9,hold,473.75723920549666,11793.669886997768,241468.46763392858
8,93991,10951.369110107422,10999.28386404855,4530.16375336276,0.9,hold,469.3675022125244,10951.369110107422,247668.9912109375
9,1133,10008.925401475695,10993.960002499536,4271.10589101578,0.9,hold,475.0224422878689,10008.925401475695,272590.45746527775
10,614,9667.79599609375,10895.45654239715,4062.688440419272,0.9,hold,507.12028350830076,9667.79599609375,275768.30546875
11,12440,9762.233220880682,10783.85103818775,3889.665916734761,0.9,hold,481.0483287464489,9762.233220880682,258968.2159090909
12,32049,9328.546875,10698.716220078828,3734.7605690717237,0.9,hold,484.0620574951172,9328.546875,245362.39453125
13,236764,9125.049466646635,10593.318578149687,3606.769164904061,0.9,hold,476.73583984375,9125.049466646635,248499.9266826923
14,11536,8725.810110909599,10488.442213042325,3496.0796102017393,0.9,hold,554.4156058175223,8725.810110909599,244870.63950892858
15,496,9007.166455078124,10370.933406233476,3406.0315530394414,0.9,hold,558.8811442057291,9007.166455078124,244982.58645833333
16,11072,9000.621322631836,10285.697971786269,3314.3568676011632,0.9,hold,535.9315500259399,9000.621322631836,242964.5869140625
17,7805,8659.501622817095,10210.10522771836,3229.584408312261,0.9,hold,529.5241169649012,8659.501622817095,237771.02205882352
18,600,9174.952487521701,10123.960583001624,3158.6253866723887,0.9,hold,521.9434500800239,9174.952487521701,234423.81076388888
19,120530,9282.987574527138,10074.01278850268,3081.6748138151725,0.9,hold,597.6287994384766,9282.987574527138,233641.7458881579
20,167207,9229.008557128906,10034.461527803902,3008.588608871883,0.9,hold,610.9177757263184,9229.008557128906,236860.60078125
21,529,9321.298653738839,9996.106624438426,2941.087989210296,0.9,hold,606.6590946742466,9321.298653738839,234366.01264880953
22,196549,8981.316433993254,9965.433534861171,2876.9036157728824,0.9,hold,596.3662393743342,8981.316433993254,242962.13707386365
23,48181,8685.456442128057,9922.645834823436,2820.8156042163037,0.9,hold,583.5307650358781,8685.456442128057,239823.69701086957
24,532,8432.689061482748,9871.096276794464,2772.4678875944173,0.9,hold,571.6766058603922,8432.689061482748,242712.40494791666
25,39372,8289.290209960938,9813.559988181994,2731.037394179926,0.9,hold,595.1477838134765,8289.290209960938,256249.66375
26,28575,8106.382469764123,9754.934227481186,2693.997373733794,0.9,hold,604.8475605891301,8106.382469764123,253041.01682692306
27,236761,7985.993268048322,9693.876754973146,2661.907103772439,0.9,hold,593.9379741527416,7985.993268048322,256497.0775462963
28,669,8104.273886544363,9632.880916154403,2633.0856885108656,0.9,hold,612.9596770150321,8104.273886544363,258816.75223214287
29,7805,8325.936249831628,9580.17032892647,2602.2801174591777,0.9,hold,595.0367902558426,8325.936249831628,255023.68211206896
30,236764,8724.93837483724,9538.362526289975,2568.427916296484,0.9,hold,627.8902229309082,8724.93837483724,258276.51458333334
31,999,8558.315654139366,9512.123037533434,2530.7462488151546,0.9,hold,650.4545275780463,8558.315654139366,256347.73235887097
32,6907,8272.49871235509,9482.31655680237,2496.4117544982355,0.9,hold,648.4133071899414,8272.49871235509,245731.36945564515
33,5168,8323.093249905494,9445.655410000938,2467.028630136151,0.9,hold,662.4288504815871,8323.093249905494,241677.3462701613
34,236858,8253.912302324848,9412.638875880484,2437.8672051280723,0.9,hold,638.3659065000472,8253.912302324848,244674.28881048388
35,236751,7840.691630701865,9379.532402350324,2410.5302751302434,0.9,hold,662.7765490624213,7840.691630701865,264155.29032258067
36,7578,7182.33546890751,9336.786825360088,2390.2302279860864,0.9,hold,659.6722921556042,7182.33546890751,291322.1285282258
37,2130,7204.582602224043,9278.55841032083,2383.4532629666783,0.9,hold,645.5765112600019,7204.582602224043,296390.95388104836
38,691,7671.712130638861,9223.980099581438,2375.198670117782,0.9,hold,662.0695493144374,7671.712130638861,301163.0798891129
39,496,7565.942567886845,9184.178356788041,2357.3527326170456,0.9,hold,655.4423107024162,7565.942567886845,296532.4125504032
40,10366,7596.282301379788,9143.72246206551,2341.370241038931,0.9,hold,644.0023663428522,7596.282301379788,287315.9125504032
41,573,7921.533356697329,9105.980019121957,2324.927227310468,0.9,hold,699.0263748168945,7921.533356697329,289990.56980846776
42,49646,7861.129910376764,9077.778908111846,2304.1694211034073,0.9,hold,718.0424413373394,7861.129910376764,296485.7933467742
43,236764,7782.358819776966,9049.48474537382,2284.589795795107,0.9,hold,711.3837932463615,7782.358819776966,309887.78780241933
44,11790,7655.255587670111,9020.686428882984,2266.3606690879624,0.9,hold,734.5522168067193,7655.255587670111,319509.3543346774
45,2438,7638.366474766885,8990.343521300476,2250.0575808209865,0.9,hold,730.3449650426065,7638.366474766885,328421.21018145164
46,236764,7317.390660439768,8960.95271594105,2234.182403249898,0.9,hold,719.6263735371251,7317.390660439768,323237.99319556454
47,532,7446.996916740171,8925.983310504853,2222.9752362593463,0.9,hold,733.0226093415291,7446.996916740171,319425.9090221774
48,1724,7731.819166614163,8895.171093968087,2209.816726243006,0.9,hold,722.8289526662519,7731.819166614163,321781.5345262097
49,1015,7326.40089859501,8871.42921789964,2193.327942953189,0.9,hold,723.3575190882528,7326.40089859501,320013.4564012097
50,5181,7062.333626039566,8840.528651513547,2182.031420758926,0.9,hold,665.838005065918,7062.333626039566,316753.5834173387
51,26248,6891.644086284022,8805.662082386605,2174.5544238106613,0.9,hold,648.2174212548041,6891.644086284022,308370.6136592742
52,506,6603.958681168095,8768.854044000018,2169.526923306137,0.9,hold,648.4339031096428,6603.958681168095,309250.1297883064
53,34824,6917.5024256552415,8728.006961682435,2169.0550501568064,0.9,hold,675.33507439398,6917.5024256552415,302959.9296875
54,529,7065.250236265121,8694.479099904154,2162.6955672285812,0.9,hold,712.7750728976342,7065.250236265121,324183.52998991933
55,496,7404.707826675907,8664.856756928899,2153.9719733363313,0.9,hold,716.9283193772839,7404.707826675907,321257.3011592742
56,119062,7334.05927891885,8642.354097460095,2141.1668966014336,0.9,hold,692.4153080601847,7334.05927891885,304714.5153729839
57,1855,7654.585126323084,8619.401556783932,2129.240720744294,0.9,hold,720.0581441079416,7654.585126323084,302288.5829133064
58,236761,7639.213497038811,8602.766790741505,2114.5382879127123,0.9,hold,723.8404366277879,7639.213497038811,299024.06829637097
59,205520,7753.2091812626,8586.435378983831,2100.227932283447,0.9,hold,743.2182796847436,7753.2091812626,304005.96144153224
60,5668,7652.210315335182,8572.548275688478,2085.3823769410956,0.9,hold,809.9942951817667,7652.210315335182,306919.90700604836
61,691,7090.3910266507055,8557.460768141702,2071.5176816897874,0.9,hold,781.9574397917717,7090.3910266507055,297150.02683971776
62,496,7344.299914944557,8533.798352956364,2063.0383756843016,0.9,hold,753.8163087906375,7344.299914944557,294800.8897429436
63,15287,7341.3017420614915,8514.917425368876,2051.992228829177,0.9,hold,754.4009118849232,7341.3017420614915,294635.49407762097
64,236764,8215.419496597782,8496.579680317196,2041.094203557666,0.9,hold,765.701671477287,8215.419496597782,295616.3882308468
65,496,8279.422079763104,8492.254139029206,2025.6282214051166,0.9,hold,817.6470735611454,8279.422079763104,287796.86202116933
66,7588,8378.297804309475,8489.029410858508,2010.392096152082,0.9,hold,787.1395790346207,8378.297804309475,267340.9204889113
67,160143,8149.553679435484,8487.376700313001,1995.3779411552682,0.9,hold,799.2126115368259,8149.553679435484,238603.2087953629
68,1015,8599.145460559475,8482.40871471186,1981.0691026075872,0.9,hold,802.0826627669796,8599.145460559475,235655.7329889113
69,1451,8148.114824848791,8484.100551608204,1966.7106196555726,0.9,hold,839.9358850294544,8148.114824848791,232850.99407762097
70,135361,8183.770633820564,8479.300755511642,1953.019162318328,0.9,hold,842.4148987800844,8183.770633820564,237228.78641633064
71,1972,8151.847372731855,8475.138359431485,1939.5294090418254,0.9,hold,860.9996145925214,8151.847372731855,240288.88218245967
72,1063,7800.926868069557,8470.648206838432,1926.3849374556992,0.9,hold,792.4912212740991,7800.926868069557,241338.61706149194
73,1131,7638.266971711189,8461.47394192379,1914.728154935471,0.9,hold,777.6998286093435,7638.266971711189,235957.75869455645
74,506,7993.901721585182,8450.349523407403,1904.1204866561,0.9,hold,774.3119841544859,7993.901721585182,243992.03490423388
75,1346,9110.88806546119,8444.26355271644,1892.1081854831339,0.9,hold,753.4624555034022,9110.88806546119,230418.2077872984
