step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,108,0.0,,,0.9,hold,0.0,0.0,0.0
1,818,2132.25537109375,,,0.9,hold,216.28945922851562,2132.25537109375,83106.75
2,3246,2298.92626953125,,,0.9,hold,187.93630981445312,2298.92626953125,133835.8828125
3,3710,2444.814208984375,,,0.9,hold,631.3396199544271,2444.814208984375,119948.125
4,563,2586.3633422851562,1718.9989624023438,998.6067476576379,0.9,hold,575.4560775756836,2586.3633422851562,126331.7421875
5,496,2535.8458984375,1892.4718383789063,958.1981548591074,0.9,hold,699.3455749511719,2535.8458984375,127440.36875
6,19374,2552.6802978515625,1999.7008483886718,906.9785313078658,0.9,hold,600.0610198974609,2552.6802978515625,125427.79427083333
7,2030,4487.347900390625,2078.6979125976563,861.7061859212682,0.765,down,602.1221095493862,4487.347900390625,121231.6171875
8,236764,4240.273223876953,2379.7791610717773,1133.2562747608501,0.765,down,586.3129844665527,4240.273223876953,126235.4365234375
9,13011,4304.171413845486,2586.500723605686,1217.9669851528906,0.765,down,704.0081075032552,4304.171413845486,118257.84548611111
10,618,4051.863806152344,2758.267792629666,1265.1618683960396,0.765,down,684.9430511474609,4051.863806152344,122383.4640625
11,506,3938.4920654296875,2875.867430222637,1262.3070421860718,0.9,hold,642.1292988170277,3938.4920654296875,122044.22088068182
12,6082,3743.814442952474,2964.419483156558,1243.7404364356603,0.9,hold,611.5932451883951,3743.814442952474,128197.294921875
13,9730,3563.576181265024,3024.3729416023975,1212.8609647865694,0.9,hold,628.147469153771,3563.576181265024,126498.96454326923
14,529,3722.7772827148438,3062.8874587211567,1176.9629603351257,0.9,hold,626.6313291277204,3722.7772827148438,131121.3353794643
15,506,3782.8347412109374,3106.880113654069,1148.9070056512073,0.9,hold,650.080658976237,3782.8347412109374,132182.60052083334
16,111967,3800.771553039551,3149.1272778763732,1124.3933671898876,0.9,hold,620.7818803787231,3800.771553039551,131817.712890625
17,1458,4005.8910630170035,3187.4592940624425,1101.5451321654123,0.9,hold,675.9156179989086,4005.8910630170035,132485.52022058822
18,236761,4058.6739162868926,3232.9277256710293,1086.8007657772466,0.9,hold,659.9002931382921,4058.6739162868926,131829.61024305556
19,1030,4035.328041478207,3276.388051492917,1073.7640594934012,0.9,hold,690.8309494821649,4035.328041478207,130486.15296052632
20,236858,4029.0764099121093,3314.3350509921816,1059.5660967285132,0.9,hold,664.2548164367676,4029.0764099121093,132455.54296875
21,236751,4052.106113978795,3348.3703537978927,1045.1733745063584,0.9,hold,639.2085970924014,4052.106113978795,148545.41443452382
22,496,4017.7339033647017,3380.3583428970246,1031.611007702035,0.9,hold,618.2566993019798,4017.7339033647017,157757.58025568182
23,39254,3919.681943147079,3408.0703237869234,1017.2736930769661,0.9,hold,598.1976086160411,3919.681943147079,155721.25135869565
24,2030,3880.475814819336,3429.387474593596,1001.0888442807512,0.9,hold,622.3487682342529,3880.475814819336,155514.73958333334
25,607,4030.9827587890627,3447.431008202626,984.8377418136023,0.9,hold,609.8759210205078,4030.9827587890627,157647.24625
26,496,4203.332355205829,3469.875306302104,972.2113904095116,0.9,hold,629.9334229689377,4203.332355205829,156522.98858173078
27,3996,4075.78185583044,3497.040382187427,964.0405805370817,0.9,hold,611.7363117359303,4075.78185583044,154700.58912037036
28,3904,4525.67036655971,3517.7097205318205,952.7419826647747,0.765,down,623.4420422145298,4525.67036655971,152227.54854910713
29,5402,4579.923365099677,3552.466984187955,954.066337332996,0.765,down,611.9074133511248,4579.923365099677,151397.35129310345
30,531,4502.671931966146,3586.7155302183455,955.9901051173512,0.9,hold,605.0497055053711,4502.671931966146,151553.75
31,23057,4839.579251197077,3616.2625109198875,954.2675761945601,0.765,down,592.3501424481792,4839.579251197077,152422.6733870968
32,5518,4891.072131741432,3654.4911590535494,963.0544331401799,0.765,down,598.925783711095,4891.072131741432,151180.4555191532
33,12123,4900.4946446572585,3691.963309741061,971.7519023627151,0.765,down,608.6284332275391,4900.4946446572585,152264.76045866936
34,532,4960.68974451865,3727.508349003302,978.8881562826132,0.765,down,573.2469142790763,4960.68974451865,155050.7982610887
35,28935,4964.293000252016,3762.7421031608837,986.4342061833688,0.765,down,601.9605442170174,4964.293000252016,156215.65259576612
36,531,5266.634458480343,3796.1185169689707,992.4780519245929,0.765,down,599.4079122235698,5266.634458480343,157053.72668850806
37,506,5259.6733555947585,3835.8621910638726,1007.5985638302452,0.765,down,612.7831248621786,5259.6733555947585,157250.62840221773
38,2742,5008.219947076613,3873.330905919949,1020.0402455108828,0.765,down,597.9820591095955,5008.219947076613,156262.32094254033
39,532,5018.7541661416335,3902.4306249239658,1022.7322390276497,0.765,down,606.8631134033203,5018.7541661416335,155750.67678931452
40,6349,5011.4783187374,3930.3387134544073,1024.7962220558268,0.765,down,612.2749550111832,5011.4783187374,163551.5046622984
41,8321,5157.606591009325,3956.707972119846,1025.8684110193678,0.765,down,634.7138292866368,5157.606591009325,165262.38974294355
42,3211,5181.802557176159,3985.3007963791197,1029.984584668914,0.765,down,637.9383535077495,5181.802557176159,168068.5749747984
43,236761,5177.877405966482,4013.126418723237,1033.7872271412764,0.765,down,636.3807166314895,5177.877405966482,165655.41015625
44,5715,5382.027631205897,4039.5980320696744,1036.6094354974975,0.765,down,655.4248844269783,5382.027631205897,166803.80279737903
45,236789,5271.6332495904735,4069.429800939368,1043.9526547021662,0.765,down,649.6966483823714,5271.6332495904735,167666.85924899194
46,236751,5598.179226783014,4095.5646585187396,1047.3210675518665,0.765,down,627.5399859028478,5598.179226783014,178142.06086189515
47,496,6830.438315114668,4127.535181247767,1058.565432507911,0.765,down,645.8780940886467,6830.438315114668,185817.81917842742
48,25890,8415.806809948337,4183.845663203327,1116.3541850719537,0.765,down,613.5919100853705,8415.806809948337,185106.05178931452
49,529,9722.942961662045,4270.212217218531,1256.5244846041492,0.765,down,639.0346000425277,9722.942961662045,188529.65612399194
50,1061,9946.027142924648,4379.266832107402,1459.4619718257545,0.765,down,619.1111460039692,9946.027142924648,187190.8562247984
