step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,108,0.0,,,0.9,hold,0.0,0.0,0.0
1,1018,9960.783203125,,,0.9,hold,80.91252136230469,9960.783203125,155647.921875
2,236770,9054.347900390625,,,0.9,hold,117.42813873291016,9054.347900390625,118733.5703125
3,236761,6984.572835286458,,,0.9,hold,150.24839782714844,6984.572835286458,138019.28125
4,37827,6012.317932128906,6499.9259847005205,3904.6934702470244,0.9,hold,138.68045043945312,6012.317932128906,171211.6875
5,1018,5405.392529296875,6402.404374186198,3497.906050103192,0.9,hold,374.99794921875,5405.392529296875,161994.3828125
6,108,5231.3537190755205,6236.235733371311,3214.6823117400613,0.9,hold,479.5478515625,5231.3537190755205,156057.37369791666
7,1882,4958.195033482143,6092.681159900484,2996.9180990340433,0.9,hold,426.1066578456334,4958.195033482143,153424.31361607142
8,740,4642.976654052734,5950.87039409819,2828.356481044115,0.9,hold,423.0026273727417,4642.976654052734,150424.6513671875
9,1751,4263.907769097223,5805.548867426473,2698.09241236943,0.9,hold,397.5092985365126,4263.907769097223,144840.75086805556
10,529,4042.995556640625,5651.384757593548,2601.0827656892425,0.9,hold,420.8606330871582,4042.995556640625,157045.39453125
11,496,4589.733975497159,5505.1675575069185,2522.7700719613003,0.9,hold,413.0260266390714,4589.733975497159,158140.85298295456
12,10059,4372.312327067058,5428.881425672772,2428.583965880741,0.9,hold,408.18256696065265,4372.312327067058,157411.31184895834
13,529,5974.270423302283,5347.606879626179,2350.2325095827796,0.9,hold,418.7626207791842,5974.270423302283,159190.6796875
14,12425,6206.835231236049,5392.368561317329,2270.4839591283003,0.9,hold,430.4376836504255,6206.835231236049,158704.8521205357
15,808,6045.883813476563,5446.666339311911,2202.884411360573,0.9,hold,430.3998357137044,6045.883813476563,161864.7734375
16,236750,6254.421897888184,5484.117431447201,2137.8598553776383,0.9,hold,437.2348198890686,6254.421897888184,162048.39697265625
17,236829,6203.590525907629,5529.429458884906,2081.9332233978034,0.9,hold,425.4782378252815,6203.590525907629,161519.43612132352
18,618,6181.700405544705,5566.882851497279,2029.159987927042,0.9,hold,411.9496879577637,6181.700405544705,162409.06467013888
19,1646,5974.927946391858,5599.241670131354,1979.8050206221872,0.9,hold,401.59492854068156,5974.927946391858,160824.91241776315
20,8254,5868.909283447266,5618.02598394438,1931.411577619045,0.9,hold,393.6221157073975,5868.909283447266,158799.485546875
21,684,6005.137096586682,5629.972807730232,1885.6217720857092,0.9,hold,388.1216615949358,6005.137096586682,160904.53608630953
22,99126,5909.296381170099,5647.025729950979,1843.9250306547335,0.9,hold,381.05050416426224,5909.296381170099,165230.88884943182
23,872,5820.0453623896055,5658.428801743115,1804.187214501142,0.9,hold,382.16510573677397,5820.0453623896055,167139.3807744565
24,614,5754.94542948405,5665.162825103386,1766.4953084815327,0.9,hold,377.40556621551514,5754.94542948405,166748.5849609375
25,18304,5753.318881835938,5668.754129278612,1730.8942737985967,0.9,hold,374.73103424072264,5753.318881835938,169914.4128125
26,1548,5652.971674992488,5672.006619761586,1697.3593838672637,0.9,hold,411.03217403705304,5652.971674992488,168503.6337139423
27,529,5518.347059461806,5671.301621807175,1665.6341216841545,0.9,hold,414.22150025544346,5518.347059461806,168742.32841435185
28,51853,5394.075326102121,5665.838958866269,1635.866516739897,0.9,hold,405.520425251552,5394.075326102121,173411.08231026787
29,11202,5303.046782394936,5656.467799115781,1608.1791805752316,0.9,hold,400.6434360372609,5303.046782394936,175512.50296336206
30,109232,5221.794425455729,5644.68709855842,1582.4212555041627,0.9,hold,401.1951601664225,5221.794425455729,178398.43723958332
31,17867,5164.590221774193,5631.045399426075,1558.4812720423622,0.9,hold,410.9010976975964,5164.590221774193,176641.19254032258
32,236761,5466.221585181452,5616.4686751244535,1536.0822851775545,0.9,hold,422.1891467186712,5466.221585181452,177785.76058467742
33,7714,5327.582346270161,5611.915733004968,1512.8485203317525,0.9,hold,446.3654310164913,5327.582346270161,181106.88608870967
34,7610,5377.95210905998,5603.552986336297,1491.2087375806525,0.9,hold,455.45745037448023,5377.95210905998,180829.83366935485
35,815,5351.310129473286,5597.107246985546,1470.2318627505642,0.9,hold,470.79372110674456,5351.310129473286,179187.12701612903
36,614,5314.494849420363,5590.279549276872,1450.230810683645,0.9,hold,445.11241519066596,5314.494849420363,182086.4201108871
