step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,108,0.0,,,0.9,hold,0.0,0.0,0.0
1,818,14881.099609375,,,0.9,hold,144.8443145751953,14881.099609375,354962.4375
2,2604,8894.071533203125,,,0.9,hold,146.5520248413086,8894.071533203125,339965.3125
3,14500,6929.592854817708,,,0.9,hold,652.6450347900391,6929.592854817708,287332.1614583333
4,2353,9949.453430175781,,,0.9,hold,607.0691795349121,9949.453430175781,270304.37109375
5,176347,11127.707666015625,,,0.9,hold,657.9355560302735,11127.707666015625,315359.015625
6,2101,12339.510620117188,,,0.9,hold,866.7222773234049,12339.510620117188,320040.0494791667
7,103592,13745.231759207589,,,0.9,hold,885.8626251220703,13745.231759207589,325099.890625
8,236858,12616.152313232422,,,0.9,hold,858.778600692749,12616.152313232422,325598.943359375
9,236751,11494.77099609375,,,0.9,hold,797.214611477322,11494.77099609375,315154.35590277775
10,22648,10549.214599609375,,,0.9,hold,726.997876739502,10549.214599609375,296473.4875
11,607,11544.701127485796,,,0.9,hold,750.0148488825017,11544.701127485796,323379.0284090909
12,1418,11528.167114257812,,,0.9,hold,769.2515672047933,11528.167114257812,311632.2721354167
13,50799,10810.329176682691,,,0.9,hold,731.9403363741361,10810.329176682691,313620.09254807694
14,2918,10581.893450055804,,,0.9,hold,719.9886131286621,10581.893450055804,298313.30412946426
15,236761,10015.3013671875,,,0.9,hold,702.9472946166992,10015.3013671875,297862.56302083336
16,23156,9568.51596069336,,,0.9,hold,801.7381558418274,9568.51596069336,295740.35986328125
17,236761,9236.805549172794,,,0.9,hold,858.5189105763155,9236.805549172794,292175.2035845588
18,1293,8864.303466796875,,,0.9,hold,865.9997325473362,8864.303466796875,284878.5759548611
19,236858,8619.096833881578,,,0.9,hold,827.0717841700504,8619.096833881578,277731.4913651316
20,236753,8637.4103515625,,,0.9,hold,791.4031253814697,8637.4103515625,275993.214453125
21,68121,8425.89222935268,,,0.9,hold,762.5766060238793,8425.89222935268,276604.9051339286
22,529,8177.7099276455965,,,0.9,hold,756.7768093455921,8177.7099276455965,274916.25390625
23,672,8299.510243291441,,,0.9,hold,733.7331141596255,8299.510243291441,273502.699388587
24,3479,8076.427235921224,,,0.9,hold,715.6235017776489,8076.427235921224,266565.6787109375
25,2338,7928.894169921875,,,0.9,hold,701.0079635620117,7928.894169921875,261286.7303125
26,668,7800.78843336839,,,0.9,hold,694.0782655569224,7800.78843336839,258880.6397235577
27,691,8231.431324146411,,,0.9,hold,678.5569545604565,8231.431324146411,255384.86140046295
28,496,8221.394016810826,,,0.9,hold,659.4885005950928,8221.394016810826,253570.21010044642
29,6938,7991.129141971983,,,0.9,hold,642.2326352349643,7991.129141971983,253244.97117456896
30,236764,8034.810546875,,,0.9,hold,640.0944567362468,8034.810546875,253640.75963541667
31,1839,7913.607421875,,,0.9,hold,671.172480183263,7913.607421875,248895.12903225806
32,522,9018.691658266129,,,0.9,hold,678.6763308125157,9018.691658266129,264348.7056451613
33,1024,10922.124984248992,,,0.9,hold,701.7044158443327,10922.124984248992,261125.5695564516
34,26289,10890.611686460434,,,0.9,hold,654.8034768873646,10890.611686460434,271751.85836693546
35,7248,10369.957972372731,,,0.9,hold,655.2558251657794,10369.957972372731,270158.7106854839
36,532,10236.459358461441,,,0.9,hold,640.327515878985,10236.459358461441,259749.0695564516
37,107060,10173.075726909023,,,0.9,hold,608.7662503642421,10173.075726909023,256078.23991935485
38,506,9829.347935830394,,,0.9,hold,604.2341655608146,9829.347935830394,250544.05846774194
39,158896,10265.836642357612,,,0.9,hold,615.931506003103,10265.836642357612,245915.90574596773
40,9899,10406.597849199848,,,0.9,hold,645.5995436637633,10406.597849199848,241498.45514112903
41,529,10540.28631001134,,,0.9,hold,653.2229688090663,10540.28631001134,245914.83568548388
42,506,10553.93279438634,,,0.9,hold,652.8796066776399,10553.93279438634,230148.32081653227
43,4855,10408.670729114163,,,0.9,hold,624.202763957362,10408.670729114163,227463.7883064516
44,38342,10491.499090379284,,,0.9,hold,644.7456657655778,10491.499090379284,222273.94153225806
45,236761,10322.361710086945,,,0.9,hold,637.7752875051191,10322.361710086945,223547.89541330645
46,4224,10858.178982642388,,,0.9,hold,699.9240183676443,10858.178982642388,221965.38684475806
47,236764,10890.723109091481,,,0.9,hold,644.2859883462229,10890.723109091481,217860.2336189516
