step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,108,0.0,,,0.9,hold,0.0,0.0,0.0
1,818,2132.25537109375,,,0.9,hold,216.28945922851562,2132.25537109375,83106.75
2,3246,2298.92626953125,,,0.9,hold,187.93630981445312,2298.92626953125,133835.8828125
3,3710,2444.814208984375,,,0.9,hold,631.3396199544271,2444.814208984375,119948.125
4,563,2586.3633422851562,,,0.9,hold,575.4560775756836,2586.3633422851562,126331.7421875
5,496,2535.8458984375,,,0.9,hold,699.3455749511719,2535.8458984375,127440.36875
6,19374,2552.6802978515625,,,0.9,hold,600.0610198974609,2552.6802978515625,125427.79427083333
7,2030,4487.347900390625,,,0.9,hold,602.1221095493862,4487.347900390625,121231.6171875
8,236764,4240.273223876953,,,0.9,hold,586.3129844665527,4240.273223876953,126235.4365234375
9,13011,4304.171413845486,,,0.9,hold,704.0081075032552,4304.171413845486,118257.84548611111
10,618,4051.863806152344,,,0.9,hold,684.9430511474609,4051.863806152344,122383.4640625
11,506,3938.4920654296875,,,0.9,hold,642.1292988170277,3938.4920654296875,122044.22088068182
12,6082,3743.814442952474,,,0.9,hold,611.5932451883951,3743.814442952474,128197.294921875
13,9730,3563.576181265024,,,0.9,hold,628.147469153771,3563.576181265024,126498.96454326923
14,529,3722.7772827148438,,,0.9,hold,626.6313291277204,3722.7772827148438,131121.3353794643
15,506,3782.8347412109374,,,0.9,hold,650.080658976237,3782.8347412109374,132182.60052083334
16,111967,3800.771553039551,,,0.9,hold,620.7818803787231,3800.771553039551,131817.712890625
17,1458,4005.8910630170035,,,0.9,hold,675.9156179989086,4005.8910630170035,132485.52022058822
18,236761,4058.6739162868926,,,0.9,hold,659.9002931382921,4058.6739162868926,131829.61024305556
19,1030,4035.328041478207,,,0.9,hold,690.8309494821649,4035.328041478207,130486.15296052632
20,236858,4029.0764099121093,,,0.9,hold,664.2548164367676,4029.0764099121093,132455.54296875
21,236751,4052.106113978795,,,0.9,hold,639.2085970924014,4052.106113978795,148545.41443452382
22,496,4017.7339033647017,,,0.9,hold,618.2566993019798,4017.7339033647017,157757.58025568182
23,39254,3919.681943147079,,,0.9,hold,598.1976086160411,3919.681943147079,155721.25135869565
24,2030,3880.475814819336,,,0.9,hold,622.3487682342529,3880.475814819336,155514.73958333334
25,607,4030.9827587890627,,,0.9,hold,609.8759210205078,4030.9827587890627,157647.24625
26,496,4203.332355205829,,,0.9,hold,629.9334229689377,4203.332355205829,156522.98858173078
27,3996,4075.78185583044,,,0.9,hold,611.7363117359303,4075.78185583044,154700.58912037036
28,3904,4525.67036655971,,,0.9,hold,623.4420422145298,4525.67036655971,152227.54854910713
29,5402,4579.923365099677,,,0.9,hold,611.9074133511248,4579.923365099677,151397.35129310345
30,531,4502.671931966146,,,0.9,hold,605.0497055053711,4502.671931966146,151553.75
31,23057,4839.579251197077,,,0.9,hold,592.3501424481792,4839.579251197077,152422.6733870968
32,5518,4891.072131741432,,,0.9,hold,598.925783711095,4891.072131741432,151180.4555191532
33,12123,4900.4946446572585,,,0.9,hold,608.6284332275391,4900.4946446572585,152264.76045866936
34,532,4960.68974451865,,,0.9,hold,573.2469142790763,4960.68974451865,155050.7982610887
35,28935,4964.293000252016,,,0.9,hold,601.9605442170174,4964.293000252016,156215.65259576612
36,531,5266.634458480343,,,0.9,hold,599.4079122235698,5266.634458480343,157053.72668850806
37,506,5259.6733555947585,,,0.9,hold,612.7831248621786,5259.6733555947585,157250.62840221773
38,2742,5008.219947076613,,,0.9,hold,597.9820591095955,5008.219947076613,156262.32094254033
39,532,5018.7541661416335,,,0.9,hold,606.8631134033203,5018.7541661416335,155750.67678931452
40,6349,5011.4783187374,,,0.9,hold,612.2749550111832,5011.4783187374,163551.5046622984
41,8321,5157.606591009325,,,0.9,hold,634.7138292866368,5157.606591009325,165262.38974294355
42,3211,5181.802557176159,,,0.9,hold,637.9383535077495,5181.802557176159,168068.5749747984
43,236761,5177.877405966482,,,0.9,hold,636.3807166314895,5177.877405966482,165655.41015625
44,5715,5382.027631205897,,,0.9,hold,655.4248844269783,5382.027631205897,166803.80279737903
45,236789,5271.6332495904735,,,0.9,hold,649.6966483823714,5271.6332495904735,167666.85924899194
46,236751,5598.179226783014,,,0.9,hold,627.5399859028478,5598.179226783014,178142.06086189515
47,496,6830.438315114668,,,0.9,hold,645.8780940886467,6830.438315114668,185817.81917842742
48,25890,8415.806809948337,,,0.9,hold,613.5919100853705,8415.806809948337,185106.05178931452
49,529,9722.942961662045,,,0.9,hold,639.0346000425277,9722.942961662045,188529.65612399194
50,1061,9946.027142924648,,,0.9,hold,619.1111460039692,9946.027142924648,187190.8562247984
51,3904,9871.026820028981,,,0.9,hold,619.3919402091734,9871.026820028981,184658.47215221773
52,532,10287.170815744708,,,0.9,hold,637.1446208338583,10287.170815744708,176550.16771673388
53,1292,10575.379280336441,,,0.9,hold,656.1373084283645,10575.379280336441,168570.83253528227
54,236787,10703.428447108116,,,0.9,hold,685.3637163715978,10703.428447108116,167900.84463205645
55,108,11916.038562405494,,,0.9,hold,687.3131753244708,11916.038562405494,168196.1626764113
56,1018,12928.133288967994,,,0.9,hold,680.4448938677388,12928.133288967994,171422.15360383064
57,236777,12732.685794953377,,,0.9,hold,648.3125012305475,12732.685794953377,174018.08555947582
58,236761,12792.308908770161,,,0.9,hold,651.587765847483,12792.308908770161,176662.73072076612
59,23718,12366.297804309475,,,0.9,hold,625.2799195320375,12366.297804309475,182546.4812247984
60,53121,12986.478830645161,,,0.9,hold,645.0147788755355,12986.478830645161,183140.95602318548
61,108,13342.204558341733,,,0.9,hold,650.5516431254725,13342.204558341733,180830.23072076612
62,818,13034.021122101814,,,0.9,hold,647.451051035235,13034.021122101814,178404.86050907258
63,3710,13556.807428175403,,,0.9,hold,639.0397774481004,13556.807428175403,182308.5415826613
64,563,13676.617321383568,,,0.9,hold,677.1629050470168,13676.617321383568,180138.5677923387
65,11310,13681.547875189011,,,0.9,hold,700.5007779521327,13681.547875189011,178261.2368951613
