step,token_id,fisher_value,running_mean,running_std,temperature,action,fisher_early,fisher_mid,fisher_late
0,108,0.0,,,0.9,hold,0.0,0.0,0.0
1,1018,1935.5347900390625,,,0.9,hold,95.73131561279297,1935.5347900390625,195073.25
2,14476,2221.6152954101562,,,0.9,hold,121.12554550170898,2221.6152954101562,153664.2734375
3,53121,3028.251668294271,,,0.9,hold,411.9254328409831,3028.251668294271,157250.27083333334
4,108,3485.8009338378906,,,0.9,hold,473.30875968933105,3485.8009338378906,173632.41015625
5,74581,3624.8428955078125,,,0.9,hold,403.79662017822267,3624.8428955078125,169624.85
6,600,3553.5074259440103,,,0.9,hold,460.9428011576335,3553.5074259440103,176699.32552083334
7,538,4837.468418666294,,,0.9,hold,485.0863832746233,4837.468418666294,168913.1484375
8,236884,5091.514724731445,,,0.9,hold,455.47578716278076,5091.514724731445,179216.3388671875
9,236778,4815.03131781684,,,0.9,hold,430.63001251220703,4815.03131781684,174805.42621527778
10,563,4858.982092285156,,,0.9,hold,405.6903465270996,4858.982092285156,172298.60078125
11,1581,4671.5942271839485,,,0.9,hold,386.70232530073685,4671.5942271839485,169749.7421875
12,236761,4693.729522705078,,,0.9,hold,387.41362953186035,4693.729522705078,169058.912109375
13,107,4624.337205153245,,,0.9,hold,397.4870364849384,4624.337205153245,170107.34555288462
14,1882,4960.226902553013,,,0.9,hold,373.60424314226424,4960.226902553013,161657.3842075893
15,1461,4737.2646891276045,,,0.9,hold,363.27503611246743,4737.2646891276045,161072.22526041666
16,531,4706.792030334473,,,0.9,hold,368.65888929367065,4706.792030334473,163885.20825195312
17,1407,4721.794038660386,,,0.9,hold,369.0672136194566,4721.794038660386,164098.83295036765
18,600,4605.278489854601,,,0.9,hold,376.92104042900934,4605.278489854601,165041.59657118056
19,538,4532.31341873972,,,0.9,hold,381.69770371286495,4532.31341873972,162463.87232730264
20,563,4513.3281921386715,,,0.9,hold,377.959037399292,4513.3281921386715,162043.2466796875
21,1581,4374.432698567708,,,0.9,hold,369.23126547677174,4374.432698567708,158703.05078125
22,236761,4323.414018110795,,,0.9,hold,366.61679805408824,4323.414018110795,156936.46111505682
23,108,4352.751953125,,,0.9,hold,372.00622989820397,4352.751953125,158840.78481657608
24,1882,4342.342224121094,,,0.9,hold,359.55516656239826,4342.342224121094,154960.92333984375
25,740,4282.611923828125,,,0.9,hold,353.1644821166992,4282.611923828125,154949.84515625
26,1161,4152.520622840295,,,0.9,hold,347.69816794762244,4152.520622840295,152507.21829927884
27,496,4095.7555903682,,,0.9,hold,343.9942335905852,4095.7555903682,154578.30859375
28,7724,3979.8434252057755,,,0.9,hold,343.84484018598283,3979.8434252057755,152892.98060825892
29,684,3932.3256478145204,,,0.9,hold,371.73777639454806,3932.3256478145204,156653.4909752155
30,38912,3869.8266255696612,,,0.9,hold,385.64843571980794,3869.8266255696612,159399.46627604167
31,236761,4267.634826660156,,,0.9,hold,386.2023239135742,4267.634826660156,161615.95425907258
32,107,4285.814407840852,,,0.9,hold,404.61370898831274,4285.814407840852,165866.77784778227
33,74581,4647.181138561618,,,0.9,hold,402.23933902863536,4647.181138561618,163527.57094254033
34,236764,4986.937753985005,,,0.9,hold,387.8446581440587,4986.937753985005,163494.0376764113
35,573,4892.521049253402,,,0.9,hold,378.36099390829764,4892.521049253402,159903.1359627016
36,506,5018.973197690902,,,0.9,hold,379.65771385931197,5018.973197690902,160726.80481350806
