layer,regime,prompt_idx,mean_F,std_F
early,factual,0,773.588541617042,155.23198146985158
early,factual,1,603.1453169117325,85.20347953685581
early,factual,2,772.9925809219686,133.03544969166282
early,factual,3,550.3371724181461,57.50066462452168
early,factual,4,543.4085432516265,77.42144471541293
early,factual,5,625.4615996252006,131.76404872067369
early,factual,6,611.0207927441268,80.40775487405769
early,mathematical,0,330.999865340747,62.794352938043396
early,mathematical,1,278.1709009084833,36.606301144516785
early,mathematical,2,288.5055120771382,43.752819914522995
early,mathematical,3,291.0905091103321,41.735073645091646
early,mathematical,4,286.1916528291966,55.91659895383399
early,mathematical,5,333.4702807791222,48.36783551532581
early,mathematical,6,334.0464386885068,49.83741210053813
early,creative,0,661.2594953270002,103.2449593571011
early,creative,1,644.7018530434726,92.52284053427316
early,creative,2,676.4471418253288,73.69522106873733
early,creative,3,656.9834188129496,121.80083630090694
early,creative,4,635.2764443735922,114.96772881988431
early,creative,5,688.7220028929996,111.34466730028277
early,creative,6,677.7630727840458,110.35380500311982
mid,factual,0,9946.128177888933,4646.662626824157
mid,factual,1,8435.960907588906,1232.412464038341
mid,factual,2,8300.259397497925,2637.5179683001597
mid,factual,3,8536.964803054036,1621.4474949105534
mid,factual,4,8216.457280928089,2310.926667835751
mid,factual,5,7925.92480187482,2559.7129586320457
mid,factual,6,7072.130922967937,2580.291015080581
mid,mathematical,0,5598.612614240515,1017.805397656209
mid,mathematical,1,6747.320234571184,1575.2532609209034
mid,mathematical,2,6678.848094254595,1331.8806526168225
mid,mathematical,3,5635.059199073897,844.8721247870997
mid,mathematical,4,5156.927762326007,1039.9942136038808
mid,mathematical,5,5948.628964788903,976.8137956207837
mid,mathematical,6,6378.452144165742,1290.7912892945142
mid,creative,0,7650.7304969910665,2234.871971826584
mid,creative,1,8743.706106906664,1786.5803288865666
mid,creative,2,9842.133918146934,2247.3019474428843
mid,creative,3,8829.330992474534,2353.2113133434696
mid,creative,4,9886.882476279263,1792.2037339422163
mid,creative,5,9391.646069838704,2339.393483761554
mid,creative,6,9047.049972850606,1975.872120429306
late,factual,0,211953.5167869181,23996.713675602954
late,factual,1,182490.09347632623,25034.327851136655
late,factual,2,203348.75241384198,13695.703077031905
late,factual,3,171449.83083529846,15863.874924163574
late,factual,4,180905.59995589717,14491.83178915701
late,factual,5,177021.6527859033,17868.315495786563
late,factual,6,180451.40997820735,14929.38679464356
late,mathematical,0,175944.27258469543,16262.944326376028
late,mathematical,1,187011.91347352482,17189.42128154762
late,mathematical,2,198836.88656799035,13070.678156063957
late,mathematical,3,183843.55590173395,17805.73310068397
late,mathematical,4,165511.3313607071,18980.55117042679
late,mathematical,5,171820.51763212847,18440.508707085923
late,mathematical,6,173794.3904343003,15556.666529874761
late,creative,0,273167.0746097125,43629.92089778492
late,creative,1,249687.10275788902,34821.39161562362
late,creative,2,236272.84432097405,32469.928611800857
late,creative,3,251405.07343063707,50994.06721391073
late,creative,4,233594.57790561093,39625.39316722958
late,creative,5,220339.80616837603,23175.313887863937
late,creative,6,234068.4366528208,31999.854876689245
